period_min	period_max	source	rank
2016-01-01	2017-12-31	H3260_v1_6	5576
2018-01-01	2018-12-31	H3260_v1_7	5576
2008-01-01	2009-12-31	H3260_v1_3	5577
2010-01-01	2011-12-31	H3260_v1_4	5577
2012-01-01	2015-12-31	H3260_v1_5	5577
2016-01-01	2017-12-31	H3260_v1_6	5577
2018-01-01	2018-12-31	H3260_v1_7	5577
2008-01-01	2009-12-31	H3260_v1_3	5578
2010-01-01	2011-12-31	H3260_v1_4	5578
2012-01-01	2015-12-31	H3260_v1_5	5578
2016-01-01	2017-12-31	H3260_v1_6	5578
2018-01-01	2018-12-31	H3260_v1_7	5578
2008-01-01	2009-12-31	H3260_v1_3	5579
2010-01-01	2011-12-31	H3260_v1_4	5579
2012-01-01	2015-12-31	H3260_v1_5	5579
2016-01-01	2017-12-31	H3260_v1_6	5579
2018-01-01	2018-12-31	H3260_v1_7	5579
2008-01-01	2009-12-31	H3260_v1_3	5580
2010-01-01	2011-12-31	H3260_v1_4	5580
2012-01-01	2015-12-31	H3260_v1_5	5580
2016-01-01	2017-12-31	H3260_v1_6	5580
2018-01-01	2018-12-31	H3260_v1_7	5580
2008-01-01	2009-12-31	H3260_v1_3	5581
2010-01-01	2011-12-31	H3260_v1_4	5581
2012-01-01	2015-12-31	H3260_v1_5	5581
2016-01-01	2017-12-31	H3260_v1_6	5581
2018-01-01	2018-12-31	H3260_v1_7	5581
2008-01-01	2009-12-31	H3260_v1_3	5582
2010-01-01	2011-12-31	H3260_v1_4	5582
2012-01-01	2015-12-31	H3260_v1_5	5582
2016-01-01	2017-12-31	H3260_v1_6	5582
2018-01-01	2018-12-31	H3260_v1_7	5582
2008-01-01	2009-12-31	H3260_v1_3	5583
2010-01-01	2011-12-31	H3260_v1_4	5583
2012-01-01	2015-12-31	H3260_v1_5	5583
2016-01-01	2017-12-31	H3260_v1_6	5583
2018-01-01	2018-12-31	H3260_v1_7	5583
2008-01-01	2009-12-31	H3260_v1_3	5584
2010-01-01	2011-12-31	H3260_v1_4	5584
2012-01-01	2015-12-31	H3260_v1_5	5584
2016-01-01	2017-12-31	H3260_v1_6	5584
2018-01-01	2018-12-31	H3260_v1_7	5584
2008-01-01	2009-12-31	H3260_v1_3	5585
2010-01-01	2011-12-31	H3260_v1_4	5585
2012-01-01	2015-12-31	H3260_v1_5	5585
2016-01-01	2017-12-31	H3260_v1_6	5585
2018-01-01	2018-12-31	H3260_v1_7	5585
2008-01-01	2009-12-31	H3260_v1_3	5586
2010-01-01	2011-12-31	H3260_v1_4	5586
2012-01-01	2015-12-31	H3260_v1_5	5586
2016-01-01	2017-12-31	H3260_v1_6	5586
2018-01-01	2018-12-31	H3260_v1_7	5586
2008-01-01	2009-12-31	H3260_v1_3	5587
2010-01-01	2011-12-31	H3260_v1_4	5587
2012-01-01	2015-12-31	H3260_v1_5	5587
2016-01-01	2017-12-31	H3260_v1_6	5587
2018-01-01	2018-12-31	H3260_v1_7	5587
2008-01-01	2009-12-31	H3260_v1_3	5588
2010-01-01	2011-12-31	H3260_v1_4	5588
2012-01-01	2015-12-31	H3260_v1_5	5588
2016-01-01	2017-12-31	H3260_v1_6	5588
2018-01-01	2018-12-31	H3260_v1_7	5588
2012-01-01	2015-12-31	H3260_v1_5	5600
2018-01-01	2018-12-31	H3260_v1_7	5600
2012-01-01	2015-12-31	H3260_v1_5	5601
2018-01-01	2018-12-31	H3260_v1_7	5601
2012-01-01	2015-12-31	H3260_v1_5	5602
2018-01-01	2018-12-31	H3260_v1_7	5602
2012-01-01	2015-12-31	H3260_v1_5	5603
2018-01-01	2018-12-31	H3260_v1_7	5603
2012-01-01	2015-12-31	H3260_v1_5	5604
2018-01-01	2018-12-31	H3260_v1_7	5604
2012-01-01	2015-12-31	H3260_v1_5	5605
2018-01-01	2018-12-31	H3260_v1_7	5605
2012-01-01	2015-12-31	H3260_v1_5	5606
2018-01-01	2018-12-31	H3260_v1_7	5606
2012-01-01	2015-12-31	H3260_v1_5	5607
2018-01-01	2018-12-31	H3260_v1_7	5607
2012-01-01	2015-12-31	H3260_v1_5	5608
2018-01-01	2018-12-31	H3260_v1_7	5608
2012-01-01	2015-12-31	H3260_v1_5	5609
2018-01-01	2018-12-31	H3260_v1_7	5609
2012-01-01	2015-12-31	H3260_v1_5	5610
2018-01-01	2018-12-31	H3260_v1_7	5610
2012-01-01	2015-12-31	H3260_v1_5	5611
2018-01-01	2018-12-31	H3260_v1_7	5611
2012-01-01	2015-12-31	H3260_v1_5	5612
2018-01-01	2018-12-31	H3260_v1_7	5612
2012-01-01	2015-12-31	H3260_v1_5	5613
2018-01-01	2018-12-31	H3260_v1_7	5613
2012-01-01	2015-12-31	H3260_v1_5	5614
2018-01-01	2018-12-31	H3260_v1_7	5614
2012-01-01	2015-12-31	H3260_v1_5	5615
2018-01-01	2018-12-31	H3260_v1_7	5615
2012-01-01	2015-12-31	H3260_v1_5	5616
2018-01-01	2018-12-31	H3260_v1_7	5616
2012-01-01	2015-12-31	H3260_v1_5	5617
2010-01-01	2011-12-31	H3260_v1_4	7998
2012-01-01	2015-12-31	H3260_v1_5	7998
2016-01-01	2017-12-31	H3260_v1_6	7998
2010-01-01	2011-12-31	H3260_v1_4	7999
2012-01-01	2015-12-31	H3260_v1_5	7999
2016-01-01	2017-12-31	H3260_v1_6	7999
2012-01-01	2015-12-31	H3260_v1_5	9273
2012-01-01	2015-12-31	H3260_v1_5	9274
2018-01-01	2018-12-31	H3260_v1_7	9543
2018-01-01	2018-12-31	H3260_v1_7	9544
2018-01-01	2018-12-31	H3260_v1_7	9545
2018-01-01	2018-12-31	H3260_v1_7	9546
1899-01-01	2006-12-31	H3260_v1_0	9547
2007-01-01	2007-12-31	H3260_v1_2	9547
2008-01-01	2009-12-31	H3260_v1_3	9547
2010-01-01	2011-12-31	H3260_v1_4	9547
2012-01-01	2015-12-31	H3260_v1_5	9547
2016-01-01	2017-12-31	H3260_v1_6	9547
2018-01-01	2018-12-31	H3260_v1_7	9547
1899-01-01	2006-12-31	H3260_v1_0	9548
2007-01-01	2007-12-31	H3260_v1_2	9548
2008-01-01	2009-12-31	H3260_v1_3	9548
2010-01-01	2011-12-31	H3260_v1_4	9548
2012-01-01	2015-12-31	H3260_v1_5	9548
2016-01-01	2017-12-31	H3260_v1_6	9548
2018-01-01	2018-12-31	H3260_v1_7	9548
1899-01-01	2006-12-31	H3260_v1_0	9549
2007-01-01	2007-12-31	H3260_v1_2	9549
2008-01-01	2009-12-31	H3260_v1_3	9549
2010-01-01	2011-12-31	H3260_v1_4	9549
2012-01-01	2015-12-31	H3260_v1_5	9549
2016-01-01	2017-12-31	H3260_v1_6	9549
2018-01-01	2018-12-31	H3260_v1_7	9549
2018-01-01	2018-12-31	H3260_v1_7	19756
2018-01-01	2018-12-31	H3260_v1_7	19757
2018-01-01	2018-12-31	H3260_v1_7	19758
2018-01-01	2018-12-31	H3260_v1_7	19759
2018-01-01	2018-12-31	H3260_v1_7	19760
2018-01-01	2018-12-31	H3260_v1_7	19761
2018-01-01	2018-12-31	H3260_v1_7	19762
2018-01-01	2018-12-31	H3260_v1_7	19763
2018-01-01	2018-12-31	H3260_v1_7	19764
2012-01-01	2015-12-31	H3260_v1_5	19765
2012-01-01	2015-12-31	H3260_v1_5	19766
2007-01-01	2007-12-31	H3260_v1_2	32535
2008-01-01	2009-12-31	H3260_v1_3	32535
2010-01-01	2011-12-31	H3260_v1_4	32535
2012-01-01	2015-12-31	H3260_v1_5	32535
2016-01-01	2017-12-31	H3260_v1_6	32535
2018-01-01	2018-12-31	H3260_v1_7	32535
2012-01-01	2015-12-31	H3260_v1_5	33363
2018-01-01	2018-12-31	H3260_v1_7	33363
2012-01-01	2015-12-31	H3260_v1_5	33364
2018-01-01	2018-12-31	H3260_v1_7	33364
2012-01-01	2015-12-31	H3260_v1_5	33365
2018-01-01	2018-12-31	H3260_v1_7	33365
2012-01-01	2015-12-31	H3260_v1_5	33366
2018-01-01	2018-12-31	H3260_v1_7	33366
2012-01-01	2015-12-31	H3260_v1_5	33367
2018-01-01	2018-12-31	H3260_v1_7	33367
2012-01-01	2015-12-31	H3260_v1_5	33368
2018-01-01	2018-12-31	H3260_v1_7	33368
2012-01-01	2015-12-31	H3260_v1_5	33369
2018-01-01	2018-12-31	H3260_v1_7	33369
2012-01-01	2015-12-31	H3260_v1_5	33370
2018-01-01	2018-12-31	H3260_v1_7	33370
2012-01-01	2015-12-31	H3260_v1_5	33371
2018-01-01	2018-12-31	H3260_v1_7	33371
2012-01-01	2015-12-31	H3260_v1_5	33372
2018-01-01	2018-12-31	H3260_v1_7	33372
2012-01-01	2015-12-31	H3260_v1_5	33373
2018-01-01	2018-12-31	H3260_v1_7	33373
2012-01-01	2015-12-31	H3260_v1_5	33374
2018-01-01	2018-12-31	H3260_v1_7	33374
2012-01-01	2015-12-31	H3260_v1_5	33375
2018-01-01	2018-12-31	H3260_v1_7	33375
2007-01-01	2007-12-31	H3260_v1_2	33383
2008-01-01	2009-12-31	H3260_v1_3	33383
2010-01-01	2011-12-31	H3260_v1_4	33383
2016-01-01	2017-12-31	H3260_v1_6	33383
2007-01-01	2007-12-31	H3260_v1_2	33384
2008-01-01	2009-12-31	H3260_v1_3	33384
2010-01-01	2011-12-31	H3260_v1_4	33384
2012-01-01	2015-12-31	H3260_v1_5	33384
2016-01-01	2017-12-31	H3260_v1_6	33384
1899-01-01	2006-12-31	H3260_v1_0	33385
2007-01-01	2007-12-31	H3260_v1_2	33385
2008-01-01	2009-12-31	H3260_v1_3	33385
2010-01-01	2011-12-31	H3260_v1_4	33385
2012-01-01	2015-12-31	H3260_v1_5	33385
2016-01-01	2017-12-31	H3260_v1_6	33385
1899-01-01	2006-12-31	H3260_v1_0	33386
2007-01-01	2007-12-31	H3260_v1_2	33386
2008-01-01	2009-12-31	H3260_v1_3	33386
2010-01-01	2011-12-31	H3260_v1_4	33386
2012-01-01	2015-12-31	H3260_v1_5	33386
2016-01-01	2017-12-31	H3260_v1_6	33386
2007-01-01	2007-12-31	H3260_v1_2	33387
2008-01-01	2009-12-31	H3260_v1_3	33387
2010-01-01	2011-12-31	H3260_v1_4	33387
2012-01-01	2015-12-31	H3260_v1_5	33387
2016-01-01	2017-12-31	H3260_v1_6	33387
2007-01-01	2007-12-31	H3260_v1_2	33388
2008-01-01	2009-12-31	H3260_v1_3	33388
2010-01-01	2011-12-31	H3260_v1_4	33388
2012-01-01	2015-12-31	H3260_v1_5	33388
2016-01-01	2017-12-31	H3260_v1_6	33388
2007-01-01	2007-12-31	H3260_v1_2	33389
2008-01-01	2009-12-31	H3260_v1_3	33389
2010-01-01	2011-12-31	H3260_v1_4	33389
2012-01-01	2015-12-31	H3260_v1_5	33389
2016-01-01	2017-12-31	H3260_v1_6	33389
2007-01-01	2007-12-31	H3260_v1_2	33411
2008-01-01	2009-12-31	H3260_v1_3	33411
2010-01-01	2011-12-31	H3260_v1_4	33411
2012-01-01	2015-12-31	H3260_v1_5	33411
2016-01-01	2017-12-31	H3260_v1_6	33411
2018-01-01	2018-12-31	H3260_v1_7	33411
2007-01-01	2007-12-31	H3260_v1_2	33412
2008-01-01	2009-12-31	H3260_v1_3	33412
2010-01-01	2011-12-31	H3260_v1_4	33412
2012-01-01	2015-12-31	H3260_v1_5	33412
2016-01-01	2017-12-31	H3260_v1_6	33412
2018-01-01	2018-12-31	H3260_v1_7	33412
1899-01-01	2006-12-31	H3260_v1_0	33413
2007-01-01	2007-12-31	H3260_v1_2	33413
2008-01-01	2009-12-31	H3260_v1_3	33413
2010-01-01	2011-12-31	H3260_v1_4	33413
2012-01-01	2015-12-31	H3260_v1_5	33413
2016-01-01	2017-12-31	H3260_v1_6	33413
2018-01-01	2018-12-31	H3260_v1_7	33413
1899-01-01	2006-12-31	H3260_v1_0	33414
2007-01-01	2007-12-31	H3260_v1_2	33414
2008-01-01	2009-12-31	H3260_v1_3	33414
2010-01-01	2011-12-31	H3260_v1_4	33414
2012-01-01	2015-12-31	H3260_v1_5	33414
2016-01-01	2017-12-31	H3260_v1_6	33414
2018-01-01	2018-12-31	H3260_v1_7	33414
2007-01-01	2007-12-31	H3260_v1_2	33415
2008-01-01	2009-12-31	H3260_v1_3	33415
2010-01-01	2011-12-31	H3260_v1_4	33415
2012-01-01	2015-12-31	H3260_v1_5	33415
2016-01-01	2017-12-31	H3260_v1_6	33415
2018-01-01	2018-12-31	H3260_v1_7	33415
2007-01-01	2007-12-31	H3260_v1_2	33416
2008-01-01	2009-12-31	H3260_v1_3	33416
2010-01-01	2011-12-31	H3260_v1_4	33416
2012-01-01	2015-12-31	H3260_v1_5	33416
2016-01-01	2017-12-31	H3260_v1_6	33416
2018-01-01	2018-12-31	H3260_v1_7	33416
2007-01-01	2007-12-31	H3260_v1_2	33417
2008-01-01	2009-12-31	H3260_v1_3	33417
2010-01-01	2011-12-31	H3260_v1_4	33417
2012-01-01	2015-12-31	H3260_v1_5	33417
2016-01-01	2017-12-31	H3260_v1_6	33417
2018-01-01	2018-12-31	H3260_v1_7	33417
2007-01-01	2007-12-31	H3260_v1_2	33418
2008-01-01	2009-12-31	H3260_v1_3	33418
2010-01-01	2011-12-31	H3260_v1_4	33418
2012-01-01	2015-12-31	H3260_v1_5	33418
2016-01-01	2017-12-31	H3260_v1_6	33418
2018-01-01	2018-12-31	H3260_v1_7	33418
1899-01-01	2006-12-31	H3260_v1_0	34634
1899-01-01	2006-12-31	H3260_v1_0	34635
1899-01-01	2006-12-31	H3260_v1_0	35601
2007-01-01	2007-12-31	H3260_v1_2	35601
2008-01-01	2009-12-31	H3260_v1_3	35601
2010-01-01	2011-12-31	H3260_v1_4	35601
2012-01-01	2015-12-31	H3260_v1_5	35601
2016-01-01	2017-12-31	H3260_v1_6	35601
2018-01-01	2018-12-31	H3260_v1_7	35601
1899-01-01	2006-12-31	H3260_v1_0	35602
2007-01-01	2007-12-31	H3260_v1_2	35602
2008-01-01	2009-12-31	H3260_v1_3	35602
2010-01-01	2011-12-31	H3260_v1_4	35602
2012-01-01	2015-12-31	H3260_v1_5	35602
2016-01-01	2017-12-31	H3260_v1_6	35602
2018-01-01	2018-12-31	H3260_v1_7	35602
2007-01-01	2007-12-31	H3260_v1_2	35608
2008-01-01	2009-12-31	H3260_v1_3	35608
2010-01-01	2011-12-31	H3260_v1_4	35608
2012-01-01	2015-12-31	H3260_v1_5	35608
2016-01-01	2017-12-31	H3260_v1_6	35608
2007-01-01	2007-12-31	H3260_v1_2	35609
2008-01-01	2009-12-31	H3260_v1_3	35609
2010-01-01	2011-12-31	H3260_v1_4	35609
2012-01-01	2015-12-31	H3260_v1_5	35609
2016-01-01	2017-12-31	H3260_v1_6	35609
2007-01-01	2007-12-31	H3260_v1_2	35610
2008-01-01	2009-12-31	H3260_v1_3	35610
2010-01-01	2011-12-31	H3260_v1_4	35610
2012-01-01	2015-12-31	H3260_v1_5	35610
2016-01-01	2017-12-31	H3260_v1_6	35610
2007-01-01	2007-12-31	H3260_v1_2	35611
2008-01-01	2009-12-31	H3260_v1_3	35611
2010-01-01	2011-12-31	H3260_v1_4	35611
2012-01-01	2015-12-31	H3260_v1_5	35611
2016-01-01	2017-12-31	H3260_v1_6	35611
2007-01-01	2007-12-31	H3260_v1_2	35612
2008-01-01	2009-12-31	H3260_v1_3	35612
2010-01-01	2011-12-31	H3260_v1_4	35612
2012-01-01	2015-12-31	H3260_v1_5	35612
2016-01-01	2017-12-31	H3260_v1_6	35612
2007-01-01	2007-12-31	H3260_v1_2	35613
2008-01-01	2009-12-31	H3260_v1_3	35613
2010-01-01	2011-12-31	H3260_v1_4	35613
2012-01-01	2015-12-31	H3260_v1_5	35613
2016-01-01	2017-12-31	H3260_v1_6	35613
2007-01-01	2007-12-31	H3260_v1_2	35614
2008-01-01	2009-12-31	H3260_v1_3	35614
2010-01-01	2011-12-31	H3260_v1_4	35614
2012-01-01	2015-12-31	H3260_v1_5	35614
2016-01-01	2017-12-31	H3260_v1_6	35614
1899-01-01	2006-12-31	H3260_v1_0	35615
2007-01-01	2007-12-31	H3260_v1_2	35615
2008-01-01	2009-12-31	H3260_v1_3	35615
2010-01-01	2011-12-31	H3260_v1_4	35615
2012-01-01	2015-12-31	H3260_v1_5	35615
2016-01-01	2017-12-31	H3260_v1_6	35615
2018-01-01	2018-12-31	H3260_v1_7	35615
1899-01-01	2006-12-31	H3260_v1_0	35616
2007-01-01	2007-12-31	H3260_v1_2	35616
2008-01-01	2009-12-31	H3260_v1_3	35616
2010-01-01	2011-12-31	H3260_v1_4	35616
2012-01-01	2015-12-31	H3260_v1_5	35616
2016-01-01	2017-12-31	H3260_v1_6	35616
2018-01-01	2018-12-31	H3260_v1_7	35616
2012-01-01	2015-12-31	H3260_v1_5	36202
2018-01-01	2018-12-31	H3260_v1_7	36202
2012-01-01	2015-12-31	H3260_v1_5	36203
2018-01-01	2018-12-31	H3260_v1_7	36203
2012-01-01	2015-12-31	H3260_v1_5	36204
2018-01-01	2018-12-31	H3260_v1_7	36204
2012-01-01	2015-12-31	H3260_v1_5	36205
2018-01-01	2018-12-31	H3260_v1_7	36205
2012-01-01	2015-12-31	H3260_v1_5	37174
2018-01-01	2018-12-31	H3260_v1_7	37174
2012-01-01	2015-12-31	H3260_v1_5	37175
2018-01-01	2018-12-31	H3260_v1_7	37175
1899-01-01	2006-12-31	H3260_v1_0	37552
2007-01-01	2007-12-31	H3260_v1_2	37552
2010-01-01	2011-12-31	H3260_v1_4	37663
2016-01-01	2017-12-31	H3260_v1_6	37663
2010-01-01	2011-12-31	H3260_v1_4	37664
2016-01-01	2017-12-31	H3260_v1_6	37664
2010-01-01	2011-12-31	H3260_v1_4	37671
2016-01-01	2017-12-31	H3260_v1_6	37671
2010-01-01	2011-12-31	H3260_v1_4	37672
2016-01-01	2017-12-31	H3260_v1_6	37672
2012-01-01	2015-12-31	H3260_v1_5	37788
2018-01-01	2018-12-31	H3260_v1_7	37788
2012-01-01	2015-12-31	H3260_v1_5	37814
2018-01-01	2018-12-31	H3260_v1_7	37814
2012-01-01	2015-12-31	H3260_v1_5	37815
2018-01-01	2018-12-31	H3260_v1_7	37815
2012-01-01	2015-12-31	H3260_v1_5	37816
2018-01-01	2018-12-31	H3260_v1_7	37816
2012-01-01	2015-12-31	H3260_v1_5	37817
2018-01-01	2018-12-31	H3260_v1_7	37817
2012-01-01	2015-12-31	H3260_v1_5	37818
2018-01-01	2018-12-31	H3260_v1_7	37818
2012-01-01	2015-12-31	H3260_v1_5	37863
2018-01-01	2018-12-31	H3260_v1_7	37863
2012-01-01	2015-12-31	H3260_v1_5	38222
2018-01-01	2018-12-31	H3260_v1_7	38222
2012-01-01	2015-12-31	H3260_v1_5	38223
2018-01-01	2018-12-31	H3260_v1_7	38223
1899-01-01	2006-12-31	H3260_v1_0	38388
2007-01-01	2007-12-31	H3260_v1_2	38388
2008-01-01	2009-12-31	H3260_v1_3	38388
2010-01-01	2011-12-31	H3260_v1_4	38388
2012-01-01	2015-12-31	H3260_v1_5	38388
2016-01-01	2017-12-31	H3260_v1_6	38388
2018-01-01	2018-12-31	H3260_v1_7	38388
1899-01-01	2006-12-31	H3260_v1_0	38389
2007-01-01	2007-12-31	H3260_v1_2	38389
2008-01-01	2009-12-31	H3260_v1_3	38389
2010-01-01	2011-12-31	H3260_v1_4	38389
2012-01-01	2015-12-31	H3260_v1_5	38389
2016-01-01	2017-12-31	H3260_v1_6	38389
2018-01-01	2018-12-31	H3260_v1_7	38389
1899-01-01	2006-12-31	H3260_v1_0	38390
2007-01-01	2007-12-31	H3260_v1_2	38390
2008-01-01	2009-12-31	H3260_v1_3	38390
2010-01-01	2011-12-31	H3260_v1_4	38390
2012-01-01	2015-12-31	H3260_v1_5	38390
2016-01-01	2017-12-31	H3260_v1_6	38390
2018-01-01	2018-12-31	H3260_v1_7	38390
1899-01-01	2006-12-31	H3260_v1_0	38391
2007-01-01	2007-12-31	H3260_v1_2	38391
