polygon_legacyid,x,y,annotation,ranknr,active_in_db_from,active_in_db_till
ANTRIJ0072,175515.4454,224001.428,AN_DVH_003,1099,2018-12-14,9999-12-31
ANTRIJ0076,174986.0021,224341.1728,AN_DVH_006,840,2018-12-14,2018-12-14
ANTRIJ0076,174986.0021,224341.1728,AN_DVH_006,840,2018-12-14,9999-12-31
ANTRIJ0171,174907.1772,228560.8144,AN_SLH_001,834,2018-12-14,2018-12-14
ANTRIJ0171,174907.1772,228560.8144,AN_SLH_001,834,2018-12-14,9999-12-31
ANTRIJ0308,174496.6652,224144.0387,AN_DVH_002,1097,2018-12-14,2018-12-14
ANTRIJ0308,174496.6652,224144.0387,AN_DVH_002,1097,2018-12-14,9999-12-31
ANTSIL0322,164801.8009,219100.9041,AN_RIN_001,858,2018-12-14,2018-12-14
ANTSIL0322,164801.8009,219100.9041,AN_RIN_001,858,2018-12-14,9999-12-31
ANTSTB0002,151308.1342,225980.7099,AN_ATG_001,978,2018-12-14,2018-12-14
ANTSTB0002,151308.1342,225980.7099,AN_ATG_001,978,2018-12-14,9999-12-31
ANTTUR0018,189254.5186,229259.8948,ANTTUR0018,3480,2024-03-22,9999-12-31
ANTTUR0022,188631.4697,227625.9427,ANTTUR0022,3478,2024-03-22,9999-12-31
ANTTUR0046,192010.0807,229516.8835,ANTTUR0046,3486,2024-03-22,9999-12-31
ANTTUR0065,189374.1364,229237.9886,AN_TVG_003,980,2018-12-14,2018-12-14
ANTTUR0065,189374.1364,229237.9886,AN_TVG_003,980,2018-12-14,2024-09-02
ANTTUR0065,189374.1364,229237.9886,AN_TVG_003,980,2024-09-02,9999-12-31
ANTTUR0065,189380.0547,229227.8988,ANTTUR0065,3481,2024-03-22,2024-09-02
ANTTUR0077,189227.7955,229144.1927,ANTTUR0077,3482,2024-03-22,9999-12-31
ANTTUR0079,190226.8912,228272.8594,ANTTUR0079,3474,2024-03-22,9999-12-31
ANTTUR0082,189494.8634,229054.0445,AN_TVG_004,853,2018-12-14,2018-12-14
ANTTUR0082,189494.8634,229054.0445,AN_TVG_004,853,2018-12-14,2024-09-02
ANTTUR0082,189494.8634,229054.0445,AN_TVG_004,853,2024-09-02,9999-12-31
ANTTUR0082,189500.3414,229057.1825,ANTTUR0082,3483,2024-03-22,2024-09-02
ANTTUR0094,189089.8946,228041.2161,ANTTUR0094,3476,2024-03-22,2024-09-02
ANTTUR0094,189093.134,228030.0107,AN_TVG_006,1187,2024-09-02,9999-12-31
ANTTUR0094,189097.4204,228021.1244,AN_TVG_006,1187,2018-12-14,2018-12-14
ANTTUR0094,189097.4204,228021.1244,AN_TVG_006,1187,2018-12-14,2024-09-02
ANTTUR0127,190090.4185,218362.1697,AN_DUI_002,967,2018-12-14,2018-12-14
ANTTUR0127,190090.4185,218362.1697,AN_DUI_002,967,2018-12-14,9999-12-31
ANTTUR0142,189578.6604,217608.2644,AN_DUI_001,968,2018-12-14,2018-12-14
ANTTUR0142,189578.6604,217608.2644,AN_DUI_001,968,2018-12-14,9999-12-31
ANTTUR0207,191463.6087,220697.8208,AN_MEL_001,966,2018-12-14,2018-12-14
ANTTUR0207,191463.6087,220697.8208,AN_MEL_001,966,2018-12-14,9999-12-31
ANTTUR0257,189402.1595,226118.3664,ANTTUR0257,6774,2026-03-04,2026-03-04
ANTTUR0257,189402.1595,226118.3664,NA,6774,2026-03-04,2026-03-04
ANTTUR0257,189402.1595,226118.3664,NA,6774,2026-03-04,2026-03-04
ANTTUR0257,189402.1595,226118.3664,ANTTUR0257,6774,2026-03-04,9999-12-31
ANTTUR0270,191069.5355,229976.3683,ANTTUR0270,3862,2024-03-22,9999-12-31
ANTTUR0273,191237.5463,230136.4416,ANTTUR0273,3863,2024-03-22,9999-12-31
ANTTUR0277,189863.8504,229311.1448,ANTTUR0277,3469,2024-03-22,9999-12-31
ANTTUR0282,189189.1886,228262.4074,ANTTUR0282,3981,2024-05-30,9999-12-31
ANTTUR0287,190392.3552,229360.1463,ANTTUR0287,3466,2024-03-22,9999-12-31
ANTTUR0292,189343.1702,228416.6095,ANTTUR0292,3983,2024-05-30,9999-12-31
ANTTUR0295,189811.2237,228449.856,ANTTUR0295,3472,2024-03-22,9999-12-31
ANTTUR0296,189519.258,228505.2711,AN_TVG_005,854,2018-12-14,2018-12-14
ANTTUR0296,189519.258,228505.2711,AN_TVG_005,854,2018-12-14,2024-09-02
ANTTUR0296,189546.6088,228515.0761,AN_TVG_005,854,2024-09-02,9999-12-31
ANTTUR0296,189571.2899,228526.5809,ANTTUR0296,3475,2024-03-22,2024-09-02
ANTTUR0297,189536.8749,228582.103,ANTTUR0297,3982,2024-05-30,9999-12-31
ANTTUR0299,189553.7419,229027.2832,ANTTUR0299,3980,2024-05-30,9999-12-31
ANTTUR0300,189641.3247,228936.8382,ANTTUR0300,3471,2024-03-22,9999-12-31
ANTTUR0301,189734.6036,229001.5572,ANTTUR0301,3470,2024-03-22,2024-09-02
ANTTUR0301,189746.5533,228997.8052,AN_TVG_001,981,2024-09-02,9999-12-31
ANTTUR0301,189758.3783,228993.9761,AN_TVG_001,981,2018-12-14,2018-12-14
ANTTUR0301,189758.3783,228993.9761,AN_TVG_001,981,2018-12-14,2024-09-02
ANTTUR0302,190235.9955,229277.4437,ANTTUR0302,3467,2024-03-22,9999-12-31
ANTTUR0304,189915.9115,229130.422,AN_TVG_002,982,2018-12-14,2018-12-14
ANTTUR0304,189915.9115,229130.422,AN_TVG_002,982,2018-12-14,2024-09-02
ANTTUR0304,189939.476,229178.7912,AN_TVG_002,982,2024-09-02,9999-12-31
ANTTUR0304,189962.3963,229233.8969,ANTTUR0304,3468,2024-03-22,2024-09-02
ANTTUR0305,188810.5221,227837.2201,ANTTUR0305,3477,2024-03-22,9999-12-31
ANTTUR0343,189653.7532,217752.8838,ANTTUR0343,4747,2025-07-29,9999-12-31
ANTTUR0674,190009.4503,228493.6014,ANTTUR0674,3473,2025-02-05,2026-07-07
ANTTUR0674,190057.3022,228781.9321,ANTTUR0674,6775,2026-03-04,9999-12-31
ANTVOR0058,177388.627,215235.4631,AN_BLO_001,970,2018-12-14,2018-12-14
ANTVOR0058,177388.627,215235.4631,AN_BLO_001,970,2018-12-14,9999-12-31
ANTWES0062,182505.2748,195033.8973,AN_WES_001,1093,2018-12-14,2018-12-14
ANTWES0062,182505.2748,195033.8973,AN_WES_001,1093,2018-12-14,9999-12-31
ANTWES0133,186810.3514,201695.3862,AN_ENG_001,975,2018-12-14,2018-12-14
ANTWES0133,186810.3514,201695.3862,AN_ENG_001,975,2018-12-14,9999-12-31
ANTWIL0020,152465.1079,194667.5316,AN_HAZ_001,1328,2018-12-14,2018-12-14
ANTWIL0020,152465.1079,194667.5316,AN_HAZ_001,1328,2018-12-14,9999-12-31
ANTWUU0140,166408.6877,229395.0081,AN_GSV_008,825,2018-12-14,2018-12-14
ANTWUU0140,166408.6877,229395.0081,AN_GSV_008,825,2018-12-14,9999-12-31
ANTWUU0153,166511.9416,229677.5943,AN_E10_002,824,2018-12-14,2018-12-14
ANTWUU0153,166511.9416,229677.5943,AN_E10_002,824,2018-12-14,9999-12-31
ANTZAN0122,174230.9041,212262.3024,AN_PUL_001,1322,2018-12-14,2018-12-14
ANTZAN0122,174230.9041,212262.3024,AN_PUL_001,1322,2018-12-14,9999-12-31
ANTZAN0172,173950.0535,212228.4311,AN_PUL_004,1321,2018-12-14,2018-12-14
ANTZAN0172,173950.0535,212228.4311,AN_PUL_004,1321,2018-12-14,9999-12-31
ANTZAN0175,174466.2564,212543.5139,AN_PUL_003,1325,2018-12-14,2018-12-14
ANTZAN0175,174466.2564,212543.5139,AN_PUL_003,1325,2018-12-14,9999-12-31
ANTZAN0176,174393.2866,212493.807,AN_PUL_002,1323,2018-12-14,2018-12-14
ANTZAN0176,174393.2866,212493.807,AN_PUL_002,1323,2018-12-14,9999-12-31
BOGR001X,197663.5641,234945.3753,NA,4307,2025-02-05,2025-02-05
BOGR001X,197663.5641,234945.3753,BOGR001X,4307,2025-02-05,9999-12-31
BOGR002X,197263.7287,235098.6651,NA,4308,2025-02-05,2025-02-05
BOGR002X,197263.7287,235098.6651,BOGR002X,4308,2025-02-05,9999-12-31
BOGR003X,198219.3653,234460.2131,NA,4309,2025-02-05,2025-02-05
BOGR003X,198219.3653,234460.2131,BOGR003X,4309,2025-02-05,9999-12-31
KIJR001X,196019.7172,227872.2872,NA,4301,2025-02-05,2025-02-05
KIJR001X,196019.7172,227872.2872,KIJR001X,4301,2025-02-05,9999-12-31
LI_ABH_002,194985.8252,192950.958,NA,910,2018-11-09,2018-11-12
LI_ABH_011,196032.5289,193529.2234,NA,1326,2018-11-09,2018-11-12
LI_ACH_002,228349.558,219520.7944,NA,881,2018-11-09,2018-11-12
LI_ASB_001,238784.8541,179870.2278,NA,1274,2018-11-09,2018-11-12
LI_ASP_002,240792.8057,181131.7084,NA,896,2018-11-09,2018-11-12
LI_BAT_001,244847.7683,203086.8816,NA,1065,2018-11-09,2018-11-12
LI_BBV_001,236557.2224,192255.3438,NA,893,2018-11-09,2018-11-12
LI_BBV_002,236997.1901,192673.6068,NA,894,2018-11-09,2018-11-12
LI_BEG_001,221604.4755,200327.9907,NA,1060,2018-11-09,2018-11-12
LI_BEG_002,221469.4414,200665.217,NA,1358,2018-11-12,2018-11-12
LI_BEG_003,221679.8845,199685.5025,NA,1359,2018-11-12,2018-11-12
LI_BER_001,242761.552,196188.7742,NA,1361,2018-11-12,2018-11-12
LI_BER_002,243101.5312,195509.4989,NA,1069,2018-11-09,2018-11-12
LI_BER_003,243087.3065,196088.935,NA,890,2018-11-09,2018-11-12
LI_BER_004,242940.3997,196582.6599,NA,1068,2018-11-09,2018-11-12
LI_BOK_001,222063.5091,183724.6163,NA,1355,2018-11-12,2018-11-12
LI_BOK_002,221766.1639,183584.8707,NA,1153,2018-11-09,2018-11-12
LI_BOK_003,221877.1569,183587.2519,NA,1155,2018-11-09,2018-11-12
LI_BOK_004,221885.8881,184125.6801,NA,1156,2018-11-09,2018-11-12
LI_BOK_005,221833.0375,183478.1772,NA,1154,2018-11-09,2018-11-12
LI_BOK_006,221087.1756,182685.8809,NA,1151,2018-11-09,2018-11-12
LI_BOK_007,221916.9767,184180.912,NA,1157,2018-11-09,2018-11-12
LI_BOK_008,221573.7453,183647.1802,NA,1152,2018-11-09,2018-11-12
LI_BRB_001,217899.2831,170241.9862,NA,1005,2018-11-09,2018-11-12
LI_DBR_001,243286.4042,202514.4188,NA,888,2018-11-09,2018-11-12
LI_DBR_002,243199.7927,202308.8371,NA,887,2018-11-09,2018-11-12
LI_DBR_003,243734.1066,202424.5397,NA,889,2018-11-09,2018-11-12
LI_DKV_001,228667.3835,163548.3813,NA,1077,2018-11-09,2018-11-12
LI_DKV_002,228701.7,163526.0768,NA,1078,2018-11-09,2018-11-12
LI_DOM_001,224666.6212,207638.7508,NA,884,2018-11-09,2018-11-12
LI_DOM_002,223910.0537,205672.7022,NA,883,2018-11-09,2018-11-12
LI_DON_001,230369.0931,195246.6383,NA,1292,2018-11-09,2018-11-12
LI_DON_002,230201.384,194435.4821,NA,1291,2018-11-09,2018-11-12
LI_DON_003,230028.3262,194452.4116,NA,1290,2018-11-09,2018-11-12
LI_DON_004,230563.8289,195555.9124,NA,902,2018-11-09,2018-11-12
LI_EGO_001,213213.7647,160340.0266,NA,1348,2018-11-09,2018-11-12
LI_EIM_001,242220.7772,189161.6198,NA,1276,2018-11-09,2018-11-12
LI_EKS_001,217623.61,205665.8725,NA,1343,2018-11-09,2018-11-12
LI_GDL_001,211661.1764,185818.061,NA,1079,2018-11-09,2018-11-12
LI_GRD_001,204482.5929,185817.2143,NA,1080,2018-11-09,2018-11-12
LI_HAG_001,223306.7196,217502.6387,NA,880,2018-11-09,2018-11-12
LI_HAG_002,222966.3986,217474.8772,NA,879,2018-11-09,2018-11-12
LI_HAG_003,223143.1539,217277.5241,NA,878,2018-11-09,2018-11-12
LI_HAG_004,222588.2355,217098.4339,NA,877,2018-11-09,2018-11-12
LI_HAL_002,201697.4865,186270.9255,NA,905,2018-11-09,2018-11-12
LI_HAL_003,200690.5333,185517.5494,NA,904,2018-11-09,2018-11-12
LI_HER_001,251550.3901,200404.3625,NA,886,2018-11-09,2018-11-12
LI_HEU_001,239773.7105,190505.7688,NA,1277,2018-11-09,2018-11-12
LI_HEU_002,239121.4656,190224.0879,NA,1278,2018-11-09,2018-11-12
LI_HEU_003,238097.9824,190648.1953,NA,892,2018-11-09,2018-11-12
LI_HEU_004,240150.5248,189939.1282,NA,891,2018-11-09,2018-11-12
LI_HOE_001,234605.9059,176845.7378,NA,898,2018-11-09,2018-11-12
LI_JUF_001,240347.4793,180912.9698,NA,1271,2018-11-09,2018-11-12
LI_KAT_001,215240.4807,210132.907,NA,1346,2018-11-09,2018-11-12
LI_KBR_001,240310.6737,208595.6852,NA,1062,2018-11-09,2018-11-12
LI_KBR_002,240230.9731,208797.4336,NA,1311,2018-11-09,2018-11-12
LI_KBR_003,240332.4222,208803.8748,NA,1310,2018-11-09,2018-11-12
LI_KBR_004,240799.4104,208496.3067,NA,1309,2018-11-09,2018-11-12
LI_KEL_001,225718.4367,192127.1543,NA,1113,2018-11-09,2018-11-12
LI_KES_001,252961.019,205092.7885,NA,885,2018-11-09,2018-11-12
LI_KOL_001,228129.3342,210214.4275,NA,882,2018-11-09,2018-11-12
LI_LAN_003,223873.9146,182157.5955,NA,1301,2018-11-09,2018-11-12
LI_LAN_005,223689.7186,181906.2627,NA,1302,2018-11-09,2018-11-12
LI_LAN_008,223296.5077,181749.3535,NA,1303,2018-11-09,2018-11-12
LI_LBV_001,219036.3199,190368.3688,NA,1127,2018-11-09,2018-11-12
LI_LBV_001,219063.2858,190365.103,NA,1285,2018-11-09,2018-11-12
LI_LBV_003,213543.4266,187686.2822,NA,1126,2018-11-09,2018-11-12
LI_LBV_004,218907.9306,190171.4522,NA,1128,2018-11-09,2018-11-12
LI_LBV_004,218917.551,190182.9345,NA,1286,2018-11-09,2018-11-12
LI_LOM_001,210705.1573,212424.144,NA,1314,2018-11-09,2018-11-12
LI_LUY_001,240200.7497,206979.5716,NA,1063,2018-11-09,2018-11-12
LI_MAA_001,248290.2013,190735.0514,NA,1007,2018-11-09,2018-11-12
LI_MAA_002,243189.1524,177611.3699,NA,1006,2018-11-09,2018-11-12
LI_MAA_003,243248.5761,177841.8021,NA,895,2018-11-09,2018-11-12
LI_MAT_001,227166.4661,183856.8841,NA,1180,2018-11-09,2018-11-12
LI_MAT_002,226270.7174,183121.5261,NA,1175,2018-11-09,2018-11-12
LI_MAT_003,226232.3528,182801.2474,NA,1177,2018-11-09,2018-11-12
LI_MAT_004,226070.692,182767.7775,NA,1176,2018-11-09,2018-11-12
LI_MAT_005,225512.7905,182315.8154,NA,1172,2018-11-09,2018-11-12
LI_MAT_006,227075.8461,183868.5258,NA,1181,2018-11-09,2018-11-12
LI_MAT_007,225920.2496,182492.1605,NA,1170,2018-11-09,2018-11-12
LI_MAT_008,225509.0863,182339.8925,NA,1171,2018-11-09,2018-11-12
LI_MAT_009,226821.0519,183611.8794,NA,1179,2018-11-09,2018-11-12
LI_MAT_010,225528.1363,183052.4168,NA,1173,2018-11-09,2018-11-12
LI_MAT_011,225663.0741,183169.8921,NA,1174,2018-11-09,2018-11-12
LI_MAT_012,224842.7318,181896.9791,NA,1168,2018-11-09,2018-11-12
LI_MAT_013,225782.1368,182532.3773,NA,1169,2018-11-09,2018-11-12
LI_MAT_015,226683.9445,183415.7169,NA,1178,2018-11-09,2018-11-12
LI_MAT_015,226688.4625,183437.0069,NA,1297,2018-11-09,2018-11-12
LI_MAT_016,226597.0859,183362.7634,NA,1294,2018-11-09,2018-11-12
LI_MAT_017,226608.5079,183162.877,NA,1298,2018-11-09,2018-11-12
LI_MEC_001,237155.1412,185963.4454,NA,1071,2018-11-09,2018-11-12
LI_MEC_002,237185.3038,185799.9326,NA,1070,2018-11-09,2018-11-12
LI_MLV_001,216501.3419,186347.3511,NA,1140,2018-11-09,2018-11-12
LI_MLV_002,215883.6709,185536.2031,NA,1138,2018-11-09,2018-11-12
LI_MLV_003,215602.6696,185405.6971,NA,1136,2018-11-09,2018-11-12
LI_MLV_004,215334.9626,185356.2708,NA,1307,2018-11-09,2018-11-12
LI_MLV_005,217188.9217,185826.2753,NA,1353,2018-11-12,2018-11-12
LI_MLV_006,218439.6675,184739.2305,NA,1306,2018-11-09,2018-11-12
LI_MLV_007,218474.7279,185491.717,NA,1305,2018-11-09,2018-11-12
LI_MLV_008,216562.1962,186274.0614,NA,1141,2018-11-09,2018-11-12
LI_MLV_009,217702.7396,185297.7965,NA,1304,2018-11-09,2018-11-12
LI_MLV_010,216593.4833,185412.8409,NA,1139,2018-11-09,2018-11-12
LI_MLV_011,215280.089,184171.9955,NA,1131,2018-11-09,2018-11-12
LI_MLV_013,218508.1576,184778.0645,NA,1150,2018-11-09,2018-11-12
LI_MLV_014,217921.4164,184584.1775,NA,1149,2018-11-09,2018-11-12
LI_MLV_015,217752.4532,185736.89,NA,1145,2018-11-09,2018-11-12
LI_MLV_016,216701.1028,186049.1651,NA,1143,2018-11-09,2018-11-12
LI_MLV_017,215313.6911,184095.1074,NA,1130,2018-11-09,2018-11-12
LI_MLV_018,216869.8014,185860.3051,NA,1144,2018-11-09,2018-11-12
LI_MLV_020,216922.2949,186184.632,NA,1142,2018-11-09,2018-11-12
LI_MLV_021,217522.3711,186440.2597,NA,1148,2018-11-09,2018-11-12
LI_MLV_022,217606.0854,186503.2307,NA,1147,2018-11-09,2018-11-12
LI_MLV_023,218131.9987,186099.6345,NA,1146,2018-11-09,2018-11-12
LI_MLV_024,215387.6952,184719.5254,NA,1133,2018-11-09,2018-11-12
LI_MLV_025,215570.946,185347.1977,NA,1135,2018-11-09,2018-11-12
LI_MLV_026,215740.2665,185502.601,NA,1137,2018-11-09,2018-11-12
LI_MLV_027,215415.4501,184241.8986,NA,1132,2018-11-09,2018-11-12
LI_MLV_029,216558.5582,183644.9621,NA,1129,2018-11-09,2018-11-12
LI_MOB_001,245784.2497,206792.9474,NA,1064,2018-11-09,2018-11-12
LI_MUN_001,232386.6653,177352.2109,NA,1072,2018-11-09,2018-11-12
LI_MUN_002,232515.7293,177527.0611,NA,1073,2018-11-09,2018-11-12
LI_OPH_001,233012.2859,195217.4675,NA,1293,2018-11-09,2018-11-12
LI_OPH_002,233148.7419,195085.9067,NA,1195,2018-11-12,2018-11-12
LI_OPH_003,233238.1712,194985.894,NA,1196,2018-11-12,2018-11-12
LI_OPH_004,232614.4861,194567.0302,NA,901,2018-11-09,2018-11-12
LI_OPH_005,231848.9921,193868.0526,NA,899,2018-11-09,2018-11-12
LI_OPH_006,232369.4285,193828.7883,NA,900,2018-11-09,2018-11-12
LI_PIJ_001,218793.9712,208559.7207,NA,1345,2018-11-09,2018-11-12
LI_PIJ_002,218941.2256,207582.0591,NA,1344,2018-11-09,2018-11-12
LI_RDP_001,224142.7075,191755.5462,NA,1112,2018-11-09,2018-11-12
LI_SAH_001,214218.2078,215946.9874,NA,1313,2018-11-09,2018-11-12
LI_SBB_001,222769.349,187264.1405,NA,1354,2018-11-12,2018-11-12
LI_SBB_002,222373.2516,186695.7331,NA,1124,2018-11-09,2018-11-12
LI_SBB_003,222211.4586,186773.9176,NA,1123,2018-11-09,2018-11-12
LI_SBB_004,221581.8813,186296.82,NA,1125,2018-11-09,2018-11-12
LI_SBB_005,222968.7637,187536.7129,NA,1122,2018-11-09,2018-11-12
LI_SCH_001,246202.2102,199016.3303,NA,1067,2018-11-09,2018-11-12
LI_SLU_001,240088.6783,180956.3097,NA,1272,2018-11-09,2018-11-12
LI_STI_001,228990.8403,185973.3171,NA,1360,2018-11-12,2018-11-12
LI_TEU_001,224729.4811,188414.8976,NA,1119,2018-11-09,2018-11-12
LI_TEU_002,223345.7043,188399.9753,NA,1280,2018-11-09,2018-11-12
LI_TEU_002,223371.187,188410.6907,NA,1117,2018-11-09,2018-11-12
LI_TEU_003,224869.7988,188885.0323,NA,1121,2018-11-09,2018-11-12
LI_TEU_003,224870.6729,188875.5369,NA,1283,2018-11-09,2018-11-12
LI_TEU_004,223425.9029,188509.5922,NA,1118,2018-11-09,2018-11-12
LI_TEU_004,223454.8694,188526.3771,NA,1279,2018-11-09,2018-11-12
LI_TEU_005,225814.275,188375.4085,NA,1120,2018-11-09,2018-11-12
LI_TEU_005,225833.5205,188366.9385,NA,1284,2018-11-09,2018-11-12
LI_TEU_006,224717.5962,188676.9704,NA,1282,2018-11-09,2018-11-12
LI_TEU_007,224668.4962,188738.3455,NA,1281,2018-11-09,2018-11-12
LI_THD_002,224304.7652,190838.4721,NA,1114,2018-11-09,2018-11-12
LI_THD_002,224344.8124,190823.8479,NA,1288,2018-11-09,2018-11-12
LI_THD_003,223483.629,190309.2234,NA,1289,2018-11-09,2018-11-12
LI_THD_003,223533.2287,190341.0523,NA,1116,2018-11-09,2018-11-12
LI_THD_004,224181.1979,190939.6027,NA,1115,2018-11-09,2018-11-12
LI_THD_004,224189.2858,190943.4838,NA,1287,2018-11-09,2018-11-12
LI_TOM_001,215869.171,180807.5041,NA,1075,2018-11-09,2018-11-12
LI_TOM_002,216064.6191,180688.4546,NA,1076,2018-11-09,2018-11-12
LI_VBR_001,251586.1901,206537.5049,NA,1066,2018-11-09,2018-11-12
LI_VIJ_001,206383.9091,185240.4255,NA,1308,2018-11-09,2018-11-12
LI_VOB_001,241047.8869,185436.4738,NA,1275,2018-11-09,2018-11-12
LI_VOB_002,241097.3497,185272.4141,NA,897,2018-11-09,2018-11-12
LI_VOS_001,216645.0888,216729.0664,NA,1312,2018-11-09,2018-11-12
LI_VZB_001,218262.7999,198242.4648,NA,1356,2018-11-12,2018-11-12
LI_VZB_002,220053.0947,197532.9054,NA,1357,2018-11-12,2018-11-12
LI_VZB_003,220475.681,197932.8518,NA,1107,2018-11-09,2018-11-12
LI_VZB_004,218953.6888,198862.5731,NA,1110,2018-11-09,2018-11-12
LI_VZB_005,219975.2207,197342.6975,NA,1108,2018-11-09,2018-11-12
LI_VZB_006,217503.6634,197733.9906,NA,1111,2018-11-09,2018-11-12
LI_VZB_007,219629.6741,197874.1142,NA,1109,2018-11-09,2018-11-12
LI_VZB_008,217601.5215,197915.9339,NA,903,2018-11-09,2018-11-12
LI_WAR_001,228368.099,216403.2904,NA,1061,2018-11-09,2018-11-12
LI_WIK_001,223521.8763,185019.1798,NA,1167,2018-11-09,2018-11-12
LI_WIK_002,223767.8599,185133.9034,NA,1166,2018-11-09,2018-11-12
LI_WIK_003,224438.4477,185083.8838,NA,1160,2018-11-09,2018-11-12
LI_WIK_004,224671.6519,184978.2619,NA,1159,2018-11-09,2018-11-12
LI_WIK_005,224286.9205,185015.5947,NA,1161,2018-11-09,2018-11-12
LI_WIK_006,224320.4168,185191.49,NA,1162,2018-11-09,2018-11-12
LI_WIK_007,224424.4248,184776.2257,NA,1158,2018-11-09,2018-11-12
LI_WIK_008,224195.2819,185237.1308,NA,1163,2018-11-09,2018-11-12
LI_WIK_009,223858.6651,185189.9687,NA,1164,2018-11-09,2018-11-12
LI_WIK_010,224017.4154,185168.4051,NA,1165,2018-11-09,2018-11-12
LI_ZPB_001,240330.2789,180375.6399,NA,1273,2018-11-09,2018-11-12
LI_ZUT_001,232076.1497,178523.5104,NA,1074,2018-11-09,2018-11-12
LI°_ASP_001,240985.1945,181431.81,NA,1270,2018-11-09,2018-11-12
LIER030X,193247.6127,226390.3878,NA,4299,2025-02-05,2025-02-05
LIER030X,193247.6127,226390.3878,LIER030X,4299,2025-02-05,9999-12-31
LIER031X,196536.8653,223548.0517,NA,4319,2025-02-05,2025-02-05
LIER031X,196536.8653,223548.0517,LIER031X,4319,2025-02-05,9999-12-31
LIER032X,196062.2086,224165.2942,NA,4320,2025-02-05,2025-02-05
LIER032X,196062.2086,224165.2942,LIER032X,4320,2025-02-05,9999-12-31
LIER033X,195678.5173,225992.1559,NA,4321,2025-02-05,2025-02-05
LIER033X,195678.5173,225992.1559,LIER033X,4321,2025-02-05,9999-12-31
LIER034X,194799.7639,225453.305,NA,4322,2025-02-05,2025-02-05
LIER034X,194799.7639,225453.305,LIER034X,4322,2025-02-05,9999-12-31
LIER035X,195377.5187,225237.5926,NA,4323,2025-02-05,2025-02-05
LIER035X,195377.5187,225237.5926,LIER035X,4323,2025-02-05,9999-12-31
LIER036X,193912.6474,224772.1161,NA,4324,2025-02-05,2025-02-05
LIER036X,193912.6474,224772.1161,LIER036X,4324,2025-02-05,9999-12-31
LIMAS224,238097.9824,190648.1953,LI_HEU_003,892,2018-12-14,2018-12-14
LIMAS224,238097.9824,190648.1953,LI_HEU_003,892,2018-12-14,9999-12-31
LIMBIL0097,234605.9059,176845.7378,LI_HOE_001,898,2018-12-14,2018-12-14
LIMBIL0097,234605.9059,176845.7378,LI_HOE_001,898,2018-12-14,9999-12-31
LIMBIL0100,232386.6653,177352.2109,LI_MUN_001,1072,2018-12-14,2018-12-14
LIMBIL0100,232386.6653,177352.2109,LI_MUN_001,1072,2018-12-14,9999-12-31
LIMBIL0336,232515.7293,177527.0611,LI_MUN_002,1073,2018-12-14,2018-12-14
LIMBIL0336,232515.7293,177527.0611,LI_MUN_002,1073,2018-12-14,9999-12-31
LIMBOC0235,240230.9731,208797.4336,LI_KBR_002,1311,2018-12-14,2018-12-14
LIMBOC0235,240230.9731,208797.4336,LI_KBR_002,1311,2018-12-14,9999-12-31
LIMBRE0077,240799.4104,208496.3067,LI_KBR_004,1309,2018-12-14,2018-12-14
LIMBRE0077,240799.4104,208496.3067,LI_KBR_004,1309,2018-12-14,9999-12-31
LIMBRE0263,240200.7497,206979.5716,LI_LUY_001,1063,2018-12-14,2018-12-14
LIMBRE0263,240200.7497,206979.5716,LI_LUY_001,1063,2018-12-14,9999-12-31
LIMBRE0283,240310.6737,208595.6852,LI_KBR_001,1062,2018-12-14,2018-12-14
LIMBRE0283,240310.6737,208595.6852,LI_KBR_001,1062,2018-12-14,9999-12-31
LIMBRE0285,240332.4222,208803.8748,LI_KBR_003,1310,2018-12-14,2018-12-14
LIMBRE0285,240332.4222,208803.8748,LI_KBR_003,1310,2018-12-14,9999-12-31
LIMBRG0182,217503.6634,197733.9906,LI_VZB_006,1111,2018-12-14,2018-12-14
LIMBRG0182,217503.6634,197733.9906,LI_VZB_006,1111,2018-12-14,9999-12-31
LIMBRG0199,217601.5215,197915.9339,LI_VZB_008,903,2018-12-14,2018-12-14
LIMBRG0199,217601.5215,197915.9339,LI_VZB_008,903,2018-12-14,9999-12-31
LIMDPB0057,223873.9146,182157.5955,LI_LAN_003,1301,2018-12-14,2018-12-14
LIMDPB0057,223873.9146,182157.5955,LI_LAN_003,1301,2018-12-14,9999-12-31
LIMDPB0158,224842.7318,181896.9791,LI_MAT_012,1168,2018-12-14,2018-12-14
LIMDPB0158,224842.7318,181896.9791,LI_MAT_012,1168,2018-12-14,9999-12-31
LIMDPB0311,223689.7186,181906.2627,LI_LAN_005,1302,2018-12-14,2018-12-14
LIMDPB0311,223689.7186,181906.2627,LI_LAN_005,1302,2018-12-14,9999-12-31
LIMDPB0315,223296.5077,181749.3535,LI_LAN_008,1303,2018-12-14,2018-12-14
LIMDPB0315,223296.5077,181749.3535,LI_LAN_008,1303,2018-12-14,9999-12-31
LIMDST0104,239121.4656,190224.0879,LI_HEU_002,1278,2018-12-14,2018-12-14
LIMDST0104,239121.4656,190224.0879,LI_HEU_002,1278,2018-12-14,9999-12-31
LIMDST0108,239732.9667,190483.182,LIMDST0108,4035,2024-05-31,9999-12-31
LIMDST0108,239773.7105,190505.7688,LI_HEU_001,1277,2018-12-14,2018-12-14
