activity,activity_name,is_datacollection_method,is_field_activity,is_prep_activity,is_lab_activity,protocol
SURFINSTWELLDIVER,"buis met divers in oppervlaktewater installeren, repareren of vervangen",FALSE,TRUE,FALSE,FALSE,NA
SURFLEVREADDIVER,diverlogger in oppervlaktewater uitlezen,TRUE,TRUE,FALSE,FALSE,NA
SURFLENTSAMPLPOINT,vast staalnamepunt selecteren in stilstaande wateren indien er nog geen bestond,TRUE,TRUE,FALSE,FALSE,spp-116-nl
SURFLOTSAMPLPOINT,vast staalnamepunt selecteren in stromende wateren indien er nog geen bestond,TRUE,TRUE,FALSE,FALSE,spp-117-nl
SPATPOSITPIPE,peilbuis of piëzometer ruimtelijk inmeten,TRUE,TRUE,FALSE,FALSE,NA
SPATPOSITGAUGE,peillat ruimtelijk inmeten,TRUE,TRUE,FALSE,FALSE,NA
ADHOCDIVERREPLACE,ad-hoc een diver in grondwater of oppervlaktewater vervangen,FALSE,TRUE,FALSE,FALSE,spp-003-nl
ADHOCPIPEREPLACE,ad-hoc een buis in grondwater of oppervlaktewater vervangen of herstellen,FALSE,TRUE,FALSE,FALSE,spp-003-nl
SURFADHOCGAUGEREPLACE,ad-hoc een peillat vervangen of herstellen,FALSE,TRUE,FALSE,FALSE,NA
LSVITERR,LSVI bepalen in terrestrisch habitat,TRUE,TRUE,FALSE,FALSE,NA
LSVIAQ,LSVI bepalen in aquatisch habitat,TRUE,TRUE,FALSE,FALSE,NA
WATERDELIVER,waterstalen afleveren en inschrijven,FALSE,FALSE,FALSE,TRUE,NA
SOILDELIVER,"bodemstalen afleveren, inschrijven en in oven plaatsen",FALSE,FALSE,FALSE,TRUE,NA
SOILOUTOVEN,bodemstalen uit oven halen (één keer per week inplannen),FALSE,FALSE,FALSE,TRUE,NA
SOILPREPROCES,"droge bodemstalen zeven, breken en malen",FALSE,FALSE,FALSE,TRUE,NA
GWSURFINSTALLMAT,"installatiemateriaal voor grondwater of oppervlaktewater laden, lossen, opkuisen en opruimen (peilbuizen of peillatten)",FALSE,FALSE,TRUE,FALSE,NA
GWMAT,"staalnamemateriaal voor grondwater laden, lossen, kuisen en opruimen",FALSE,FALSE,TRUE,FALSE,NA
SOILMAT,"staalnamemateriaal voor bodem laden, lossen, kuisen en opruimen",FALSE,FALSE,TRUE,FALSE,NA
SURFMAT,"staalnamemateriaal voor oppervlaktewater laden, lossen, kuisen en opruimen",FALSE,FALSE,TRUE,FALSE,NA
SECDATACOLL,data uit bestaande databronnen verwerven (secundaire dataverwerving),TRUE,FALSE,FALSE,FALSE,NA
