ChemMetingWID	StaalID	ChemMetingID	DatumWID	OperatorWID	ChemVarWID	PeilpuntWID	MeetpuntWID	GebiedWID	Meetwaarde	MeetwaardeMEQ	MetingStatusCode	MetingStatus	ChemVarID	ChemVarCode	ChemVarNaam	ChemVarEenheid	Coefficient	Ion	MeetpuntCode	MeetpuntXCoordinaat	MeetpuntYCoordinaat	MeetpuntRegio	NAAM	optional	Cluster	PeilpuntCode	ReferentieNiveauMaaiveld	PeilbuisLengte	FilterLengte	Onderkant	Bovenkant	HAB1	HAB2	pHAB1	pHAB2	Bodemserie	Bodem	EcoRegio	DISTRICT	GEBCODE	SBZ	FysRegio	ligging2	Habitat	HabitatGroep	Jaar	Maand	LogMeetwaarde
201	1395	15127378	19900828	-1	6	3353	41	305	0.044	0.0042621892	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	BUIP241	206552	211872	47	1	1	1	BUIP241X	0.02	1.02	0.25	-1	-0.75	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1990	8	-3.123565645063876
211	660	15124128	20080611	-1	7	29017	6587	129	0.173	0.0123483226	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	WAHP516	138816	214717	320	1	1	88	WAHP516X	0.21	2.57	1	-2.36	-1.36	gh	rbbmr	80	10	Uep	1	9	5	NA	0	19	47	rbbmr	4	2008	6	-1.7544636844843582
212	724	15124190	20090701	-1	7	5472	6710	226	0.011	7.851534e-4	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	DYLP012	169858	167945	77	1	1	111	DYLP012X	0.44	0.9	0.3	-0.46	-0.16	rbbsp	rbbmc	70	30	Afp	1	11	4	32	1	1	24	rbbmc	4	2009	7	-4.509860006183766
231	3800	15157738	20050511	-1	6	8599	2630	219	0.05	0.0048433968	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	HELP018	35365	165268	108	1	1	4	HELP018X	0.34	1.37	0.5	-1.03	-0.53	9130_end	91E0_vc	90	10	Efp	1	12	26	37	1	17	24	9130_end	3	2005	5	-2.995732273553991
252	1795	15142549	19890904	-1	9	3270	9606	305	1.322	0.0943611705	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	BUIP206	206260	211815	47	1	1	68	BUIP206X	0.18	0.75	0	-0.57	-0.57	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1989	9	0.2791457414294946
263	118	15123603	20010313	-1	7	2925	6490	318	0.05	0.0035688793	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	BTEP006	99428	172556	44	1	1	23	BTEP006A	0.14	2.33	0.3	-2.19	-1.89	9130_end	NA	100	0	LDx	2	12	36	27	1	18	18	9130_end	3	2001	3	-2.995732273553991
270	704	15124170	20080702	-1	7	27527	5993	3	0.12	0.0085653104	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	VLBP001	134476	192715	306	1	1	16	VLBP001X	1.03	2.68	0.6	-1.65	-1.05	rbbhf	NA	100	0	Ufp	1	9	5	26	1	15	24	rbbhf	4	2008	7	-2.120263536200091
272	118	15124363	20010313	-1	6	2925	6490	318	0.01	9.686793e-4	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	BTEP006	99428	172556	44	1	1	23	BTEP006A	0.14	2.33	0.3	-2.19	-1.89	9130_end	NA	100	0	LDx	2	12	36	27	1	18	18	9130_end	3	2001	3	-4.605170185988091
289	301	15123779	20050407	-1	7	29083	7338	129	0.05	0.0035688793	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	WAHP713	144478	215484	320	1	1	94	WAHP713X	0.281	1.45	0.5	-1.169	-0.669	gh	rbbmr	60	40	Pep	2	9	5	NA	0	19	47	rbbmr	4	2005	4	-2.995732273553991
290	380	15123858	20010403	-1	7	8561	2457	219	14.188	1.0127052105	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	HELP001	37164	166283	108	1	1	3	HELP001A	0.17	1.29	0	-1.12	-1.12	rbbhc	NA	100	0	Ldp	2	12	26	37	1	17	24	rbbhc	3	2001	4	2.6523965369113753
291	614	15124086	20060523	-1	7	29083	7338	129	0.13	0.0092790863	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	WAHP713	144478	215484	320	1	1	94	WAHP713X	0.281	1.45	0.5	-1.169	-0.669	gh	rbbmr	60	40	Pep	2	9	5	NA	0	19	47	rbbmr	4	2006	5	-2.0402208285265546
292	737	15124203	20100216	-1	7	5717	9365	226	0.011	7.851534e-4	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	DYLP044	169683	167310	77	1	1	45	DYLP044A	0.43	2.06	0.3	-1.63	-1.33	rbbhc	rbbms	60	20	AIp	1	11	4	32	1	1	24	rbbhc	3	2010	2	-4.509860006183766
315	3545	15157498	20020815	-1	6	27317	5378	271	0.02	0.0019373587	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	VISP104	180468	219397	305	1	1	35	VISP104X	0	1.37	0.3	-1.37	-1.07	rbbhc	6410_ve	70	30	Pfp	2	3	3	3	1	5	7	rbbhc	3	2002	8	-3.912023005428146
336	301	15124539	20050407	-1	6	29083	7338	129	2.96	0.2867290926	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	WAHP713	144478	215484	320	1	1	94	WAHP713X	0.281	1.45	0.5	-1.169	-0.669	gh	rbbmr	60	40	Pep	2	9	5	NA	0	19	47	rbbmr	4	2005	4	1.085189268335969
342	1814	15142566	19841112	-1	9	3273	9606	305	0.233	0.0166309778	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	BUIP206	206260	211815	47	1	1	68	BUIP206X	0.18	0.75	0	-0.57	-0.57	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1984	11	-1.4567168254164364
343	1816	15142568	19841210	-1	9	3273	9606	305	0.653	0.0466095645	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	BUIP206	206260	211815	47	1	1	68	BUIP206X	0.18	0.75	0	-0.57	-0.57	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1984	12	-0.42617814970570594
350	196	15123676	20080916	-1	7	28415	1727	325	0.121	0.008636688	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	VRIP047	166843	212861	316	1	1	8	VRIP047A	0.22	1.57	0.3	-1.35	-1.05	gh	rbbhc	70	30	Efp	1	3	3	3	1	5	7	rbbhc	3	2008	9	-2.111964733385396
355	196	15124436	20080916	-1	6	28415	1727	325	0.019	0.0018404907	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	VRIP047	166843	212861	316	1	1	8	VRIP047A	0.22	1.57	0.3	-1.35	-1.05	gh	rbbhc	70	30	Efp	1	3	3	3	1	5	7	rbbhc	3	2008	9	-3.9633162998156966
369	3463	15157423	20021115	-1	6	27317	5378	271	0.08	0.0077494349	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	VISP104	180468	219397	305	1	1	35	VISP104X	0	1.37	0.3	-1.37	-1.07	rbbhc	6410_ve	70	30	Pfp	2	3	3	3	1	5	7	rbbhc	3	2002	11	-2.5257286443082556
370	3468	15157428	20030215	-1	6	27325	1534	271	0.06	0.0058120762	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	VISP106	180735	219524	305	1	1	11	VISP106X	0.12	1.61	0.3	-1.49	-1.19	9120	gh	70	30	Pfp	2	3	3	3	1	5	7	9120	2	2003	2	-2.8134107167600364
405	2191	15142885	19850610	-1	9	3273	9606	305	0.467	0.0333333333	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	BUIP206	206260	211815	47	1	1	68	BUIP206X	0.18	0.75	0	-0.57	-0.57	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1985	6	-0.7614260213132397
434	777	15124242	19960326	-1	7	26503	4705	249	0.46	0.0328336902	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	VIJP012	251596	206494	303	1	1	21	VIJP012X	0.32	2.55	0.5	-2.23	-1.73	6430	rbbsf	60	20	Lfp	2	2	14	19	1	12	10	6430	4	1996	3	-0.7765287894989963
466	3163	15157136	20030515	-1	6	27390	6152	271	0.04	0.0038747174	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	VISP125	179740	215279	305	1	1	38	VISP125X	0	1.3	0.3	-1.3	-1	rbbhc	6510_hu	60	20	Zep	2	3	3	3	1	5	7	rbbhc	3	2003	5	-3.2188758248682006
498	263	15123741	20080923	-1	7	8979	1254	57	0.18	0.0128479657	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	HIPP016	144362	201030	115	1	1	3	HIPP016X	0.98	2.98	0.5	-2	-1.5	91E0_vn	rbbmr	80	19	Egp	1	9	5	26	1	15	24	91E0_vn	4	2008	9	-1.7147984280919266
499	277	15123755	20080923	-1	7	8940	3199	57	0.1	0.0071377587	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	HIPP003	142098	200326	115	1	1	8	HIPP003X	0.95	3.5	0.5	-2.55	-2.05	91E0_vn	rbbmr	70	20	Efp	1	9	5	26	1	15	24	91E0_vn	4	2008	9	-2.3025850929940455
504	263	15124501	20080923	-1	6	8979	1254	57	0.01	9.686793e-4	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	HIPP016	144362	201030	115	1	1	3	HIPP016X	0.98	2.98	0.5	-2	-1.5	91E0_vn	rbbmr	80	19	Egp	1	9	5	26	1	15	24	91E0_vn	4	2008	9	-4.605170185988091
505	277	15124515	20080923	-1	6	8940	3199	57	0.01	9.686793e-4	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	HIPP003	142098	200326	115	1	1	8	HIPP003X	0.95	3.5	0.5	-2.55	-2.05	91E0_vn	rbbmr	70	20	Efp	1	9	5	26	1	15	24	91E0_vn	4	2008	9	-4.605170185988091
524	1378	15140653	19850429	-1	10	3365	3027	305	31.6	0.657922132	VLD	Betrouwbaar	14	4	SO4	mg/l	48.03	AN	BUIP242	206696	211999	47	1	1	25	BUIP242A	0.04	1.5	0.25	-1.46	-1.21	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1985	4	3.4531571205928664
526	1395	15140669	19900828	-1	10	3353	41	305	30	0.6246096189	VLD	Betrouwbaar	14	4	SO4	mg/l	48.03	AN	BUIP241	206552	211872	47	1	1	1	BUIP241X	0.02	1.02	0.25	-1	-0.75	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1990	8	3.4011973816621555
554	215	15127695	20080916	-1	9	28377	7533	325	0.77	0.0549607423	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	VRIP032	166713	212917	316	1	1	26	VRIP032X	0.6	1.67	0.3	-1.07	-0.77	6410_mo	6230_hn	40	40	Efp	1	3	3	3	1	5	7	6410_mo	2	2008	9	-0.2613647641344075
577	118	15127618	20010313	-1	9	2925	6490	318	0.1	0.0071377587	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	BTEP006	99428	172556	44	1	1	23	BTEP006A	0.14	2.33	0.3	-2.19	-1.89	9130_end	NA	100	0	LDx	2	12	36	27	1	18	18	9130_end	3	2001	3	-2.3025850929940455
613	866	15127038	20041025	-1	6	187	4697	323	0.01	9.686793e-4	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	ABEP037	230642	203779	2	1	1	13	ABEP037A	1.15	2.46	NA	-1.31	NA	rbbmr	rbbsf	60	20	Sem	2	3	18	15	1	11	7	rbbmr	4	2004	10	-4.605170185988091
618	398	15127871	20090701	-1	9	5662	663	226	4.11	0.2933618843	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	DYLP034	169406	167290	77	1	1	15	DYLP034B	0.55	1.45	0.3	-0.9	-0.6	rbbhc	NA	100	0	Efp	1	11	2	32	1	1	24	rbbhf	4	2009	7	1.4134230285081433
618	398	15127871	20090701	-1	9	5662	663	226	4.11	0.2933618843	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	DYLP034	169406	167290	77	1	1	15	DYLP034B	0.55	1.45	0.3	-0.9	-0.6	rbbhc	NA	100	0	Efp	1	11	2	32	1	1	24	rbbvos	4	2009	7	1.4134230285081433
626	398	15123870	20090701	-1	7	5662	663	226	0.02	0.0014275517	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	DYLP034	169406	167290	77	1	1	15	DYLP034B	0.55	1.45	0.3	-0.9	-0.6	rbbhc	NA	100	0	Efp	1	11	2	32	1	1	24	rbbhf	4	2009	7	-3.912023005428146
626	398	15123870	20090701	-1	7	5662	663	226	0.02	0.0014275517	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	DYLP034	169406	167290	77	1	1	15	DYLP034B	0.55	1.45	0.3	-0.9	-0.6	rbbhc	NA	100	0	Efp	1	11	2	32	1	1	24	rbbvos	4	2009	7	-3.912023005428146
741	2091	15150094	19900828	-1	10	3285	382	305	61	1.2700395586	VLD	Betrouwbaar	14	4	SO4	mg/l	48.03	AN	BUIP210	206450	211955	47	1	1	3	BUIP210X	0.08	0.74	0	-0.66	-0.66	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1990	8	4.110873864173311
789	1478	15140746	19890807	-1	10	3347	5431	305	46.7	0.9723089735	VLD	Betrouwbaar	14	4	SO4	mg/l	48.03	AN	BUIP239	206508	212285	47	1	1	43	BUIP239X	0.04	1.5	0.25	-1.46	-1.21	4010	7230	40	30	Zdg	2	3	3	7	1	11	29	4010	1	1989	8	3.8437441646748516
790	1509	15140773	19890710	-1	10	3347	5431	305	29	0.6037892983	VLD	Betrouwbaar	14	4	SO4	mg/l	48.03	AN	BUIP239	206508	212285	47	1	1	43	BUIP239X	0.04	1.5	0.25	-1.46	-1.21	4010	7230	40	30	Zdg	2	3	3	7	1	11	29	4010	1	1989	7	3.367295829986474
796	900	15127072	20090921	-1	6	345	2020	266	0.016	0.0015498869	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	ASBP001	238494	179477	5	1	1	3	ASBP001X	0.47	1.43	0.3	-0.96	-0.66	91E0_vo	rbbsm	70	30	Zep	2	3	18	17	1	11	41	91E0_vo	2	2009	9	-4.135166556742356
798	1117	15127161	20010913	-1	6	18285	292	94	2.021	0.1957701	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	OSGP003	128189	180382	218	1	1	5	OSGP003X	0.5	2.3	0.3	-1.8	-1.5	rbbmc	gh	70	30	Egp	1	7	15	NA	0	18	24	rbbmc	4	2001	9	0.7035924384214839
799	1283	15127284	20070321	-1	6	25277	1539	75	0.005	4.843396e-4	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	VDBP024	202735	192560	297	1	1	16	VDBP024X	1.07	2.55	0.46	-1.48	-1.02	6430	rbbsf	80	20	V	3	3	35	34	1	7	24	6430	4	2007	3	-5.298317366548036
836	2087	15150090	19890724	-1	10	3285	382	305	83.5	1.7384967728	VLD	Betrouwbaar	14	4	SO4	mg/l	48.03	AN	BUIP210	206450	211955	47	1	1	3	BUIP210X	0.08	0.74	0	-0.66	-0.66	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1989	7	4.42484663185681
837	1283	15140561	20070321	-1	10	25277	1539	75	7	0.1457422444	VLD	Betrouwbaar	14	4	SO4	mg/l	48.03	AN	VDBP024	202735	192560	297	1	1	16	VDBP024X	1.07	2.55	0.46	-1.48	-1.02	6430	rbbsf	80	20	V	3	3	35	34	1	7	24	6430	4	2007	3	1.9459101490553132
848	263	15127742	20080923	-1	9	8979	1254	57	1.3	0.0927908636	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	HIPP016	144362	201030	115	1	1	3	HIPP016X	0.98	2.98	0.5	-2	-1.5	91E0_vn	rbbmr	80	19	Egp	1	9	5	26	1	15	24	91E0_vn	4	2008	9	0.26236426446749106
849	277	15127756	20080923	-1	9	8940	3199	57	2.7	0.192719486	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	HIPP003	142098	200326	115	1	1	8	HIPP003X	0.95	3.5	0.5	-2.55	-2.05	91E0_vn	rbbmr	70	20	Efp	1	9	5	26	1	15	24	91E0_vn	4	2008	9	0.9932517730102834
892	747	15124213	20090701	-1	7	5412	3133	226	0.011	7.851534e-4	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	DYLP007	169592	167455	77	1	1	54	DYLP007B	0.44	2.45	0.44	-2.01	-1.57	6510_hu	NA	100	0	AIp	1	11	4	32	1	1	24	rbbvos	4	2009	7	-4.509860006183766
900	911	15127083	20100628	-1	6	40328	6340	174	4.902	0.4748466257	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	VICP001	42636	197084	301	1	1	1	VICP001X	0.62	3.155	0	-2.535	-2.535	gh	3140	90	10	m.E1	1	9	9	NA	0	9	44	3140	2	2010	6	1.5896432851059208
922	3162	15157135	20030215	-1	6	27390	6152	271	0.23	0.0222796254	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	VISP125	179740	215279	305	1	1	38	VISP125X	0	1.3	0.3	-1.3	-1	rbbhc	6510_hu	60	20	Zep	2	3	3	3	1	5	7	rbbhc	3	2003	2	-1.4696759700589417
946	181	15127662	20080617	-1	9	37417	2086	262	2.24	0.1598857958	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	KBRP039	145965	203970	141	1	1	29	KBRP039X	0.73	1.457	0.5	-0.727	-0.227	91E0_vn	NA	100	0	Eep	1	9	5	26	1	22	24	91E0_vn	4	2008	6	0.8064758658669485
953	181	15123661	20080617	-1	7	37417	2086	262	0.05	0.0035688793	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	KBRP039	145965	203970	141	1	1	29	KBRP039X	0.73	1.457	0.5	-0.727	-0.227	91E0_vn	NA	100	0	Eep	1	9	5	26	1	22	24	91E0_vn	4	2008	6	-2.995732273553991
954	415	15123887	20090701	-1	7	5565	2599	226	0.23	0.0164168451	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	DYLP021	169440	167581	77	1	1	46	DYLP021B	0.32	2.53	0.3	-2.21	-1.91	6430	NA	100	0	AIp	1	11	4	32	1	1	24	6430_hf	4	2009	7	-1.4696759700589417
955	483	15123955	20070515	-1	7	29029	7174	129	0.05	0.0035688793	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	WAHP520	138803	214750	320	1	1	92	WAHP520X	0.136	2.01	0.5	-1.874	-1.374	gh	rbbmr	80	10	Uep	1	9	5	NA	0	19	47	rbbmr	4	2007	5	-2.995732273553991
958	181	15124421	20080617	-1	6	37417	2086	262	0.27	0.0261543429	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	KBRP039	145965	203970	141	1	1	29	KBRP039X	0.73	1.457	0.5	-0.727	-0.227	91E0_vn	NA	100	0	Eep	1	9	5	26	1	22	24	91E0_vn	4	2008	6	-1.3093333199837622
993	3471	15157431	20021115	-1	6	27325	1534	271	0.03	0.0029060381	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	VISP106	180735	219524	305	1	1	11	VISP106X	0.12	1.61	0.3	-1.49	-1.19	9120	gh	70	30	Pfp	2	3	3	3	1	5	7	9120	2	2002	11	-3.506557897319982
994	3689	15157627	20020815	-1	6	27148	4343	271	0.08	0.0077494349	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	VISP002	181212	217908	305	1	1	28	VISP002A	0.33	0.97	0.3	-0.64	-0.34	91E0_vo	NA	100	0	Pfp	2	3	3	3	1	5	7	91E0_vo	2	2002	8	-2.5257286443082556
1009	1817	15142569	19841224	-1	9	3273	9606	305	0.42	0.0299785867	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	BUIP206	206260	211815	47	1	1	68	BUIP206X	0.18	0.75	0	-0.57	-0.57	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1984	12	-0.8675005677047231
1010	1924	15142650	19850204	-1	9	3273	9606	305	0.754	0.0538187009	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	BUIP206	206260	211815	47	1	1	68	BUIP206X	0.18	0.75	0	-0.57	-0.57	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1985	2	-0.282362910974181
1011	2192	15142886	19850624	-1	9	3273	9606	305	0.506	0.0361170592	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	BUIP206	206260	211815	47	1	1	68	BUIP206X	0.18	0.75	0	-0.57	-0.57	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1985	6	-0.6812186096946715
1027	259	15127738	20080923	-1	9	8967	8910	57	16	1.142041399	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	HIPP012	143637	200793	115	1	1	19	HIPP012X	0.95	3.59	0.5	-2.64	-2.14	91E0_vn	rbbmr	80	19	Efp	1	9	5	26	1	15	24	91E0_vn	4	2008	9	2.772588722239781
1034	259	15123737	20080923	-1	7	8967	8910	57	0.1	0.0071377587	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	HIPP012	143637	200793	115	1	1	19	HIPP012X	0.95	3.59	0.5	-2.64	-2.14	91E0_vn	rbbmr	80	19	Efp	1	9	5	26	1	15	24	91E0_vn	4	2008	9	-2.3025850929940455
1035	409	15123881	20090701	-1	7	5866	1909	226	0.011	7.851534e-4	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	DYLP083	169131	167557	77	1	1	37	DYLP083X	0.47	2.43	0.3	-1.96	-1.66	91E0_va	NA	100	0	AIp	1	11	2	32	1	1	24	91E0_va	4	2009	7	-4.509860006183766
1037	673	15124141	20120227	-1	7	24978	7923	133	0.291	0.0207708779	VLD	Betrouwbaar	9	2	N-NO3	mg/l	14.01	AN	UKPP037	62618	219969	292	1	1	25	UKPP037X	0.517	1.56	0.3	-1.043	-0.743	gh	1330_hpr	70	30	o.C2	1	9	9	36	1	9	14	1330_hpr	4	2012	2	-1.2344320118106447
1039	259	15124497	20080923	-1	6	8967	8910	57	0.01	9.686793e-4	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	HIPP012	143637	200793	115	1	1	19	HIPP012X	0.95	3.59	0.5	-2.64	-2.14	91E0_vn	rbbmr	80	19	Efp	1	9	5	26	1	15	24	91E0_vn	4	2008	9	-4.605170185988091
1098	1134	15127175	20060905	-1	6	7504	6129	147	0.01	9.686793e-4	VLD	Betrouwbaar	8	3	P-PO4	mg/l	10.3233333333	AN	GSCP032	165206	226878	97	1	1	20	GSCP032X	0.56	1.625	0.3	-1.065	-0.765	7140_oli	NA	100	0	Pfp	2	3	16	2	1	8	43	7140_oli	1	2006	9	-4.605170185988091
1258	1588	15142354	19890724	-1	9	3246	4470	305	0.06	0.0042826552	VLD	Betrouwbaar	12	1	N-NH4	mg/l	14.01	KAT	BUIP201	206658	212170	47	1	1	38	BUIP201X	0.04	1.46	0	-1.42	-1.42	4010	7230	40	30	Zfg	2	3	3	7	1	5	7	4010	1	1989	7	-2.8134107167600364
