;Gebied;Labo_ID_db;Datum;VEGID_INBOVEG;id_n2khab;system_type;habitattype;sbz;geometry;AfstandBron;Kalktuf;Schaduw;Periode;pH_veld;pH_labo;EC_veld_25grC;EC_labo_25grC;Buffercapaciteit_TAP;Buffercapaciteit_TAM;HCO3;CO3;OH;SO4;Cl;PO4;NO2;NO3;NH4;Ca;K;Mg;Na;Mn;Al;Fe;SO4_S;PO4_P;NO2_N;NO3_N;NH4_N
14;Kwinten;B_11_0390;19/04/2011;Kwinten 1;72;rivulet;7220;1;c(5.8125166, 50.7513399);B;5;3;Lente;8.15;7,91;689;667,3;0,005;4,675;285,175;0,5;0,5;43,72141589;20,93714412;0,1;0,1;62,18300478;0,130182748;129,9822922;1,357607101;2,613589162;6,220995309;NB;NB;0,05;14,59326298;0,032615786;0,0304414;14,04694244;0,101089259
15;Kwinten;B_11_0391;19/04/2011;Kwinten 2;72;rivulet;7220;1;c(5.8125166, 50.7513399);B;3;2;Lente;8.20;8,21;731;710;0,005;4,672;284,992;0,5;0,5;32,53288917;13,556979;0,1;0,1;121,255692;0,155668048;139,0929114;0,87354081;2,486684207;6,377305901;NB;NB;0,05;10,85877476;0,032615786;0,0304414;27,39127407;0,120879056
16;KwintenHolleWeg;B_11_0392;19/04/2011;KwintenHolleWeg;10;mire;7220;1;c(5.8176321, 50.750045);C;4;3;Lente;8.17;8,12;699;714,9;0,005;5,205;317,505;0,5;0,5;42,13922056;19,4337991;0,246072306;0,1;74,01891175;0,05;142,2486107;2,740179536;2,568880423;7,166507602;NB;NB;0,05;14,0651604;0,080258417;0,0304414;16,72063607;0,038825905
17;Fonteinbeek;B_11_0393;19/04/2011;Fonteinbeek;61;rivulet;7220;0;c(4.8444083, 50.8099866);B;3;3;Lente;8.00;7,85;860;856,2;0,005;6,468;394,548;0,5;0,5;72,89874779;31,64202022;0,1;0,1;38,34407937;0,05;141,4176763;4,676342291;23,27037579;13,30431979;NB;NB;0,05;24,3320253;0,032615786;0,0304414;8,661805225;0,038825905
18;Keiberg;B_11_0394;19/04/2011;Riksingen 1;25;NA;gh;1;c(5.4532161, 50.8011706);B;3;1;Lente;7.70;7,87;881;867,6;0,005;6,81;415,41;0,5;0,5;65,35370654;35,20282679;0,1;0,1;32,26849594;0,139994216;150,5306847;0,231048347;22,79656816;10,16568191;NB;NB;0,05;21,81365372;0,032615786;0,0304414;7,289350307;0,108708041
19;Boterhoek 2;B_11_0395;19/04/2011;Boterhoek 2;82;NA;gh;1;c(3.7769282, 50.835381);C;3;4;Lente;NB;7,57;977;974,3;0,005;5,919;361,059;0,5;0,5;72,48226544;49,78091858;0,1;0,1;112,7685736;0,05;161,7390023;0,556640423;21,18368548;19,09371265;NB;NB;0,05;24,1930125;0,032615786;0,0304414;25,47406109;0,038825905
20;Boterhoek 1;B_11_0397;19/04/2011;Boterhoek 1;35;rivulet;7220;1;c(3.7758523, 50.8379);A;4;2;Lente;NB;7,28;807;810,9;0,005;6,645;405,345;0,5;0,5;70,30796459;29,25321494;0,1;0,1;0,1;0,05;140,3991466;5,971024925;17,68192397;11,21154433;NB;NB;0,05;23,4672779;0,032615786;0,0304414;0,022589681;0,038825905
21;Zevenbronnen;B_11_0398;19/04/2011;Zevenbronnen;59;NA;gh;0;c(5.1082177, 50.7152034);B;3;3;Lente;7.26;7,51;994;985,6;0,005;6,131;373,991;0,5;0,5;102,8851454;75,26712408;0,1;0,1;24,12206326;0,05;166,7354526;0,581202133;26,14657327;13,62762753;NB;NB;0,05;34,34083624;0,032615786;0,0304414;5,44909715;0,038825905
22;Mabroek;B_11_0399;19/04/2011;Mabroek;75;rivulet;7220;0;c(5.9012548, 50.7274686);B;5;5;Lente;7.94;7,98;655;659;0,005;4,316;263,276;0,5;0,5;78,25191015;17,76604853;0,1;0,1;42,92158603;0,111573089;129,0479288;1,460031158;3,336090372;5,617433873;NB;NB;0,05;26,11879511;0,032615786;0,0304414;9,695849378;0,086638522
23;Krindaal;B_11_0400;19/04/2011;Krindaal 1;8;rivulet;7220;1;c(5.8320205, 50.745719);B;4;5;Lente;8.06;8,14;651;658,9;0,005;5,204;317,444;0,5;0,5;42,67183405;22,30395559;0,1;0,1;30,08150871;0,05;133,8999519;1,890756037;2,4446487;7,113951327;NB;NB;0,05;14,24293526;0,032615786;0,0304414;6,795316867;0,038825905
24;Krindaal;B_11_0401;19/04/2011;Krindaal 2;8;rivulet;7220;1;c(5.8320205, 50.745719);B;4;4;Lente;7.56;7,74;769;668,1;0,005;5,174;315,614;0,5;0,5;36,77334714;22,01373355;0,1;0,1;40,80935136;0,05;130,4122991;1,536273001;2,576787411;6,697788189;NB;NB;0,05;12,27414791;0,032615786;0,0304414;9,218702305;0,038825905
25;Korbeek-Lo;B_11_0402;19/04/2011;SalveMater;42;NA;gh;1;c(4.7557433, 50.8585849);B;3;5;Lente;7.77;7,83;1119;1120;0,005;7,885;480,985;0,5;0,5;58,9249993;50,5780014;0,1;0,1;127,7281498;0,05;222,5524726;6,182139019;6,433163784;22,62683892;NB;NB;0,05;19,66789029;0,032615786;0,0304414;28,85338164;0,038825905
26;Noorbeek;B_11_0403;19/04/2011;Noorbeek;15;mire;7220;1;c(5.7980832, 50.7651284);B;5;4;Lente;7.96;8,04;802;728,6;0,005;5,024;306,464;0,5;0,5;52,08376796;17,78331138;0,1;0,1;86,79587922;0,05;144,5214367;1,489101016;3,104272695;7,378077992;NB;NB;0,05;17,38443523;0,032615786;0,0304414;19,60691227;0,038825905
27;Feelbos 1;B_11_0404;19/04/2011;Feelbos 2;16;rivulet;7220;1;c(3.5379533, 50.7719859);B;5;4;Lente;NB;8,26;827;814,2;0,005;5,024;306,464;0,5;0,5;85,75092582;43,88902956;0,1;0,1;54,12461303;0,05;144,7906333;3,53045157;9,964143207;17,55659038;NB;NB;0,05;28,62180435;0,032615786;0,0304414;12,22657744;0,038825905
28;Zoet Water 1;B_11_0405;19/04/2011;ZoetWater 1;33;NA;gh;1;c(4.6624837, 50.8225531);B;3;4;Lente;7.56;7,67;545;550,7;0,005;3,459;210,999;0,5;0,5;65,70347023;21,73400951;0,1;0,1;24,52499659;0,05;92,22102205;1,731588042;2,514019737;14,54003013;NB;NB;0,05;21,93039727;0,032615786;0,0304414;5,540118502;0,038825905
29;Molenbeemd;B_11_0406;19/04/2011;Molenbeemd;71;rivulet;7220;0;c(5.5163576, 50.8210239);B;4;4;Lente;8.04;7,92;679;797,4;0,005;6,509;397,049;0,5;0,5;52,10919883;33,59840818;0,1;0,1;21,02215234;0,05;135,4642567;4,187783656;20,99084332;11,04952989;NB;NB;0,05;17,39292351;0,032615786;0,0304414;4,74883716;0,038825905
30;Hornebeek;B_11_1036;6/09/2011;Hornebeek;58;rivulet;7220;0;c(5.2384528, 50.7216672);A;2;3;Zomer;6.97;6,96;1016;960;0,005;6,278;382,958;0,5;0,5;91,68085714;58,07155926;0,05;0,05;39,62713023;0,267980296;164,5380357;1,576128006;20,18946927;12,1249494;NB;NB;0,05;30,60108716;0,016307893;0,0152207;8,951642322;0,208091548
31;Keiberg 2;B_11_1037;6/09/2011;Riksingen 2;NA;NA;NA;NA;c(NA, NA);B;1;1;Zomer;6.76;6,7;828;833,5;0,005;4,993;304,573;0,5;0,5;77,42666667;31,58030087;0,05;0,05;79,83241369;0,27816092;134,1844643;2,481216458;18,75317296;14,15940269;NB;NB;0,05;25,84334668;0,016307893;0,0152207;18,03388761;0,215996987
32;Grootbos;B_11_1038;6/09/2011;Grootbos 1;28;rivulet;7220;1;c(5.54892, 50.8094526);A;2;4;Zomer;6.91;6,97;896;894,6;0,005;7,503;457,683;0,5;0,5;38,71352381;40,73470218;0,05;0,05;29,28199619;0,23045977;154,4436607;3,760683761;19,95342447;10,92367202;NB;NB;0,05;12,92173692;0,016307893;0,0152207;6,61470954;0,178956181
33;Haren;B_11_1039;6/09/2011;Haren;23;rivulet;7220;1;c(5.4038378, 50.7914714);B;4;4;Zomer;7.05;7,09;823;830,7;0,005;6,601;402,661;0,5;0,5;63,65219048;29,00691197;0,05;0,05;26,84584208;0,21182266;146,0682143;1,322997416;17,50867469;9,858048846;NB;NB;0,05;21,24572446;0,016307893;0,0152207;6,064390097;0,164484128
34;Mabroek;B_11_1041;6/09/2011;Mabroek;75;rivulet;7220;0;c(5.9012548, 50.7274686);A;2;5;Zomer;6.80;6,89;698;697,1;0,005;4,718;287,798;0,5;0,5;84,09857143;17,61955874;0,05;0,05;32,93305337;0,183908046;135,6422321;1,631584178;3,573;5,374443395;NB;NB;0,05;28,07028419;0,016307893;0,0152207;7,439471711;0,142807925
35;Wijngaardbos 1;B_11_1042;6/09/2011;Wijngaardbos 1;32;rivulet;7220;1;c(5.4758737, 50.8171063);A;1;5;Zomer;7.03;7,12;858;862,7;0,005;6,76;412,36;0,5;0,5;60,69990476;33,37853222;0,05;0,05;34,52170516;0,290229885;146,1511607;1,116974757;17,72133858;16,67242387;NB;NB;0,05;20,26031534;0,016307893;0,0152207;7,798343083;0,225368757
36;Kwinten;B_11_1043;6/09/2011;GeenVegOpn;72;rivulet;7220;1;c(5.8125166, 50.7513399);A;3;5;Zomer;7.38;7,48;714;719,1;0,005;5,247;320,067;0,5;0,5;42,6387619;21,23948044;0,05;0,05;54,93188144;0,193678161;138,75;1,608030213;2,844769231;6,377187064;NB;NB;0,05;14,2318965;0,016307893;0,0152207;12,4089368;0,150394596
37;Bois de Bilande;B_11_1044;6/09/2011;Bilande 1;9;rivulet;7220;1;c(4.5772421, 50.7547578);A;3;4;Zomer;7.10;7,06;663;603,3;0,005;4,172;254,492;0,5;0,5;43,20380952;21,6743149;0,05;0,05;38,32335563;0,263382594;92,45178571;1,292784735;13,16327053;15,09000135;NB;NB;0,05;14,42049717;0,016307893;0,0152207;8,657123799;0,20452135
38;Zoet Water 2;B_11_1045;6/09/2011;Zoetwater 2;31;mire;7220;1;c(4.6564796, 50.8214077);B;4;5;Zomer;7.47;7,5;480;471,4;0,005;2,750333333;167,7703333;0,5;0,5;51,53975238;15,24551738;0,05;0,05;27,78123932;0,05;75,29017857;1,736303477;3,714231154;11,60499556;NB;NB;0,05;17,2028546;0,016307893;0,0152207;6,275693349;0,038825905
39;Rodebos;B_11_1046;6/09/2011;Rodebos;12;NA;gh;1;c(4.61783, 50.7699246);B;2;5;Zomer;7.88;7,89;595;579,8;0,005;3,293;200,873;0,5;0,5;45,25190476;38,20024395;0,05;0,05;33,70857952;0,184482759;84,41;4,610912343;13,04794951;13,95277291;NB;NB;0,05;15,10410706;0,016307893;0,0152207;7,614660595;0,1432542
40;Keizersbron;B_11_1047;6/09/2011;Keizersbron;26;NA;gh;1;c(4.4538638, 50.8091474);A;2;3;Zomer;7.13;7,23;711;719,7;0,005;6,562;400,282;0,5;0,5;30,65838095;25,04389308;0,05;0,05;4,058401289;0,217816092;123,3852679;1,446531505;15,53415151;11,86677461;NB;NB;0,05;10,23310446;0,016307893;0,0152207;0,916779906;0,169138136
41;Krindaal;B_11_1048;6/09/2011;Krindaal 1;8;rivulet;7220;1;c(5.8320205, 50.745719);A;3;5;Zomer;7.10;7,3;687;691,3;0,005;5,421;330,681;0,5;0,5;45,91352381;22,66770372;0,05;0,05;23,31832609;0,204269294;136,1308036;2,140429338;2,738307692;6,967840597;NB;NB;0,05;15,32494119;0,016307893;0,0152207;5,267535486;0,158618803
42;Fonteinbeek;B_11_1049;6/09/2011;Fonteinbeek;61;rivulet;7220;0;c(4.8444083, 50.8099866);B;3;3;Zomer;7.99;7,95;818;795,8;0,005;5,847;356,667;0,5;0,5;75,24961905;28,55326286;0,05;0,05;30,38869085;0,273070608;123,4173214;5,13514773;22,78631111;13,5785544;NB;NB;0,05;25,11669528;0,016307893;0,0152207;6,864708334;0,212044267
43;Overijse Fluxys;B_11_1050;6/09/2011;OverijseFluxys2;66;rivulet;7220;0;c(4.512619, 50.7318744);A;4;5;Zomer;6.85;6,95;830;837,7;0,005;3,898;237,778;0,5;0,5;77,08961905;68,86918073;0,05;0,05;63,55261487;0,05;107,76125;2,904492149;14,79248271;44,60124444;NB;NB;0,05;25,73084748;0,016307893;0,0152207;14,35633299;0,038825905
44;Liefdesbron;B_11_1051;6/09/2011;GeenVegOpn;11;NA;gh;1;c(3.4986447, 50.7633765);A;1;5;Zomer;7.06;7,21;731;696;0,005;4,646;283,406;0,5;0,5;90,8187619;24,82735734;0,05;0,05;10,54094438;0,270279146;119,4823214;2,259292387;8,995971216;15,90338686;NB;NB;0,05;30,31333842;0,016307893;0,0152207;2,381165714;0,209876647
45;Kluisbos centraal;B_11_1052;6/09/2011;GeenVegOpn;55;NA;gh;1;c(3.5043517, 50.7642217);A;1;5;Zomer;7.65;7,69;456;451,6;0,005;2,781;169,641;0,5;0,5;52,66438095;23,5167717;0,05;0,05;0,909224083;0,05;67,67794643;1,988442539;5,297866667;13,21946667;NB;NB;0,05;17,57823129;0,016307893;0,0152207;0,20539082;0,038825905
46;Kemmelberg;B_11_1053;6/09/2011;GeenVegOpn;51;NA;gh;1;c(2.8182477, 50.7742871);A;1;5;Zomer;7.06;7,23;597;520,8;0,005;0,994;60,634;0,5;0,5;104,1905714;15,82090171;0,05;0,140700029;71,69715318;0,251067323;57,47214286;14,16385497;7,826180108;23,51671111;NB;NB;0,05;34,77655922;0,016307893;0,042831059;16,19615821;0,194958319
47;Monteberg zuid;B_11_1054;6/09/2011;GeenVegOpn;50;NA;gh;1;c(2.8078273, 50.7707775);A;1;5;Zomer;6.39;6,69;639;612;0,005;1,551;94,611;0,5;0,5;76,16209524;42,8303517;0,05;0,05;94,09707505;0,239901478;81,14232143;3,987278871;10,24037633;24,08284444;NB;NB;0,05;25,42126009;0,016307893;0,0152207;21,25622912;0,186287838
48;Brandersbos;B_11_1055;6/09/2011;GeenVegOpn;47;NA;gh;1;c(2.7679206, 50.7965566);A;1;5;Zomer;7.44;7,49;1038;1012;0,005;5,699;347,639;0,5;0,5;189,9420952;38,95913804;0,05;0,05;34,81009815;0,448078818;166,4833929;3,040151063;22,612608;22,84862222;NB;NB;2,00851;63,39856316;0,016307893;0,0152207;7,863490139;0,347941309
49;Hellegat;B_11_1056;6/09/2011;GeenVegOpn;48;NA;gh;1;c(2.7583155, 50.7863608);A;1;5;Zomer;7.64;7,78;588;539,6;0,005;3,497;213,317;0,5;0,5;38,27238095;26,88585078;0,05;0,05;26,08174227;0,333908046;90,53205357;1,785231564;1,949076923;20,19448567;NB;NB;0,05;12,77449297;0,016307893;0,0152207;5,891782387;0,259285639
50;Baneberg;B_11_1057;6/09/2011;GeenVegOpn;49;NA;gh;1;c(2.7579657, 50.7803359);A;1;5;Zomer;7.87;7,92;831;793,9;0,005;3,009;183,549;0,5;0,5;86,58914286;57,73825981;0,05;0,05;84,5411397;0,05;103,37;8,934663063;15,78379637;30,08231111;NB;NB;0,05;28,90158306;0,016307893;0,0152207;19,0975738;0,038825905
51;Poelbos;B_11_1059;6/09/2011;GeenVegOpn;68;rivulet;7220;0;c(4.3123264, 50.882499);A;2;4;Zomer;8.24;8,07;869;857;0,005;5,592;341,112;0,5;0,5;69,25066667;79,4496849;0,05;0,05;3,046437814;0,234400657;137,729375;3,890180879;18,87743648;17,26469662;NB;NB;0,05;23,11437472;0,016307893;0,0152207;0,688180585;0,182016351
52;Galmaarden 1;B_11_1060;6/09/2011;Galmaarden 3;79;rivulet;7220;1;c(3.9413906, 50.7622864);A;2;5;Zomer;7.85;7,92;972;959,7;0,005;7,264;443,104;0,5;0,5;118,300381;35,39215288;0,05;0,05;15,23922067;0,246059113;172,7325893;5,751700997;19,70862346;12,38069536;NB;NB;0,05;39,48610846;0,016307893;0,0152207;3,44249134;0,191069353
53;Steenputbeek 1;B_11_1061;6/09/2011;Steenputbeek 1;2;rivulet;7220;1;c(4.278431, 50.7137719);C;3;5;Zomer;8.13;8,1;723;721,2;0,005;5,636;343,796;0,5;0,5;79,04304762;23,86176143;0,05;0,05;4,133990918;0,227996716;131,2391071;1,457364341;11,44072099;11,79993703;NB;NB;0,05;26,38285969;0,016307893;0,0152207;0,933855362;0,177043575
54;Karkool;B_11_1062;6/09/2011;Karkool;78;NA;gh;1;c(3.9337441, 50.7673633);C;1;5;Zomer;7.23;7,49;799;794,1;0,005;4,51;275,11;0,5;0,5;134,9560952;42,63346209;0,05;0,05;1,456341789;0,314203612;131,4480357;6,060956287;14,48415267;16,71335402;NB;NB;0,05;45,04542565;0,016307893;0,0152207;0,328982965;0,24398479
55;Boterhoek 1;B_11_1063;6/09/2011;Boterhoek 1;35;rivulet;7220;1;c(3.7758523, 50.8379);A;4;2;Zomer;6.97;7,2;766;793;0,005;6,608;403,088;0,5;0,5;65,76828571;28,70359829;0,05;0,05;0,180614152;0,233004926;133,6148214;6,107745363;17,81886775;10,96945981;NB;NB;0,05;21,95203128;0,016307893;0,0152207;0,040800161;0,180932541
56;Mater-Kerkgate;B_11_1064;6/09/2011;Kerkgate;73;mire;7220;0;c(3.676738, 50.8490249);B;3;2;Zomer;7.25;7,57;1088;1046;0,005;6,906;421,266;0,5;0,5;175,6647619;46,98759911;0,05;0,433439398;0,154445928;0,28045977;193,6009091;4,841923758;14,72830162;18,06791706;NB;NB;0,05;58,6330981;0,016307893;0,131945022;0,034888842;0,217782086
57;Feelbos 1;B_11_1065;6/09/2011;Feelbos 1;16;rivulet;7220;1;c(3.5379533, 50.7719859);A;4;4;Zomer;7.81;7,93;893;867,9;0,005;5,786;352,946;0,5;0,5;80,71342857;42,93128685;0,05;0,05;46,63137849;0,266420361;155,1444643;2,568077917;10,57283249;16,0381415;NB;NB;0,05;26,94039672;0,016307893;0,0152207;10,53387966;0,206880231
58;Terrijst2;B_11_1755;16/11/2011;GeenVegOpn;52;NA;gh;1;c(3.6903594, 50.7850215);A;1;5;Najaar;6.61;6,63;569;561,2;0,005;2,011;122,671;0,5;0,5;98,30331707;34,600822;0,05;0,05;35,33817866;0,05;84,44937028;2,004213135;10,27692572;15,98466012;0.050;0.050;0,05;32,81152105;0,016307893;0,0152207;7,982781843;0,038825905
59;Enamebos;B_11_1756;16/11/2011;Ename 1;40;mire;7220;1;c(3.6494108, 50.8537526);A;3;5;Najaar;7.64;7,62;1030;1017;0,005;6,822333333;416,1623333;0,5;0,5;100,951122;51,71667631;0,05;0,05;61,40315698;0,05;206,2210579;1,804460967;18,94747073;13,16212152;0.050;0.050;0,05;33,69530105;0,016307893;0,0152207;13,87077731;0,038825905
60;Moen;B_11_1757;16/11/2011;Moen;20;mire;7220;1;c(3.3758827, 50.785436);B;3;1;Najaar;8.10;8,02;956;926,5;0,005;4,912;299,632;0,5;0,5;200,0502439;45,0864665;0,05;0,05;0,12949827;0,05;133,4141058;24,51322083;25,77188392;27,3203008;0.050;0.050;0,05;66,77244456;0,016307893;0,0152207;0,029253246;0,038825905
61;Burreken 1;B_11_1758;16/11/2011;GeenVegOpn;54;NA;gh;1;c(3.709748, 50.8021705);A;1;5;Najaar;7.71;7,73;862;842,5;0,005;5,216;318,176;0,5;0,5;78,32468293;59,32680707;0,225787438;0,05;33,65880312;0,05;138,0703275;11,09306385;19,66672861;20,95468217;0.050;0.050;0,495996;26,14308509;0,073642348;0,0152207;7,603416265;0,038825905
62;Feelbos 1;B_11_1759;17/11/2011;Feelbos 1;16;rivulet;7220;1;c(3.5379533, 50.7719859);A;4;4;Najaar;7.92;7,93;878;965;0,005;5,798;353,678;0,5;0,5;90,93385366;39,65707672;0,05;0,05;49,5366869;0,05;176,0768766;2,538042131;10,14793957;16,14798476;0.050;0.050;0,05;30,35175356;0,016307893;0,0152207;11,19017957;0,038825905
63;Boterhoek 1;B_11_1760;17/11/2011;Boterhoek 1;35;rivulet;7220;1;c(3.7758523, 50.8379);A;4;2;Najaar;7.01;7,17;790;785,2;0,005;6,638;404,918;0,5;0,5;74,32731707;26,95429978;0,136268189;0,05;0,108737024;0,05;148,009471;6,460451055;17,42616601;10,97533587;0.050;0.050;0,05;24,80885083;0,044444941;0,0152207;0,024563347;0,038825905
64;Galmaarden 1;B_11_1761;17/11/2011;Galmaarden 3;79;rivulet;7220;1;c(3.9413906, 50.7622864);A;2;5;Najaar;7.86;7,9;987;974,3;0,005;7,478;456,158;0,5;0,5;127,3669268;32,56005572;0,05;0,05;19,91000867;0,05;204,0462469;4,124163569;20,52800846;12,27732103;0.050;0.050;0,05;42,51232538;0,016307893;0,0152207;4,497607453;0,038825905
65;Feelbos 1;B_11_1762;17/11/2011;Feelbos 2;16;rivulet;7220;1;c(3.5379533, 50.7719859);B;5;4;Najaar;8.28;8,14;854;839,3;0,005;5,251;320,311;0,5;0,5;101,7729756;43,55027612;0,05;0,05;40,49297485;0,05;167,3448866;3,772614622;10,19265019;16,6545017;0.050;0.050;0,05;33,96961803;0,016307893;0,0152207;9,147233859;0,038825905
66;Terrijst1;B_11_1763;16/11/2011;GeenVegOpn;53;NA;gh;1;c(3.6911066, 50.7815703);A;1;5;Najaar;6.80;6,98;632;621,3;0,005;2,757;168,177;0,5;0,5;103,8799024;43,87917251;0,05;0,05;12,81314831;0,05;98,40120907;3,671375465;12,48615657;13,50401043;0.050;0.050;0,05;34,67286463;0,016307893;0,0152207;2,894449333;0,038825905
67;Borgloon;B_11_1764;16/11/2011;Borgloon;27;rivulet;7220;1;c(5.351446, 50.8065654);A;5;2;Najaar;7.61;7,82;1091;1079;0,005;7,932;483,852;0,5;0,5;121,6508293;47,15018588;0,05;0,05;39,38955768;0,05;208,711738;3,384510533;24,66688584;23,29035492;0.050;0.050;0,05;40,60441564;0,016307893;0,0152207;8,89797544;0,038825905
68;Neervelp;B_11_1765;16/11/2011;Molensteen;63;NA;gh;0;c(4.807209, 50.8168089);A;3;4;Najaar;7.09;7,35;948;950,1;0,005;7,333;447,313;0,5;0,5;72,46585366;25,97898908;0,05;0,05;73,11476149;0,05;177,6007053;0,9755886;24,29890939;15,07248847;0.050;0.050;0,05;24,1875346;0,016307893;0,0152207;16,51639141;0,038825905
