type,drop_phab10,approach_cellbased,type_areaprop_phab10,type_level3prop_nolevel0avail,prop0.3,area_as_cells,area_pol_as_cells,success_rate,nr_polygons,mean_area_per_polygon,area,area_pol,area_pol_phab_greaterthan_10,area_phab_greaterthan_10,nr_polygons_phab_greaterthan_10,mean_area_per_polygon_phab_greaterthan_10,area_as_cells_phab_greaterthan_10,area_pol_as_cells_phab_greaterthan_10,success_rate_phab_greaterthan_10,polygonarea_reldiff
rbbsg,FALSE,TRUE,0.16404012022396572,0.651307596513076,0.586840476354229,930.10599127773,4029.29189884016,0.23,579,1644.95429200068,95.2428535068395,412.599490441232,216.347028513469,79.619204367104,376,1644.9542920006825,930.10599127773,4029.29189884016,0.23083609096314495,0
rbbsm,FALSE,FALSE,0.053786645314966054,0.3375,0.3986142281446833,1412.63681468253,3798.0903314786,0.37,465,3110.83892093528,144.654009823491,388.924449943408,297.597382917363,136.873555903727,395,3110.8389209352813,1412.63681468253,3798.0903314786,0.37193344322924154,0
5130,TRUE,FALSE,0.014174799522795779,0,0.07924493921800226,249.803004908627,296.402469985475,0.84,17,15046.9574721432,25.5798277026434,30.3516129265126,26.7257236313863,25.2172387731308,15,16811.492515420527,246.262097393855,260.993394837757,0.9435568189261674,0.13567038801778566
6120,TRUE,FALSE,0.04027435872111208,0.47191011235955055,0.4381325688878488,166.78623587549,391.800573069018,0.43,26,6568.8117514039,17.0789105536501,40.1203786822675,31.7487080658076,16.3910683834466,20,8195.534191723318,160.069027182096,310.045977205152,0.5162751299823546,0.2636853946657424
6210_hk,FALSE,FALSE,0.006774839164503637,0.35714285714285715,0.27006120328239636,32.8183667833154,45.9321396176344,0.71,12,2800.50063217625,3.3606007586115,4.70345109684577,4.47577580048875,3.33783322897579,11,3034.3938445234485,32.5960276267167,43.7087480516479,0.7457552338996307,0.050868342496546724
6210_sk,FALSE,TRUE,0.10957497946336803,0.7692307692307693,0.6556323924620361,10.1526318836353,39.0030884562541,0.26,13,799.715003757118,1.03962950488425,3.99391625792043,2.64793761960709,0.92571212323705,7,799.7150037571184,10.1526318836353,39.0030884562541,0.26030328072666553,0
6230_ha,FALSE,FALSE,0.0672152325865918,0.4579976985040276,0.4007857304977151,2110.96841795342,6050.34451983026,0.35,649,3330.7113404997,216.16316599843,619.555278830618,396.497744743986,201.633708519192,514,3330.7113404996976,2110.96841795342,6050.34451983026,0.34890053137216154,0
6230_hmo,FALSE,FALSE,0.045886270928502886,0.40973630831643004,0.344227967599697,1273.12762233183,3155.23975463026,0.4,389,3351.36937086837,130.36826852678,323.096550874139,219.482566458095,124.38615483668,314,3351.369370868369,1273.12762233183,3155.23975463026,0.4034963176612924,0
6230_hn,FALSE,FALSE,0.05150771342223061,0.4815825375170532,0.391402224683392,2048.17066915684,6706.59015966506,0.31,524,4002.53199468817,209.73267652166,686.754832349702,406.246158731915,198.929825924105,398,4002.531994688169,2048.17066915684,6706.59015966506,0.3053967247730441,0
6230_hnk,FALSE,FALSE,0.07223085753893128,0.47619047619047616,0.5090564697525749,42.0421255685518,135.511432683003,0.31,27,1594.48654008137,4.3051136582197,13.8763707067395,8.896440248836,3.99415160688393,20,1594.4865400813712,42.0421255685518,135.511432683003,0.31024781257312456,0
