rank,x,y,date,nh4,no3,po4,po4f,period_min,period_max,source
213836,241452,197091,2002-02-22,0.93,3.34,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2002-02-25,0.94,4.02,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2002-02-25,0.37,3.85,0.29,NA,2000-01-01,2006-12-31,H3260_v1_0
35602,224807,211917,2002-02-25,0.76,5.77,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2002-01-31,1.13,6.43,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2002-01-31,0.24,15.1,0,NA,2000-01-01,2006-12-31,H3260_v1_0
35602,224807,211917,2002-01-31,1.57,3.36,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2002-03-05,0.57,2.25,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2002-03-22,0.09,15.1,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2002-03-26,0.92,5.62,0.18,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2002-03-26,0.15,15.5,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2002-04-03,0.32,1.72,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
206698,206838,210770,2002-04-05,0.24,1.52,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2002-04-16,4.3,3.6,0.16,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2002-04-22,0,15.3,0,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2002-04-23,0.35,2.5,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2002-04-29,0.62,5.15,0.18,NA,2000-01-01,2006-12-31,H3260_v1_0
204986,244766,184401,2001-12-28,2.43,0.93,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
241434,238265,208445,2001-12-28,0.5,4.71,0.18,NA,2000-01-01,2006-12-31,H3260_v1_0
124176,204796,204545,2002-01-22,0,1.4,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123559,185896,209550,2002-01-08,0.93,1.68,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123559,185896,209550,2002-02-05,1.01,2.22,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
124176,204796,204545,2002-01-10,1.97,0.41,0.43,NA,2000-01-01,2006-12-31,H3260_v1_0
124176,204796,204545,2002-02-06,0.47,1.62,0,NA,2000-01-01,2006-12-31,H3260_v1_0
212371,244877,161556,2002-02-21,0.15,7.03,0.18,NA,2000-01-01,2006-12-31,H3260_v1_0
212371,244877,161556,2002-01-29,0.13,8.89,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
241434,238265,208445,2002-02-22,0.34,6.28,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
241434,238265,208445,2002-01-30,0.22,6.49,0,NA,2000-01-01,2006-12-31,H3260_v1_0
124176,204796,204545,2002-03-04,0.29,1.24,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2002-04-29,0.06,14,0,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2002-05-28,0.1,15.6,0,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2002-05-29,0.31,3.5,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2002-05-30,0.88,4.58,0.16,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2002-05-30,0.05,11.2,0,NA,2000-01-01,2006-12-31,H3260_v1_0
35602,224807,211917,2002-05-30,0.59,6.66,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2002-05-03,0.35,1.15,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123559,185896,209550,2002-03-05,0.72,2.23,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
38402,197860,216731,2002-03-05,0.63,1.7,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
212371,244877,161556,2002-03-22,0.18,7.59,0,NA,2000-01-01,2006-12-31,H3260_v1_0
241434,238265,208445,2002-03-25,0.26,7.4,0.22,NA,2000-01-01,2006-12-31,H3260_v1_0
204986,244766,184401,2002-03-25,4.16,0.97,0.28,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2002-06-04,0.19,0.97,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2002-06-11,0,4.7,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
206698,206838,210770,2002-06-07,0.23,1.37,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2002-06-26,0.08,15.8,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2002-06-28,1.43,5.87,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2002-06-28,0.24,10.6,0,NA,2000-01-01,2006-12-31,H3260_v1_0
35602,224807,211917,2002-06-28,0.33,6.81,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2002-07-12,0.11,1.03,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2002-07-29,0.07,14.9,0,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2002-07-30,0.82,0.65,0.28,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2002-07-31,1.25,3.92,0.22,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2002-07-31,0.32,6.23,0,NA,2000-01-01,2006-12-31,H3260_v1_0
35602,224807,211917,2002-07-31,1.79,4.81,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2002-08-06,0,3.8,0.13,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2002-06-27,0.21,3.12,0,NA,2000-01-01,2006-12-31,H3260_v1_0
206698,206838,210770,2002-08-09,0.17,1.08,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2002-08-13,0.11,1.21,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-05-05,0,3.5,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2003-05-07,0,11,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2003-05-12,0.7,0.83,0,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2003-05-15,0.18,3.42,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-05-16,0.69,3.64,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2003-05-16,NA,10.5,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2003-05-19,0,14,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2003-06-10,0.62,1.33,0,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2003-06-16,0.1,3.32,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-06-17,0.35,4.37,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2003-06-17,NA,8.62,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2003-06-18,0.06,14.4,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-06-30,2.4,3.7,0.12,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2003-07-11,1.27,0.48,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-07-15,0.28,4.24,0.2,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2003-07-15,NA,6.99,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2003-07-16,0,3.44,0,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2003-07-17,0.23,15.3,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2003-08-05,0.15,5.44,0,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2003-08-13,0.11,14.2,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-08-14,0.39,5.15,0.24,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2003-08-14,NA,5.69,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2003-08-18,0.37,3.41,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-08-25,0,5.2,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2003-09-03,0.29,5.62,0,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2003-09-12,0,13.9,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2003-09-15,NA,5.84,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-09-15,0.21,4.06,0.15,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2003-09-16,1.92,3.53,0.17,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2003-10-03,0,0.98,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2003-10-07,0,5.4,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-10-16,0.38,4.24,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2003-10-16,NA,6.55,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2003-10-17,0.12,3.82,0,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2003-10-20,0,13.7,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-10-20,0,3.5,0.11,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2003-11-17,0.15,12.4,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2003-11-18,NA,5.89,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-11-18,1.25,3.9,0.23,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2003-11-19,0.15,3.83,0.38,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2003-11-05,0.4,1.36,0.28,NA,2000-01-01,2006-12-31,H3260_v1_0
213836,241452,197091,2003-12-16,0.21,3.94,0,NA,2000-01-01,2006-12-31,H3260_v1_0
40171,250075,162498,2003-12-15,0.14,12,0,NA,2000-01-01,2006-12-31,H3260_v1_0
238759,225609,198258,2003-12-12,NA,7.19,NA,NA,2000-01-01,2006-12-31,H3260_v1_0
238515,223950,218080,2003-12-12,3.27,3.81,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2003-12-03,0.34,1.3,0,NA,2000-01-01,2006-12-31,H3260_v1_0
123574,187346,210000,2004-01-07,0.73,2.08,0,NA,2000-01-01,2006-12-31,H3260_v1_0
