point_id	unit_id	releve_code	period	date	lab_code	dist_to_source	Kalktuf	Schaduw	pH_veld	pH_labo	EC_veld_25grC	EC_labo_25grC	Buffercapaciteit_TAP	Buffercapaciteit_TAM	HCO3	CO3	OH	SO4	Cl	Ca	K	Mg	Na	Mn	Al	Fe	PO4_P	NO2_N	NO3_N	NH4_N	loq_PO4_P	loq_NO3_N
16	8	Feelbos 1	Zomer	15223	B_11_1065	A	4	4	7.81	7.93	893	867.9	0.005	5.786	352.946	0.5	0.5	80.71342857	42.93128685	155.1444643	2.568077917	10.57283249	16.0381415	NA	NA	0.05	0.0163078932130844	0.0152207	10.5338796655524	0.206880231	0.0326157864261688	0.0225896810402279
16	8	Feelbos 1	Najaar	15295	B_11_1759	A	4	4	7.92	7.93	878	965	0.005	5.798	353.678	0.5	0.5	90.93385366	39.65707672	176.0768766	2.538042131	10.14793957	16.14798476	0.05	0.05	0.05	0.0163078932130844	0.0152207	11.1901795686064	0.038825905	0.0326157864261688	0.0225896810402279
16	8	Feelbos 2	Najaar	15295	B_11_1762	B	5	4	8.28	8.14	854	839.3	0.005	5.251	320.311	0.5	0.5	101.7729756	43.55027612	167.3448866	3.772614622	10.19265019	16.6545017	0.05	0.05	0.05	0.0163078932130844	0.0152207	9.1472338623147	0.038825905	0.0326157864261688	0.0225896810402279
16	8	Feelbos 1	Lente	15400	B_12_0366	A	4	4	6.95	7.12	833	833.2	0.005	5.122	312.442	0.5	0.5	82.60524272	37.74155279	145.9392	3.249825541	8.3383	16.65255416	NA	NA	0.05	0.00815394660654221	0.0152207	11.912013195814	0.038825905	0.0163078932130844	0.0225896810402279
16	8	Feelbos 2	Lente	15400	B_12_0367	B	5	4	7.55	7.64	846	846.5	0.005	5.221	318.481	0.5	0.5	88.5623301	40.96645934	150.7352	3.202896022	7.9853	16.54899622	NA	NA	0.05	0.0188549297728869	0.0152207	10.2344583024046	0.038825905	0.0163078932130844	0.0225896810402279
16	8	Feelbos 2	Lente	15400	B_12_0368	C	5	4	8.16	8.1	840	837.5	0.005	5.24	319.64	0.5	0.5	90.15912621	41.75203641	149.0108	3.338712491	8.0478	16.80252435	NA	NA	0.05	0.0225211662806938	0.0152207	9.78356826884166	0.038825905	0.0163078932130844	0.0225896810402279
16	8	Feelbos 2	Lente	15400	B_12_0369	D	4	4	8.2	8.09	821	815.4	0.005	4.953	302.133	0.5	0.5	90.41436893	41.70140526	144.94928	3.29239358	8.0966	16.87010535	NA	NA	0.05	0.00815394660654221	0.0152207	9.75042920675565	0.038825905	0.0163078932130844	0.0225896810402279
23	11	Haren	Zomer	15223	B_11_1039	B	4	4	7.05	7.09	823	830.7	0.005	6.601	402.661	0.5	0.5	63.65219048	29.00691197	146.0682143	1.322997416	17.50867469	9.858048846	NA	NA	0.05	0.0163078932130844	0.0152207	6.06439009843528	0.164484128	0.0326157864261688	0.0225896810402279
27	12	Borgloon	Najaar	15294	B_11_1764	A	5	2	7.61	7.82	1091	1079	0.005	7.932	483.852	0.5	0.5	121.6508293	47.15018588	208.711738	3.384510533	24.66688584	23.29035492	0.05	0.05	0.05	0.0163078932130844	0.0152207	8.89797544306859	0.038825905	0.0326157864261688	0.0225896810402279
28	13	Grootbos 1	Zomer	15223	B_11_1038	A	2	4	6.91	6.97	896	894.6	0.005	7.503	457.683	0.5	0.5	38.71352381	40.73470218	154.4436607	3.760683761	19.95342447	10.92367202	NA	NA	0.05	0.0163078932130844	0.0152207	6.61470954153268	0.178956181	0.0326157864261688	0.0225896810402279
32	16	Wijngaardbos 1	Lente	15083	B_11_0381	B	5	4	7.83	7.96	959	927.1	0.005	7.282	444.202	0.5	0.5	66.49773809	42.96586794	160.6786902	1.002398993	20.69391973	20.96958545	NA	NA	0.05	0.0326157864261688	0.0304414	8.54733916619855	0.038825905	0.0652315728523377	0.0451793620804558
32	16	Wijngaardbos 1	Zomer	15223	B_11_1042	A	1	5	7.03	7.12	858	862.7	0.005	6.76	412.36	0.5	0.5	60.69990476	33.37853222	146.1511607	1.116974757	17.72133858	16.67242387	NA	NA	0.05	0.0163078932130844	0.0152207	7.79834308529189	0.225368757	0.0326157864261688	0.0225896810402279
32	16	Wijngaardbos 1	Najaar	15294	B_11_1774	A	1	5	6.97	7.44	864	868.6	0.005	6.89	420.29	0.5	0.5	70.48614634	31.2690908	164.031335	1.156629492	17.24881005	16.77030279	0.05	0.05	0.05	0.0163078932130844	0.0152207	7.82975194045593	0.038825905	0.0326157864261688	0.0225896810402279
32	16	Wijngaardbos 1	Lente	15398	B_12_0347	A	1	5	7.09	7.04	874	870.7	0.005	6.829	416.569	0.5	0.5	62.88417476	32.47022493	157.9518384	1.209442717	16.15582111	17.23977247	NA	NA	0.05	0.00815394660654221	0.0152207	7.65894099796511	0.038825905	0.0163078932130844	0.0225896810402279
32	16	Wijngaardbos 1	Lente	15398	B_12_0348	B	5	4	7.97	7.9	875	869.1	0.005	6.853	418.033	0.5	0.5	67.70514563	33.61301536	158.8728081	1.16817588	16.48010647	17.33813557	NA	NA	0.05	0.00815394660654221	0.0152207	6.57445559058584	0.038825905	0.0163078932130844	0.0225896810402279
35	17	Boterhoek 1	Lente	15083	B_11_0397	A	4	2	NA	7.28	807	810.9	0.005	6.645	405.345	0.5	0.5	70.30796459	29.25321494	140.3991466	5.971024925	17.68192397	11.21154433	NA	NA	0.05	0.0326157864261688	0.0304414	0.0225896810402279	0.038825905	0.0652315728523377	0.0451793620804558
35	17	Boterhoek 1	Zomer	15223	B_11_1063	A	4	2	6.97	7.2	766	793	0.005	6.608	403.088	0.5	0.5	65.76828571	28.70359829	133.6148214	6.107745363	17.81886775	10.96945981	NA	NA	0.05	0.0163078932130844	0.0152207	0.0408001608503124	0.180932541	0.0326157864261688	0.0225896810402279
35	17	Boterhoek 1	Najaar	15295	B_11_1760	A	4	2	7.01	7.17	790	785.2	0.005	6.638	404.918	0.5	0.5	74.32731707	26.95429978	148.009471	6.460451055	17.42616601	10.97533587	0.05	0.05	0.05	0.0444449414910481	0.0152207	0.0245633468942361	0.038825905	0.0326157864261688	0.0225896810402279
58	20	Hornebeek	Lente	15083	B_11_0388	A	2	3	7.2	7.44	975	969.6	0.005	6.441	392.901	0.5	0.5	92.42455633	57.48994593	173.1788017	1.443655421	19.73162818	12.54681931	NA	NA	0.05	0.0326157864261688	0.0304414	11.0525438203964	0.038825905	0.0652315728523377	0.0451793620804558
58	20	Hornebeek	Zomer	15223	B_11_1036	A	2	3	6.97	6.96	1016	960	0.005	6.278	382.958	0.5	0.5	91.68085714	58.07155926	164.5380357	1.576128006	20.18946927	12.1249494	NA	NA	0.05	0.0163078932130844	0.0152207	8.95164232435272	0.208091548	0.0326157864261688	0.0225896810402279
58	20	Hornebeek	Najaar	15294	B_11_1772	A	2	3	6.95	7.39	966	967.6	0.005	6.31	384.91	0.5	0.5	104.7219512	55.42831079	185.8478589	1.621561338	19.60852475	12.23160217	0.05	0.05	0.05	0.0163078932130844	0.0152207	9.47931980711107	0.038825905	0.0326157864261688	0.0225896810402279
58	20	Hornebeek	Lente	15398	B_12_0351	A	2	3	7.25	7.33	985	978.7	0.005	6.374	388.814	0.5	0.5	94.90980583	56.23401075	179.5366465	1.453709961	18.29051488	12.2943938	NA	NA	0.05	0.00815394660654221	0.0152207	9.32339387637118	0.038825905	0.0163078932130844	0.0225896810402279
58	20	Hornebeek	Lente	15398	B_12_0352	B	4	3	8.02	7.96	979	971.9	0.005	6.323	385.703	0.5	0.5	98.8631068	57.26728746	179.7379394	1.394963283	18.14711509	12.37209071	NA	NA	0.05	0.00815394660654221	0.0152207	8.56237011180694	0.038825905	0.0163078932130844	0.0225896810402279
58	20	GeenVegOpn	Lente	15398	B_12_0357	C	4	3	8.03	7.96	957	950.8	0.005	6.072	370.392	0.5	0.5	99.73669903	57.1201839	172.7336566	1.514709195	18.20511825	12.49787625	NA	NA	0.05	0.00815394660654221	0.0152207	8.07215144355295	0.038825905	0.0163078932130844	0.0225896810402279
61	21	Fonteinbeek	Lente	15083	B_11_0393	B	3	3	8	7.85	860	856.2	0.005	6.468	394.548	0.5	0.5	72.89874779	31.64202022	141.4176763	4.676342291	23.27037579	13.30431979	NA	NA	0.05	0.0326157864261688	0.0304414	8.66180522749482	0.038825905	0.0652315728523377	0.0451793620804558
61	21	Fonteinbeek	Zomer	15223	B_11_1049	B	3	3	7.99	7.95	818	795.8	0.005	5.847	356.667	0.5	0.5	75.24961905	28.55326286	123.4173214	5.13514773	22.78631111	13.5785544	NA	NA	0.05	0.0163078932130844	0.0152207	6.86470833531592	0.212044267	0.0326157864261688	0.0225896810402279
61	21	Fonteinbeek	Najaar	15294	B_11_1783	B	3	3	7.36	7.85	924	918	0.005	7.669	467.809	0.5	0.5	81.54204878	21.87305253	172.0771788	6.504052117	22.13896314	12.56827752	0.05	0.05	0.05	0.0163078932130844	0.0152207	7.59697438775475	0.038825905	0.0326157864261688	0.0225896810402279
66	22	OverijseFluxys2	Zomer	15223	B_11_1050	A	4	5	6.85	6.95	830	837.7	0.005	3.898	237.778	0.5	0.5	77.08961905	68.86918073	107.76125	2.904492149	14.79248271	44.60124444	NA	NA	0.05	0.0163078932130844	0.0152207	14.3563329918574	0.038825905	0.0326157864261688	0.0225896810402279
68	24	GeenVegOpn	Zomer	15223	B_11_1059	A	2	4	8.24	8.07	869	857	0.005	5.592	341.112	0.5	0.5	69.25066667	79.4496849	137.729375	3.890180879	18.87743648	17.26469662	NA	NA	0.05	0.0163078932130844	0.0152207	0.688180585271491	0.182016351	0.0326157864261688	0.0225896810402279
68	24	GeenVegOpn	Lente	15400	B_12_0376	A	2	4	8.24	7.85	955	932.9	0.005	5.716	348.676	0.5	0.5	92.8007767	82.46186531	159.02184	3.240404745	16.5828	19.87954681	NA	NA	0.05	0.00815394660654221	0.0152207	0.386279914722567	0.038825905	0.0163078932130844	0.0225896810402279
68	24	GeenVegOpn	Lente	15400	B_12_0375	B	5	4	8.12	7.81	954	929.7	0.005	5.587	340.807	0.5	0.5	88.53601942	87.38698581	154.58064	3.000697837	17.6847	20.37954681	NA	NA	0.05	0.00815394660654221	0.0152207	0.664294750349982	0.038825905	0.0163078932130844	0.0225896810402279
68	24	GeenVegOpn	Lente	15400	B_12_0374	C	5	4	8.13	7.88	927	912.3	0.005	5.34	325.74	0.5	0.5	88.56786408	87.43314951	146.90688	2.972871598	17.7089	20.36344663	NA	NA	0.05	0.00815394660654221	0.0152207	0.671975241903659	0.038825905	0.0163078932130844	0.0225896810402279
71	26	Molenbeemd	Lente	15083	B_11_0406	B	4	4	8.04	7.92	679	797.4	0.005	6.509	397.049	0.5	0.5	52.10919883	33.59840818	135.4642567	4.187783656	20.99084332	11.04952989	NA	NA	0.05	0.0326157864261688	0.0304414	4.7488371613968	0.038825905	0.0652315728523377	0.0451793620804558
72	27	Kwinten 1	Lente	15083	B_11_0390	B	5	3	8.15	7.91	689	667.3	0.005	4.675	285.175	0.5	0.5	43.72141589	20.93714412	129.9822922	1.357607101	2.613589162	6.220995309	NA	NA	0.05	0.0326157864261688	0.0304414	14.0469424410317	0.101089259	0.0652315728523377	0.0451793620804558
72	27	GeenVegOpn	Zomer	15223	B_11_1043	A	3	5	7.38	7.48	714	719.1	0.005	5.247	320.067	0.5	0.5	42.6387619	21.23948044	138.75	1.608030213	2.844769231	6.377187064	NA	NA	0.05	0.0163078932130844	0.0152207	12.4089368066921	0.150394596	0.0326157864261688	0.0225896810402279
72	27	GeenVegOpn	Najaar	15294	B_11_1771	A	3	5	7.61	7.91	717	712.4	0.005	5.306	323.666	0.5	0.5	51.17619512	20.64118296	155.6122922	1.719950434	2.544998311	6.363444957	0.05	0.05	0.05	0.0163078932130844	0.0152207	12.4879361742039	0.038825905	0.0326157864261688	0.0225896810402279
72	27	Kwinten 1	Najaar	15294	B_11_1773	B	5	3	8.17	7.97	691	674.9	0.005	4.922	300.242	0.5	0.5	52.40253659	19.63814973	150.5514358	1.656133829	2.634850166	6.056446762	0.05	0.05	0.05	0.0163078932130844	0.0152207	12.0338306870392	0.038825905	0.0326157864261688	0.0225896810402279
72	27	GeenVegOpn	Lente	15398	B_12_0358	A	3	5	7.09	7.22	725	726.5	0.005	5.318	324.398	0.5	0.5	44.05135922	18.7213	148.7709091	1.531558319	1.968057832	6.009389205	NA	NA	0.05	0.00815394660654221	0.0152207	12.6398978982922	0.038825905	0.0163078932130844	0.0225896810402279
72	27	Kwinten 1	Lente	15398	B_12_0359	B	5	3	7.9	7.88	723	716	0.005	5.306	323.666	0.5	0.5	44.8423301	18.9739	148.4542222	1.581114565	1.953767915	6.035321295	NA	NA	0.05	0.00815394660654221	0.0152207	12.280383124537	0.038825905	0.0163078932130844	0.0225896810402279
72	27	Kwinten 1	Lente	15398	B_12_0360	C	5	2	8.1	8.01	714	693.1	0.005	5.048	307.928	0.5	0.5	44.83194175	18.7417	142.8862222	1.624003244	1.960912874	6.060657244	NA	NA	0.05	0.00815394660654221	0.0152207	12.0009939494315	0.038825905	0.0163078932130844	0.0225896810402279
72	27	Kwinten 1	Lente	15398	B_12_0361	D	2	1	8.1	7.92	698	680.5	0.005	4.913	299.693	0.5	0.5	44.69378641	18.6158	138.112	1.541829977	1.958895473	6.031446385	NA	NA	0.05	0.00815394660654221	0.0152207	11.9720791577	0.038825905	0.0163078932130844	0.0225896810402279
75	29	Mabroek	Lente	15083	B_11_0399	B	5	5	7.94	7.98	655	659	0.005	4.316	263.276	0.5	0.5	78.25191015	17.76604853	129.0479288	1.460031158	3.336090372	5.617433873	NA	NA	0.05	0.0326157864261688	0.0304414	9.69584938158401	0.086638522	0.0652315728523377	0.0451793620804558
75	29	Mabroek	Zomer	15223	B_11_1041	A	2	5	6.8	6.89	698	697.1	0.005	4.718	287.798	0.5	0.5	84.09857143	17.61955874	135.6422321	1.631584178	3.573	5.374443395	NA	NA	0.05	0.0163078932130844	0.0152207	7.43947171309102	0.142807925	0.0326157864261688	0.0225896810402279
75	29	Mabroek	Najaar	15294	B_11_1779	A	2	5	6.77	7.28	713	711.4	0.005	4.878	297.558	0.5	0.5	92.74058537	17.11650352	151.404131	1.719702602	3.197606524	5.417585723	0.05	0.05	0.05	0.0532762560116676	0.0152207	7.35944771153181	0.038825905	0.0326157864261688	0.0225896810402279
75	29	Mabroek	Lente	15398	B_12_0353	A	2	5	6.68	6.8	597	590.1	0.005	3.479	212.219	0.5	0.5	70.21524272	14.1193	112.0900202	1.421543452	2.269238852	5.329193472	NA	NA	0.05	0.0291055672065736	0.0152207	10.1421794553553	0.038825905	0.0163078932130844	0.0225896810402279
75	29	Mabroek	Lente	15398	B_12_0355	B	5	5	7.57	7.61	604	594.3	0.005	3.585	218.685	0.5	0.5	70.92679612	14.4111	114.1714747	1.570933009	2.343798596	5.381157008	NA	NA	0.05	0.0329448696003151	0.0152207	9.71354025761695	0.038825905	0.0163078932130844	0.0225896810402279
75	29	Mabroek	Lente	15398	B_12_0354	C	5	5	7.99	7.93	604	593.2	0.005	3.618	220.698	0.5	0.5	70.44417476	14.3931	114.5552323	1.467946119	2.269575085	5.319357162	NA	NA	0.05	0.022341082455994	0.0152207	9.32617240713913	0.038825905	0.0163078932130844	0.0225896810402279
75	29	Mabroek	Lente	15398	B_12_0356	D	4	4	8.17	8.03	600	591	0.005	3.648	222.528	0.5	0.5	70.64339806	14.4696	114.6349091	1.517412263	2.31429412	5.277031223	NA	NA	0.05	0.0276429758650756	0.0152207	9.32068311464635	0.038825905	0.0163078932130844	0.0225896810402279
79	30	Galmaarden 2	Lente	15083	B_11_0396	B	3	5	NA	8.15	919	908.3	0.005	6.736	410.896	0.5	0.5	108.780845	32.89518856	168.5878574	3.210975505	18.75433909	11.97504508	NA	NA	0.05	0.0326157864261688	0.0304414	6.34476431917226	0.038825905	0.0652315728523377	0.0451793620804558
79	30	Galmaarden 3	Zomer	15223	B_11_1060	A	2	5	7.85	7.92	972	959.7	0.005	7.264	443.104	0.5	0.5	118.300381	35.39215288	172.7325893	5.751700997	19.70862346	12.38069536	NA	NA	0.05	0.0163078932130844	0.0152207	3.44249134236948	0.191069353	0.0326157864261688	0.0225896810402279
79	30	Galmaarden 3	Najaar	15295	B_11_1761	A	2	5	7.86	7.9	987	974.3	0.005	7.478	456.158	0.5	0.5	127.3669268	32.56005572	204.0462469	4.124163569	20.52800846	12.27732103	0.05	0.05	0.05	0.0163078932130844	0.0152207	4.49760745363472	0.038825905	0.0326157864261688	0.0225896810402279
79	30	Galmaarden 3	Lente	15400	B_12_0370	A	2	5	7.51	7.61	900	896.5	0.005	6.079	370.819	0.5	0.5	114.8218447	33.31390818	169.86464	3.12709351	9.4214	14.90399523	NA	NA	0.05	0.00815394660654221	0.0152207	5.6359221124075	0.038825905	0.0163078932130844	0.0225896810402279
79	30	Galmaarden 2	Lente	15400	B_12_0371	B	3	5	7.92	7.91	878	876.1	0.005	6.315	385.215	0.5	0.5	108.3563107	30.35853805	166.80384	3.937718074	10.2173	13.91293977	NA	NA	0.05	0.00815394660654221	0.0152207	4.02877925480048	0.038825905	0.0163078932130844	0.0225896810402279
79	30	Galmaarden 2	Lente	15400	B_12_0372	C	3	5	8.08	8.01	922	919.2	0.005	6.815	415.715	0.5	0.5	108.9483495	31.34495202	173.9224	3.172540126	14.6668	12.17123832	NA	NA	0.05	0.00815394660654221	0.0152207	5.26470588387343	0.038825905	0.0163078932130844	0.0225896810402279
79	30	Galmaarden 1	Lente	15400	B_12_0373	D	3	5	8.17	8.03	922	919.9	0.005	6.955	424.255	0.5	0.5	110.5693204	32.39778216	176.14608	3.04230635	16.8711	12.25501888	NA	NA	0.05	0.00815394660654221	0.0152207	3.74539170615083	0.038825905	0.0163078932130844	0.0225896810402279
80	30	GeenVegOpn	Lente	15083	B_11_0386	B	2	5	NA	8.12	844	837.4	0.005	5.729	349.469	0.5	0.5	110.3930555	30.97225659	153.4527216	1.638428081	12.87279527	16.43510623	NA	NA	0.05	0.0326157864261688	0.0304414	5.92281053301985	0.038825905	0.0652315728523377	0.0451793620804558
83	16	Wijngaardbos 2	Lente	15398	B_12_0349	C	5	4	8.21	8.07	727	715	0.005	4.92	300.12	0.5	0.5	67.24728155	33.33370605	114.5028687	1.281975042	16.07474977	17.32810055	NA	NA	0.05	0.00815394660654221	0.0152207	6.04633143754636	0.038825905	0.0163078932130844	0.0225896810402279
83	16	Wijngaardbos 2	Lente	15398	B_12_0350	D	3	4	8.26	8.09	703	693.9	0.005	4.772	291.092	0.5	0.5	67.5638835	33.26809648	108.9285657	1.384241114	15.84861508	17.15114633	NA	NA	0.05	0.00815394660654221	0.0152207	5.82253546748082	0.038825905	0.0163078932130844	0.0225896810402279
104	3	Krindaal 2	Lente	15083	B_11_0401	B	4	4	7.56	7.74	769	668.1	0.005	5.174	315.614	0.5	0.5	36.77334714	22.01373355	130.4122991	1.536273001	2.576787411	6.697788189	NA	NA	0.05	0.0326157864261688	0.0304414	9.2187023068099	0.038825905	0.0652315728523377	0.0451793620804558
104	3	Krindaal 2	Najaar	15294	B_11_1782	B	4	4	7.45	7.89	651	651.3	0.005	5.162	314.882	0.5	0.5	44.97970732	19.68437198	141.1977834	1.834324659	2.712348598	6.703128133	0.05	0.05	0.05	0.0163078932130844	0.0152207	6.42796133284046	0.038825905	0.0326157864261688	0.0225896810402279
