loc_code	codeplas	index_0m	index_50m	index_100m	index_150m	index_200m
NA	ANTGEE0513	2.649484536	2.297727273	2.895445135	2.541580042	2.877615726
AN_NEE_001	ANTGEE0854	3.137931034	1.242647059	2.621111111	2.764534884	3.881569208
AN_ZAM_001	ANTGEE0889	2.078534031	3.728723404	3.639344262	4.142947103	3.409947249
NA	ANTGEE1026	2.469662921	3.795081967	3.396917148	3.300632911	3.569581281
AN_GRO_001	ANTGRO0161	3.192982456	3.155172414	4.082037997	3.618686869	2.846540881
AN_AVE_001	ANTHEI0549	2.311688312	3.925	2.87913486	3.119725221	3.429737609
AN_ELS_002	ANTHGS0010	2.412408759	3.901869159	3.916913947	3.806648575	3.528735632
AN_ELS_001	ANTHGS0029	2.323529412	3.726315789	4.267806268	3.90313779	3.921417565
AN_VVM_004	ANTHGS0196	2.132152589	3.63	3.967153285	3.634183673	3.581598388
AN_VVM_002	ANTHGS0465	1.30155642	3.073394495	3.307125307	3.997218359	2.999248685
AN_VVM_001	ANTHGS0496	2	3.039215686	3.754518072	4.046208531	3.390902082
AN_VVM_006	ANTHGS0569	2.052763819	4.14673913	2.648843931	2.692556634	3.990327381
AN_VVM_003	ANTHGS0622	4	4.047413793	4.280148423	3.561889251	3.565656566
AN_LAN_010	ANTHST0069	2.767241379	2.589147287	3.233560091	3.56378866	3.386958846
AN_LAN_001	ANTHST0089	2.150753769	3.099137931	2.505221932	3.029522613	3.222303207
AN_LAN_003	ANTHST0141	2.130434783	2.691489362	3.016393443	2.34893617	2.656726768
AN_LAN_007	ANTHST0346	2	2.68115942	3.292857143	3.829787234	3.866666667
AN_LAN_008	ANTHST0414	2.252336449	2.494505495	3.358523726	3.379271071	2.155890805
AN_LAN_002	ANTHST0458	1.776923077	2.983870968	2.912103746	3.12911084	2.768160742
AN_LAN_004	ANTHST0460	2.959427208	2.086614173	3.46125	3.462365591	2.753535354
AN_HGA_004	ANTHST0479	1.893238434	3.103603604	2.515	3.450592885	2.975236708
AN_LAN_006	ANTHST0507	2	2.940140845	3.817251462	2.942873969	3.263513514
AN_LAN_005	ANTHST0508	2.476020043	3.266393443	2.87202381	2.506521739	3.553857351
AN_LAN_009	ANTHST0665	3.5	3.354285714	3.315028902	4.359977949	3.013651877
AN_ENK_002	ANTHTS0090	1.679487179	1.97810219	3.180397727	1.547516199	3.046651618
AN_ENK_001	ANTHTS0097	1.504149378	3.514285714	3.945619335	4.219816273	2.889290883
AN_SNE_003	ANTHTS0151	2.201946472	1.4296875	2.697761194	3.778125	2.516634051
NA	ANTHUL0066	2.586486486	4.010869565	3.02254902	2.774410774	2.503916449
AN_HGA_001	ANTHUL0132	2.651515152	3.251798561	3.230985915	3.642201835	2.520393812
AN_HGA_005	ANTHUL0218	3.334170854	2.666666667	1.003448276	3.730588235	2.899549259
AN_HGA_003	ANTHUL0219	3.258064516	3.236111111	2.247580645	3.264314248	3.179987413
AN_WES_002	ANTHUL0273	2.199088146	3.378787879	3.384364821	2.772617612	2.83827983
AN_HGA_002	ANTHUL0276	3.082352941	3.357142857	3.960629921	4.085609244	2.10797491
AN_KAL_003	ANTKAL0004	1.53997259	3.509345794	4.122126437	3.982166446	3.332205683
AN_KAL_007	ANTKAL0019	1.508005822	3.421875	2.725512528	3.51873385	3.933795227
AN_KSV_001	ANTKAL0235	1.640054127	1.404145078	1	1.076802508	3.914027149
AN_KSV_004	ANTKAL0247	1.224852071	1	1	3.264705882	3.819325329
AN_KSV_002	ANTKAL0260	1.707934337	1	1.093370166	3.765734266	3.527286703
AN_KSV_005	ANTKAL0269	1.308219178	1	1.885185185	2.138512369	3.596504559
AN_NOL_003	ANTKAL0288	2.486111111	1.579155673	3.713253012	3.759810555	3.572408537
AN_KAL_001	ANTKAL0319	1.65	3.161111111	3.98502994	3.965053763	1.804473304
AN_KAL_002	ANTKAL0330	2.697916667	1.664717349	1.639561707	3.902439024	1.932281394
AN_KAL_004	ANTKAL0345	1.888621795	3.352941176	3.732091691	3.009744214	3.408560311
AN_NOL_001	ANTKAL0383	2.165794979	3.835164835	3.218023256	3.471319312	3.566160521
AN_KAL_006	ANTKAL0387	1.720635626	3.351851852	3.543037975	3.237535613	2.170676692
