Typeklasse	Hoofdtype	Vegcode	HoofdLogical	Druk	Milieudruk	EffIndActie	Categorie_voorstel	Rang_voorstel	Rang	Categorie
1	2	3	0	7	7	1	NA	NA	NA	4
1	2	3	0	8	8	1	3	7	7	3
1	2	3	0	9	9	1	3	8	8	3
1	2	3	0	10	10	1	NA	NA	NA	4
1	2	3	0	11	11	1	NA	NA	NA	4
1	2	3	0	12	12	1	3	7	7	3
1	2	3	0	15	15	1	NA	NA	NA	4
1	2	3	0	16	16	1	NA	NA	NA	4
1	2	3	0	17	17	1	NA	NA	NA	4
1	2	3	0	18	18	1	1	3	3	1
1	2	3	0	19	19	1	1	5	5	1
1	2	3	0	20	20	1	1	1	1	1
1	2	3	0	21	21	1	3	7	7	3
1	2	3	0	22	22	1	1	4	4	1
1	2	3	0	23	23	1	NA	NA	NA	4
1	2	3	0	24	24	1	NA	NA	NA	4
1	2	3	0	25	25	1	3	7	7	3
1	2	3	0	28	28	1	NA	NA	NA	4
1	2	3	0	29	29	1	NA	NA	NA	4
1	2	3	0	30	30	1	NA	NA	NA	4
1	2	3	0	31	31	1	3	7	7	3
1	2	3	0	32	32	1	NA	NA	NA	5
1	2	3	0	35	35	1	NA	NA	NA	4
1	2	4	0	1	1	1	3	7	7	3
1	2	4	0	2	2	1	3	7	7	3
1	2	4	0	3	3	1	2	5	5	2
1	2	4	0	4	4	1	1	3	3	1
1	2	4	0	5	5	1	2	5	5	2
1	2	4	0	6	6	1	NA	NA	NA	4
1	2	4	0	7	7	1	2	4	4	2
1	2	4	0	8	8	1	2	6	6	2
1	2	4	0	9	9	1	NA	NA	NA	4
1	2	4	0	10	10	1	NA	NA	NA	4
1	2	4	0	11	11	1	NA	NA	NA	4
1	2	4	0	12	12	1	3	7	7	3
1	2	4	0	15	15	1	NA	NA	NA	4
1	2	4	0	16	16	1	NA	NA	NA	4
1	2	4	0	17	17	1	NA	NA	NA	4
1	2	4	0	18	18	1	NA	NA	NA	4
1	2	4	0	19	19	1	1	2	2	1
1	2	4	0	20	20	1	3	7	7	3
1	2	4	0	21	21	1	2	4	4	2
1	2	4	0	22	22	1	3	8	8	3
1	2	4	0	23	23	1	1	1	1	1
1	2	4	0	24	24	1	NA	NA	NA	4
1	2	4	0	25	25	1	3	7	7	3
1	2	4	0	28	28	1	NA	NA	NA	4
1	2	4	0	29	29	1	NA	NA	NA	4
1	2	4	0	30	30	1	NA	NA	NA	4
1	2	4	0	31	31	1	3	7	7	3
1	2	4	0	32	32	1	NA	NA	NA	5
1	2	4	0	35	35	1	NA	NA	NA	4
1	3	5	1	1	1	1	3	6	7	3
1	3	5	1	2	2	1	3	6	7	3
1	3	5	1	3	3	1	3	6	7	3
1	3	5	1	4	4	1	1	5	5	1
1	3	5	1	5	5	1	1	2	2	1
1	3	5	1	6	6	1	NA	NA	NA	4
1	3	5	1	7	7	1	NA	NA	NA	4
1	3	5	1	8	8	1	3	6	7	3
1	3	5	1	9	9	1	3	7	8	3
1	3	5	1	10	10	1	NA	NA	NA	4
1	3	5	1	11	11	1	NA	NA	NA	4
1	3	5	1	12	12	1	3	6	7	3
1	3	5	1	15	15	1	NA	NA	NA	4
1	3	5	1	16	16	1	NA	NA	NA	4
1	3	5	1	17	17	1	NA	NA	NA	4
1	3	5	1	18	18	1	2	5	6	2
1	3	5	1	19	19	1	1	3	3	1
1	3	5	1	20	20	1	1	1	1	1
1	3	5	1	21	21	1	NA	NA	NA	4
1	3	5	1	22	22	1	1	4	4	1
1	3	5	1	23	23	1	NA	NA	NA	4
1	3	5	1	24	24	1	NA	NA	NA	4
1	3	5	1	25	25	1	3	6	7	3
1	3	5	1	28	28	1	NA	NA	NA	4
1	3	5	1	29	29	1	NA	NA	NA	4
1	3	5	1	30	30	1	NA	NA	NA	4
1	3	5	1	31	31	1	NA	NA	NA	4
1	3	5	1	32	32	1	NA	NA	NA	5
1	3	5	1	35	35	1	NA	NA	NA	4
1	4	6	0	1	1	1	3	7	7	3
1	4	6	0	2	2	1	3	7	7	3
1	4	6	0	3	3	1	3	7	7	3
1	4	6	0	4	4	1	1	4	4	1
1	4	6	0	5	5	1	1	2	2	1
1	4	6	0	6	6	1	NA	NA	NA	4
1	4	6	0	7	7	1	NA	NA	NA	4
1	4	6	0	8	8	1	3	7	7	3
1	4	6	0	9	9	1	3	8	8	3
1	4	6	0	10	10	1	NA	NA	NA	4
1	4	6	0	11	11	1	NA	NA	NA	4
1	4	6	0	12	12	1	3	7	7	3
1	4	6	0	15	15	1	NA	NA	NA	4
1	4	6	0	16	16	1	3	7	7	3
1	4	6	0	17	17	1	3	8	8	3
1	4	6	0	18	18	1	2	6	6	2
1	4	6	0	19	19	1	1	3	3	1
1	4	6	0	20	20	1	1	1	1	1
1	4	6	0	21	21	1	NA	NA	NA	4
1	4	6	0	22	22	1	2	5	5	2
1	4	6	0	23	23	1	NA	NA	NA	4
1	4	6	0	24	24	1	NA	NA	NA	4
1	4	6	0	25	25	1	3	7	7	3
1	4	6	0	28	28	1	NA	NA	NA	4
1	4	6	0	29	29	1	NA	NA	NA	4
1	4	6	0	30	30	1	NA	NA	NA	4
1	4	6	0	31	31	1	NA	NA	NA	4
1	4	6	0	32	32	1	NA	NA	NA	5
1	4	6	0	35	35	1	NA	NA	NA	4
1	4	7	0	1	1	1	2	5	5	2
1	4	7	0	2	2	1	3	7	8	3
1	4	7	0	4	4	1	1	1	1	1
1	4	7	0	5	5	1	NA	NA	NA	4
1	4	7	0	6	6	1	NA	NA	NA	4
1	4	7	0	7	7	1	3	7	8	3
1	4	7	0	8	8	1	2	6	6	2
1	4	7	0	9	9	1	3	7	7	2
1	4	7	0	10	10	1	2	6	6	2
1	4	7	0	11	11	1	3	8	9	3
1	4	7	0	12	12	1	2	5	5	2
1	4	7	0	14	14	1	NA	NA	NA	4
1	4	7	0	15	15	1	NA	NA	NA	4
1	4	7	0	16	16	1	1	2	2	1
1	4	7	0	17	17	1	2	5	5	2
1	4	7	0	18	18	1	2	5	5	2
1	4	7	0	19	19	1	1	4	4	1
1	4	7	0	24	24	1	1	3	3	1
1	4	7	0	25	25	1	1	2	2	1
1	4	7	0	28	28	1	NA	NA	NA	4
1	4	7	0	29	29	1	3	7	8	3
1	4	7	0	30	30	1	3	7	8	3
1	4	7	0	31	31	1	3	7	8	3
1	4	7	0	32	32	1	NA	NA	NA	5
1	4	7	0	35	35	1	NA	NA	NA	4
2	5	8	1	3	3	1	2	3	3	2
2	5	8	1	4	4	1	1	2	2	1
2	5	8	1	5	5	1	1	1	1	1
2	5	8	1	6	6	1	NA	NA	NA	4
2	5	8	1	7	7	1	NA	NA	NA	4
2	5	8	1	8	8	1	NA	NA	NA	4
2	5	8	1	9	9	1	NA	NA	NA	4
2	5	8	1	10	10	1	NA	NA	NA	4
2	5	8	1	11	11	1	NA	NA	NA	4
2	5	8	1	12	12	1	NA	NA	NA	4
2	5	8	1	17	17	1	NA	NA	NA	4
2	5	8	1	18	18	1	NA	NA	NA	4
2	5	8	1	19	19	1	NA	NA	NA	4
2	5	8	1	20	20	1	NA	NA	NA	4
2	5	8	1	21	21	1	NA	NA	NA	4
2	5	8	1	22	22	1	NA	NA	NA	4
2	5	8	1	23	23	1	NA	NA	NA	4
2	5	8	1	24	24	1	NA	NA	NA	4
2	5	8	1	25	25	1	NA	NA	NA	4
2	5	8	1	28	28	1	NA	NA	NA	4
2	5	8	1	29	29	1	NA	NA	NA	4
2	5	8	1	30	30	1	NA	NA	NA	4
2	5	8	1	31	31	1	NA	NA	NA	4
2	5	8	1	32	32	1	NA	NA	NA	5
2	5	8	1	35	35	1	NA	NA	NA	4
2	6	9	1	2	2	1	1	2	2	1
2	6	9	1	4	4	1	1	4	4	1
2	6	9	1	5	5	NA	NA	NA	6	2
2	6	9	1	6	6	1	1	1	1	1
2	6	9	1	7	7	1	NA	NA	NA	4
2	6	9	1	8	8	1	1	3	3	1
2	6	9	1	9	9	1	2	5	5	2
2	6	9	1	10	10	1	NA	NA	NA	4
2	6	9	1	12	12	1	NA	NA	NA	4
2	6	9	1	17	17	1	NA	NA	NA	4
2	6	9	1	18	18	1	NA	NA	NA	4
2	6	9	1	27	27	1	NA	NA	NA	4
2	6	9	1	28	28	NA	NA	NA	7	3
2	6	9	1	29	29	1	NA	NA	NA	4
2	6	9	1	31	31	1	NA	NA	NA	4
2	6	9	1	32	32	1	NA	NA	NA	5
2	6	9	1	35	35	1	NA	NA	NA	4
2	7	10	0	2	2	NA	NA	NA	5	2
2	7	10	0	4	4	NA	NA	NA	5	2
2	7	10	0	5	5	NA	NA	NA	5	2
2	7	10	0	6	6	1	1	4	4	1
2	7	10	0	7	7	1	NA	NA	NA	4
2	7	10	0	8	8	1	1	2	2	1
2	7	10	0	9	9	1	1	1	1	1
2	7	10	0	10	10	1	1	3	3	1
2	7	10	0	11	11	1	NA	NA	NA	4
2	7	10	0	12	12	1	NA	NA	NA	4
2	7	10	0	13	13	1	NA	NA	NA	4
2	7	10	0	14	14	1	NA	NA	NA	5
2	7	10	0	16	16	NA	NA	NA	6	3
2	7	10	0	17	17	1	NA	NA	NA	4
2	7	10	0	18	18	1	NA	NA	NA	4
2	7	10	0	26	26	1	NA	NA	NA	4
2	7	10	0	27	27	1	NA	NA	NA	4
2	7	10	0	28	28	1	NA	NA	NA	4
2	7	10	0	29	29	1	NA	NA	NA	4
2	7	10	0	30	30	1	NA	NA	NA	4
2	7	10	0	31	31	1	NA	NA	NA	4
2	7	10	0	32	32	1	NA	NA	NA	5
2	7	10	0	35	35	1	NA	NA	NA	4
2	7	11	0	2	2	NA	NA	NA	5	2
2	7	11	0	4	4	NA	NA	NA	5	2
2	7	11	0	5	5	NA	NA	NA	5	2
2	7	11	0	6	6	1	1	2	2	1
2	7	11	0	7	7	1	NA	NA	NA	4
2	7	11	0	8	8	1	1	1	1	1
2	7	11	0	9	9	1	1	4	4	1
2	7	11	0	10	10	1	1	3	3	1
2	7	11	0	11	11	1	NA	NA	NA	4
2	7	11	0	12	12	1	NA	NA	NA	4
2	7	11	0	13	13	1	NA	NA	NA	4
2	7	11	0	14	14	1	NA	NA	NA	4
2	7	11	0	16	16	NA	NA	NA	6	3
2	7	11	0	17	17	1	NA	NA	NA	4
2	7	11	0	18	18	1	NA	NA	NA	4
2	7	11	0	26	26	1	NA	NA	NA	4
2	7	11	0	27	27	1	NA	NA	NA	4
2	7	11	0	28	28	1	NA	NA	NA	4
2	7	11	0	29	29	1	NA	NA	NA	4
2	7	11	0	30	30	1	NA	NA	NA	4
2	7	11	0	31	31	1	NA	NA	NA	4
2	7	11	0	32	32	1	NA	NA	NA	5
2	7	11	0	35	35	1	NA	NA	NA	4
2	8	12	1	4	4	1	2	3	3	2
2	8	12	1	5	5	1	2	3	3	2
2	8	12	1	6	6	1	2	3	3	2
2	8	12	1	7	7	1	NA	NA	NA	4
2	8	12	1	8	8	1	1	2	2	1
2	8	12	1	9	9	1	1	1	1	1
2	8	12	1	10	10	1	2	3	3	2
2	8	12	1	12	12	1	NA	NA	NA	4
2	8	12	1	13	13	1	NA	NA	NA	4
2	8	12	1	17	17	1	NA	NA	NA	4
2	8	12	1	18	18	1	NA	NA	NA	4
2	8	12	1	27	27	1	NA	NA	NA	4
2	8	12	1	28	28	1	NA	NA	NA	4
2	8	12	1	29	29	1	NA	NA	NA	4
2	8	12	1	31	31	1	NA	NA	NA	4
2	8	12	1	32	32	1	NA	NA	NA	5
2	8	12	1	35	35	1	NA	NA	NA	4
2	9	13	1	4	4	1	2	1	1	2
2	9	13	1	5	5	1	NA	NA	NA	4
2	9	13	1	6	6	1	NA	NA	NA	4
2	9	13	1	7	7	1	NA	NA	NA	4
2	9	13	1	8	8	1	NA	NA	NA	4
2	9	13	1	9	9	1	NA	NA	NA	4
2	9	13	1	10	10	1	NA	NA	NA	4
2	9	13	1	11	11	1	NA	NA	NA	4
2	9	13	1	12	12	1	NA	NA	NA	4
2	9	13	1	13	13	1	NA	NA	NA	4
2	9	13	1	14	14	1	NA	NA	NA	4
2	9	13	1	16	16	1	2	1	1	2
2	9	13	1	17	17	1	NA	NA	NA	4
2	9	13	1	18	18	1	NA	NA	NA	4
2	9	13	1	26	26	1	NA	NA	NA	4
2	9	13	1	27	27	1	NA	NA	NA	4
2	9	13	1	28	28	1	NA	NA	NA	4
2	9	13	1	29	29	1	NA	NA	NA	4
2	9	13	1	30	30	1	NA	NA	NA	4
2	9	13	1	31	31	1	NA	NA	NA	4
2	9	13	1	32	32	1	NA	NA	NA	5
2	9	13	1	35	35	1	NA	NA	NA	4
2	10	14	1	4	4	1	2	4	4	2
2	10	14	1	5	5	1	NA	NA	NA	4
2	10	14	1	6	6	1	1	1	1	1
2	10	14	1	7	7	1	NA	NA	NA	4
2	10	14	1	8	8	1	1	3	3	1
2	10	14	1	9	9	1	NA	NA	NA	4
2	10	14	1	10	10	1	NA	NA	NA	4
2	10	14	1	11	11	1	NA	NA	NA	4
2	10	14	1	12	12	1	NA	NA	NA	4
2	10	14	1	13	13	1	NA	NA	NA	4
2	10	14	1	14	14	1	NA	NA	NA	4
2	10	14	1	15	15	1	NA	NA	NA	4
2	10	14	1	16	16	1	1	2	2	1
2	10	14	1	17	17	1	NA	NA	NA	4
2	10	14	1	18	18	1	NA	NA	NA	4
2	10	14	1	26	26	1	NA	NA	NA	4
2	10	14	1	27	27	1	NA	NA	NA	4
2	10	14	1	28	28	1	NA	NA	NA	4
2	10	14	1	29	29	1	NA	NA	NA	4
2	10	14	1	30	30	1	NA	NA	NA	4
2	10	14	1	31	31	1	NA	NA	NA	4
2	10	14	1	32	32	1	NA	NA	NA	5
2	10	14	1	35	35	1	NA	NA	NA	4
2	11	15	1	1	1	1	3	4	5	3
2	11	15	1	4	4	1	2	2	3	2
2	11	15	1	5	5	1	NA	NA	NA	4
2	11	15	1	6	6	1	NA	NA	NA	4
2	11	15	1	7	7	1	NA	NA	NA	4
2	11	15	1	8	8	1	1	1	1	1
2	11	15	1	9	9	1	2	1	2	2
2	11	15	1	10	10	1	NA	NA	NA	4
2	11	15	1	11	11	1	NA	NA	NA	4
2	11	15	1	12	12	1	NA	NA	NA	4
2	11	15	1	13	13	1	2	3	4	2
2	11	15	1	14	14	1	NA	NA	NA	4
2	11	15	1	15	15	1	NA	NA	NA	4
2	11	15	1	16	16	1	3	5	6	3
2	11	15	1	17	17	1	NA	NA	NA	4
2	11	15	1	18	18	1	NA	NA	NA	4
2	11	15	1	26	26	1	NA	NA	NA	4
2	11	15	1	27	27	1	NA	NA	NA	4
2	11	15	1	28	28	1	NA	NA	NA	4
2	11	15	1	29	29	1	NA	NA	NA	4
2	11	15	1	30	30	1	NA	NA	NA	4
2	11	15	1	31	31	1	NA	NA	NA	4
2	11	15	1	32	32	1	NA	NA	NA	5
2	11	15	1	35	35	1	NA	NA	NA	4
2	12	16	0	4	4	1	3	4	4	3
2	12	16	0	5	5	1	NA	NA	NA	4
2	12	16	0	6	6	1	NA	NA	NA	4
2	12	16	0	7	7	1	NA	NA	NA	4
2	12	16	0	8	8	1	NA	NA	NA	4
2	12	16	0	9	9	1	3	2	2	3
2	12	16	0	10	10	1	3	3	3	3
2	12	16	0	11	11	1	3	4	4	3
2	12	16	0	12	12	1	NA	NA	NA	4
2	12	16	0	13	13	1	NA	NA	NA	4
2	12	16	0	14	14	1	NA	NA	NA	4
2	12	16	0	15	15	1	NA	NA	NA	4
2	12	16	0	16	16	1	1	1	1	1
2	12	16	0	17	17	1	NA	NA	NA	4
2	12	16	0	20	20	1	NA	NA	NA	4
2	12	16	0	21	21	1	NA	NA	NA	4
2	12	16	0	22	22	1	NA	NA	NA	4
2	12	16	0	23	23	1	NA	NA	NA	4
2	12	16	0	26	26	1	NA	NA	NA	4
2	12	16	0	27	27	1	NA	NA	NA	4
2	12	16	0	28	28	1	NA	NA	NA	4
2	12	16	0	29	29	1	NA	NA	NA	4
2	12	16	0	30	30	1	NA	NA	NA	4
2	12	16	0	31	31	1	NA	NA	NA	4
2	12	16	0	32	32	1	NA	NA	NA	5
2	12	16	0	35	35	1	NA	NA	NA	4
2	12	17	0	1	1	1	2	4	5	2
2	12	17	0	2	2	1	3	5	4	1
2	12	17	0	4	4	1	3	7	7	3
2	12	17	0	5	5	1	NA	NA	NA	4
2	12	17	0	6	6	1	1	2	2	1
2	12	17	0	7	7	1	NA	NA	NA	4
2	12	17	0	8	8	1	1	3	3	1
2	12	17	0	9	9	1	3	7	7	3
2	12	17	0	10	10	1	3	6	6	3
2	12	17	0	11	11	1	3	6	6	3
2	12	17	0	12	12	1	3	8	8	3
2	12	17	0	13	13	1	NA	NA	NA	4
2	12	17	0	14	14	1	3	8	8	3
2	12	17	0	15	15	1	NA	NA	NA	4
2	12	17	0	16	16	1	1	1	1	1
2	12	17	0	17	17	1	NA	NA	NA	4
2	12	17	0	18	18	1	NA	NA	NA	4
2	12	17	0	26	26	1	3	7	7	3
2	12	17	0	27	27	1	NA	NA	NA	4
2	12	17	0	28	28	1	3	7	7	3
2	12	17	0	29	29	1	NA	NA	NA	4
2	12	17	0	30	30	1	NA	NA	NA	4
2	12	17	0	31	31	1	NA	NA	NA	4
2	12	17	0	32	32	1	NA	NA	NA	5
2	12	17	0	35	35	1	NA	NA	NA	4
2	12	18	0	1	1	NA	NA	NA	4	2
2	12	18	0	2	2	1	3	3	2	1
2	12	18	0	4	4	1	3	4	6	3
2	12	18	0	5	5	1	NA	NA	NA	4
2	12	18	0	6	6	1	NA	NA	NA	4
2	12	18	0	7	7	1	NA	NA	NA	4
2	12	18	0	8	8	1	NA	NA	NA	4
2	12	18	0	9	9	1	NA	NA	NA	4
2	12	18	0	10	10	1	2	2	3	2
2	12	18	0	11	11	1	3	3	5	3
2	12	18	0	12	12	1	3	4	6	3
2	12	18	0	13	13	1	NA	NA	NA	4
2	12	18	0	14	14	1	NA	NA	NA	4
2	12	18	0	15	15	1	NA	NA	NA	4
2	12	18	0	16	16	1	1	1	1	1
2	12	18	0	17	17	1	NA	NA	NA	4
2	12	18	0	18	18	1	NA	NA	NA	4
2	12	18	0	19	19	1	NA	NA	NA	4
2	12	18	0	26	26	1	3	4	6	3
2	12	18	0	27	27	1	NA	NA	NA	4
2	12	18	0	28	28	NA	NA	NA	5	3
2	12	18	0	29	29	1	NA	NA	NA	4
2	12	18	0	30	30	1	NA	NA	NA	4
2	12	18	0	31	31	1	NA	NA	NA	4
2	12	18	0	32	32	1	NA	NA	NA	5
2	12	18	0	35	35	1	NA	NA	NA	4
3	13	19	1	2	2	1	3	5	5	3
3	13	19	1	4	4	1	3	5	5	3
3	13	19	1	5	5	1	3	6	6	3
3	13	19	1	6	6	1	2	3	3	2
3	13	19	1	7	7	1	NA	NA	NA	4
3	13	19	1	8	8	1	2	3	3	2
3	13	19	1	9	9	1	1	1	1	1
3	13	19	1	10	10	1	3	5	5	3
3	13	19	1	12	12	1	NA	NA	NA	4
3	13	19	1	13	13	1	2	2	2	2
3	13	19	1	17	17	1	NA	NA	NA	4
3	13	19	1	18	18	1	NA	NA	NA	4
3	13	19	1	27	27	1	NA	NA	NA	4
3	13	19	1	28	28	1	3	4	4	3
3	13	19	1	29	29	1	NA	NA	NA	4
3	13	19	1	31	31	1	NA	NA	NA	4
3	13	19	1	32	32	1	NA	NA	NA	5
3	13	19	1	33	33	1	NA	NA	NA	4
3	13	19	1	35	35	1	NA	NA	NA	4
3	14	20	0	2	2	NA	NA	NA	4	3
3	14	20	0	4	4	1	2	2	2	2
3	14	20	0	5	5	NA	NA	NA	4	3
3	14	20	0	6	6	1	1	1	1	1
3	14	20	0	7	7	1	NA	NA	NA	4
3	14	20	0	8	8	1	2	2	2	2
3	14	20	0	9	9	1	1	1	1	1
3	14	20	0	10	10	1	2	2	2	2
3	14	20	0	12	12	1	NA	NA	NA	4
3	14	20	0	13	13	1	3	3	4	3
3	14	20	0	17	17	1	NA	NA	NA	4
3	14	20	0	18	18	1	NA	NA	NA	4
3	14	20	0	27	27	1	NA	NA	NA	4
3	14	20	0	28	28	NA	NA	NA	3	2
3	14	20	0	29	29	1	NA	NA	NA	4
3	14	20	0	31	31	1	NA	NA	NA	4
3	14	20	0	32	32	1	NA	NA	NA	5
3	14	20	0	33	33	1	NA	NA	NA	4
3	14	20	0	35	35	1	NA	NA	NA	4
3	14	21	0	2	2	NA	NA	NA	4	3
3	14	21	0	4	4	1	3	2	3	3
3	14	21	0	5	5	NA	NA	NA	4	3
3	14	21	0	6	6	1	2	1	1	2
3	14	21	0	7	7	1	NA	NA	NA	4
3	14	21	0	8	8	1	3	2	3	3
3	14	21	0	9	9	1	2	1	1	2
3	14	21	0	10	10	1	2	1	1	2
3	14	21	0	12	12	1	NA	NA	NA	4
3	14	21	0	13	13	1	3	2	3	3
3	14	21	0	17	17	1	NA	NA	NA	4
3	14	21	0	18	18	1	NA	NA	NA	4
3	14	21	0	27	27	1	NA	NA	NA	4
3	14	21	0	28	28	NA	NA	NA	2	2
3	14	21	0	29	29	1	NA	NA	NA	4
3	14	21	0	31	31	1	NA	NA	NA	4
3	14	21	0	32	32	1	NA	NA	NA	5
3	14	21	0	33	33	1	NA	NA	NA	4
3	14	21	0	35	35	1	NA	NA	NA	4
4	15	22	1	4	4	1	3	5	6	3
4	15	22	1	5	5	1	3	6	7	3
4	15	22	1	6	6	1	NA	NA	NA	4
4	15	22	1	7	7	1	2	3	3	2
4	15	22	1	8	8	1	NA	NA	NA	4
4	15	22	1	9	9	1	1	1	1	1
4	15	22	1	10	10	1	2	3	3	2
4	15	22	1	11	11	1	1	1	1	1
4	15	22	1	12	12	1	2	4	4	2
4	15	22	1	13	13	1	1	2	2	1
4	15	22	1	14	14	1	3	6	7	3
4	15	22	1	15	15	1	NA	NA	NA	4
4	15	22	1	16	16	1	3	5	6	3
4	15	22	1	17	17	1	NA	NA	NA	4
4	15	22	1	20	20	1	NA	NA	NA	4
4	15	22	1	21	21	1	NA	NA	NA	4
4	15	22	1	22	22	1	NA	NA	NA	4
4	15	22	1	23	23	1	3	6	7	3
4	15	22	1	26	26	1	NA	NA	NA	4
4	15	22	1	27	27	1	NA	NA	NA	4
4	15	22	1	28	28	1	NA	NA	NA	4
4	15	22	1	29	29	NA	NA	NA	5	3
4	15	22	1	30	30	1	NA	NA	NA	4
4	15	22	1	31	31	1	3	5	6	3
4	15	22	1	32	32	1	NA	NA	NA	5
4	15	22	1	35	35	1	NA	NA	NA	4
4	16	23	0	4	4	1	2	5	5	2
4	16	23	0	5	5	1	3	7	8	3
4	16	23	0	6	6	1	NA	NA	NA	4
4	16	23	0	7	7	1	2	6	6	2
4	16	23	0	8	8	1	NA	NA	NA	4
4	16	23	0	9	9	1	1	1	1	1
4	16	23	0	10	10	1	1	4	4	1
4	16	23	0	11	11	1	1	1	1	1
4	16	23	0	12	12	1	1	2	2	1
4	16	23	0	13	13	1	1	3	3	1
4	16	23	0	14	14	1	3	7	8	3
4	16	23	0	15	15	1	NA	NA	NA	4
4	16	23	0	16	16	1	2	6	6	2
4	16	23	0	17	17	1	NA	NA	NA	4
4	16	23	0	20	20	1	NA	NA	NA	4
4	16	23	0	21	21	1	NA	NA	NA	4
4	16	23	0	22	22	1	NA	NA	NA	4
4	16	23	0	23	23	1	2	6	6	2
4	16	23	0	26	26	1	NA	NA	NA	4
4	16	23	0	27	27	1	NA	NA	NA	4
4	16	23	0	28	28	1	NA	NA	NA	4
4	16	23	0	29	29	NA	NA	NA	7	3
4	16	23	0	30	30	1	3	7	8	3
4	16	23	0	31	31	1	2	6	6	2
4	16	23	0	32	32	1	NA	NA	NA	5
4	16	23	0	35	35	1	NA	NA	NA	4
4	16	24	0	4	4	1	1	1	1	1
4	16	24	0	5	5	1	NA	NA	NA	4
4	16	24	0	6	6	1	NA	NA	NA	4
4	16	24	0	7	7	1	3	7	8	3
4	16	24	0	8	8	1	2	4	4	2
4	16	24	0	9	9	1	1	2	2	1
4	16	24	0	10	10	1	3	7	8	3
4	16	24	0	11	11	1	3	6	7	3
4	16	24	0	12	12	1	2	5	5	2
4	16	24	0	13	13	1	1	3	3	1
4	16	24	0	14	14	1	3	7	8	3
4	16	24	0	15	15	1	NA	NA	NA	4
4	16	24	0	16	16	1	3	7	8	3
4	16	24	0	17	17	1	NA	NA	NA	4
4	16	24	0	20	20	1	NA	NA	NA	4
4	16	24	0	21	21	1	NA	NA	NA	4
4	16	24	0	22	22	1	NA	NA	NA	4
4	16	24	0	23	23	1	NA	NA	NA	4
4	16	24	0	26	26	1	NA	NA	NA	4
4	16	24	0	27	27	1	NA	NA	NA	4
4	16	24	0	28	28	1	NA	NA	NA	4
4	16	24	0	29	29	NA	NA	NA	6	3
4	16	24	0	30	30	1	NA	NA	NA	4
4	16	24	0	31	31	1	3	6	7	3
4	16	24	0	32	32	1	NA	NA	NA	5
4	16	24	0	35	35	1	NA	NA	NA	4
4	17	25	1	4	4	1	NA	NA	NA	4
4	17	25	1	5	5	1	NA	NA	NA	4
4	17	25	1	6	6	1	NA	NA	NA	4
4	17	25	1	7	7	1	NA	NA	NA	4
4	17	25	1	8	8	1	NA	NA	NA	4
4	17	25	1	9	9	1	3	3	3	2
4	17	25	1	10	10	1	2	2	2	2
4	17	25	1	11	11	1	2	2	2	2
