Typeklasse	Hoofdtype	Vegcode	HoofdLogical	Druk	Milieudruk	Categorie
2	11	15	1	12	16	3
2	12	16	0	6	9	3
2	12	16	0	7	10	3
2	12	16	0	8	11	3
2	12	16	0	9	12	4
2	12	16	0	12	16	1
2	12	17	0	1	1	2
2	12	17	0	2	2	1
2	12	17	0	5	6	1
2	12	17	0	6	9	3
2	12	17	0	7	10	3
2	12	17	0	8	11	3
2	12	17	0	9	12	3
2	12	17	0	12	16	1
2	12	17	0	22	28	3
2	12	18	0	1	1	2
2	12	18	0	2	2	1
2	12	18	0	6	9	4
2	12	18	0	7	10	2
2	12	18	0	8	11	3
2	12	18	0	9	12	3
2	12	18	0	12	16	1
2	12	18	0	22	28	3
3	13	19	1	5	6	2
3	13	19	1	6	9	1
3	13	19	1	7	10	3
3	13	19	1	10	13	2
3	13	19	1	22	28	3
3	14	20	0	5	6	1
3	14	20	0	6	9	1
3	14	20	0	7	10	2
3	14	20	0	10	13	3
3	14	20	0	22	28	2
3	14	21	0	5	6	2
3	14	21	0	6	9	2
3	14	21	0	7	10	2
3	14	21	0	10	13	3
3	14	21	0	22	28	2
4	15	22	1	6	9	1
4	15	22	1	7	10	2
4	15	22	1	8	11	1
4	15	22	1	9	12	2
4	15	22	1	10	13	1
4	15	22	1	12	16	3
4	15	22	1	23	29	3
4	15	22	1	25	31	3
4	16	23	0	6	9	1
4	16	23	0	7	10	1
4	16	23	0	8	11	1
4	16	23	0	9	12	1
4	16	23	0	10	13	1
4	16	23	0	12	16	2
4	16	23	0	19	23	2
4	16	23	0	23	29	3
4	16	23	0	24	30	3
4	16	23	0	25	31	2
4	16	24	0	6	9	1
4	16	24	0	7	10	3
4	16	24	0	8	11	3
4	16	24	0	9	12	2
4	16	24	0	10	13	1
4	16	24	0	12	16	3
4	16	24	0	23	29	3
4	16	24	0	25	31	3
4	17	25	1	6	9	2
4	17	25	1	7	10	2
4	17	25	1	8	11	2
4	17	25	1	9	12	1
4	17	25	1	12	16	4
4	17	25	1	23	29	3
4	17	25	1	24	30	3
4	17	25	1	25	31	3
4	18	26	1	4	5	2
4	18	26	1	6	9	2
4	18	26	1	7	10	2
4	18	26	1	8	11	1
4	18	26	1	9	12	1
4	18	26	1	12	16	4
4	18	26	1	22	28	3
4	18	26	1	23	29	3
4	18	26	1	24	30	2
4	18	26	1	25	31	2
4	19	27	1	6	9	1
4	19	27	1	7	10	3
4	19	27	1	8	11	2
4	19	27	1	9	12	4
4	19	27	1	10	13	1
4	19	27	1	11	14	2
4	19	27	1	12	16	1
4	19	27	1	23	29	3
4	19	27	1	24	30	3
4	19	27	1	25	31	3
4	20	28	1	4	5	2
4	20	28	1	7	10	3
4	20	28	1	8	11	1
4	20	28	1	9	12	1
4	20	28	1	12	16	4
4	20	28	1	17	21	2
4	20	28	1	22	28	3
4	20	28	1	23	29	3
4	20	28	1	24	30	2
4	20	28	1	25	31	1
4	21	29	1	1	1	2
4	21	29	1	4	5	1
4	21	29	1	12	16	3
4	21	29	1	14	18	1
4	21	29	1	15	19	1
4	21	29	1	16	20	1
4	21	29	1	18	22	2
4	45	73	1	6	9	4
4	45	73	1	7	10	3
4	45	73	1	8	11	2
4	45	73	1	9	12	1
4	45	73	1	12	16	4
4	45	73	1	20	24	2
4	45	73	1	21	25	1
4	45	73	1	23	29	3
4	45	73	1	24	30	2
4	45	73	1	25	31	2
5	22	30	1	1	1	3
5	22	30	1	6	9	1
5	22	30	1	7	10	2
5	22	30	1	8	11	3
5	22	30	1	9	12	4
5	22	30	1	10	13	1
5	22	30	1	12	16	1
5	23	31	1	1	1	3
5	23	31	1	6	9	1
5	23	31	1	7	10	4
5	23	31	1	10	13	1
5	54	82	1	1	1	3
5	54	82	1	6	9	3
5	54	82	1	7	10	4
5	54	82	1	10	13	4
5	55	83	1	6	9	3
5	55	83	1	7	10	3
5	55	83	1	8	11	1
5	55	83	1	9	12	2
5	55	83	1	12	16	1
5	55	83	1	13	17	2
6	24	32	1	1	1	2
6	24	32	1	2	2	2
6	24	32	1	5	6	1
6	24	32	1	6	9	1
6	24	32	1	7	10	3
6	24	32	1	10	13	2
7	25	33	1	4	5	2
7	25	33	1	5	6	2
7	25	33	1	6	9	2
7	25	33	1	7	10	3
7	25	33	1	9	12	2
7	25	33	1	14	18	1
7	25	33	1	15	19	1
7	25	33	1	22	28	3
7	25	33	1	23	29	3
7	25	33	1	25	31	3
7	26	34	0	1	1	3
7	26	34	0	6	9	1
7	26	34	0	7	10	1
7	26	34	0	9	12	2
7	26	34	0	10	13	3
7	26	34	0	22	28	3
7	26	34	0	23	29	3
7	26	34	0	25	31	2
7	26	35	0	1	1	3
7	26	35	0	6	9	1
7	26	35	0	7	10	1
7	26	35	0	9	12	2
7	26	35	0	10	13	3
7	26	35	0	22	28	3
7	26	35	0	23	29	3
7	26	35	0	25	31	2
7	27	36	0	1	1	3
7	27	36	0	6	9	1
7	27	36	0	7	10	1
7	27	36	0	10	13	2
7	27	36	0	22	28	3
7	27	36	0	23	29	3
7	27	36	0	25	31	3
7	27	37	0	1	1	3
7	27	37	0	6	9	1
7	27	37	0	7	10	1
7	27	37	0	8	11	1
7	27	37	0	9	12	2
7	27	37	0	11	14	2
7	27	37	0	12	16	1
7	27	37	0	14	18	3
7	27	37	0	22	28	3
7	27	37	0	23	29	3
7	27	37	0	24	30	3
7	27	37	0	25	31	3
7	27	38	0	1	1	3
7	27	38	0	6	9	1
7	27	38	0	7	10	1
7	27	38	0	10	13	2
7	27	38	0	22	28	3
7	27	38	0	23	29	3
7	27	38	0	25	31	3
7	27	39	0	1	1	3
7	27	39	0	6	9	1
7	27	39	0	7	10	1
7	27	39	0	9	12	2
7	27	39	0	10	13	3
7	27	39	0	22	28	3
7	27	39	0	23	29	3
7	27	39	0	25	31	2
7	28	40	0	1	1	3
7	28	40	0	6	9	1
7	28	40	0	7	10	1
7	28	40	0	8	11	2
7	28	40	0	9	12	2
7	28	40	0	11	14	2
7	28	40	0	12	16	1
7	28	40	0	14	18	3
7	28	40	0	22	28	3
7	28	40	0	23	29	3
7	28	40	0	24	30	3
7	28	40	0	25	31	3
7	28	41	0	6	9	2
7	28	41	0	7	10	2
7	28	41	0	8	11	2
7	28	41	0	9	12	1
7	28	41	0	11	14	2
7	28	41	0	12	16	1
7	28	41	0	14	18	3
7	28	41	0	22	28	3
7	28	41	0	23	29	3
7	28	41	0	24	30	3
7	28	41	0	25	31	3
7	29	42	0	1	1	3
7	29	42	0	6	9	2
7	29	42	0	7	10	3
7	29	42	0	9	12	3
7	29	42	0	10	13	2
7	29	42	0	12	16	3
7	29	42	0	22	28	3
7	29	42	0	23	29	3
7	29	42	0	25	31	3
7	29	43	0	1	1	3
7	29	43	0	7	10	2
7	29	43	0	8	11	2
7	29	43	0	9	12	1
7	29	43	0	12	16	1
7	29	43	0	14	18	3
7	29	43	0	22	28	3
7	29	43	0	23	29	3
7	29	43	0	24	30	3
7	29	43	0	25	31	3
7	29	44	0	4	5	2
7	29	44	0	8	11	2
7	29	44	0	9	12	1
7	29	44	0	12	16	1
7	29	44	0	14	18	2
7	29	44	0	15	19	1
7	29	44	0	16	20	2
7	29	44	0	24	30	3
7	29	44	0	25	31	3
7	29	45	0	4	5	1
7	29	45	0	9	12	2
7	29	45	0	12	16	1
7	29	45	0	13	17	2
7	29	45	0	14	18	1
7	29	45	0	15	19	1
7	29	45	0	16	20	1
7	30	46	0	6	9	2
7	30	46	0	7	10	1
7	30	46	0	8	11	3
7	30	46	0	9	12	3
7	30	46	0	10	13	3
7	30	46	0	14	18	3
7	30	46	0	22	28	3
7	30	46	0	23	29	3
7	30	46	0	24	30	3
7	30	46	0	25	31	3
7	30	47	0	1	1	3
7	30	47	0	6	9	2
7	30	47	0	7	10	1
7	30	47	0	8	11	2
7	30	47	0	9	12	1
7	30	47	0	12	16	1
7	30	47	0	14	18	2
7	30	47	0	15	19	3
7	30	47	0	22	28	3
7	30	47	0	23	29	3
7	30	47	0	24	30	3
7	30	47	0	25	31	2
7	30	48	0	1	1	3
7	30	48	0	6	9	1
7	30	48	0	7	10	1
7	30	48	0	9	12	2
7	30	48	0	10	13	3
7	30	48	0	22	28	3
7	30	48	0	23	29	3
7	30	48	0	25	31	2
7	30	49	0	1	1	3
7	30	49	0	6	9	2
7	30	49	0	7	10	1
7	30	49	0	8	11	2
7	30	49	0	9	12	1
7	30	49	0	12	16	1
7	30	49	0	14	18	2
7	30	49	0	15	19	3
7	30	49	0	22	28	3
7	30	49	0	23	29	3
7	30	49	0	24	30	3
7	30	49	0	25	31	2
7	60	88	1	6	9	1
7	60	88	1	7	10	1
7	60	88	1	10	13	2
7	46	74	1	1	1	3
7	46	74	1	6	9	3
7	46	74	1	7	10	1
7	46	74	1	8	11	2
7	46	74	1	9	12	1
7	46	74	1	11	14	2
7	46	74	1	12	16	1
7	46	74	1	14	18	2
7	46	74	1	15	19	3
7	46	74	1	22	28	3
7	46	74	1	23	29	2
7	46	74	1	24	30	3
7	46	74	1	25	31	3
7	47	75	1	7	10	3
7	47	75	1	8	11	1
7	47	75	1	9	12	1
7	47	75	1	12	16	1
7	47	75	1	14	18	1
7	47	75	1	23	29	3
7	61	89	1	8	11	1
7	61	89	1	9	12	2
7	61	89	1	12	16	1
7	61	89	1	14	18	2
7	48	76	1	6	9	3
7	48	76	1	7	10	1
7	48	76	1	8	11	3
7	48	76	1	9	12	2
7	48	76	1	10	13	3
7	48	76	1	12	16	5
7	48	76	1	14	18	2
7	48	76	1	23	29	2
7	48	76	1	24	30	3
7	48	76	1	25	31	2
7	58	86	1	6	9	3
7	58	86	1	7	10	1
7	58	86	1	8	11	3
7	58	86	1	9	12	1
7	58	86	1	12	16	1
7	58	86	1	14	18	3
7	58	86	1	15	19	3
7	58	86	1	22	28	3
7	58	86	1	23	29	2
7	58	86	1	24	30	3
7	58	86	1	25	31	3
7	59	87	1	1	1	3
7	59	87	1	6	9	3
7	59	87	1	7	10	1
7	59	87	1	8	11	2
7	59	87	1	9	12	1
7	59	87	1	12	16	1
7	59	87	1	14	18	3
7	59	87	1	15	19	2
7	59	87	1	23	29	2
7	59	87	1	24	30	3
7	59	87	1	25	31	3
8	31	50	0	1	1	2
8	31	50	0	6	9	2
8	31	50	0	7	10	3
8	31	50	0	8	11	2
8	31	50	0	9	12	3
8	31	50	0	12	16	3
8	31	50	0	14	18	3
8	31	50	0	22	28	3
8	31	50	0	24	30	3
8	31	50	0	25	31	3
8	31	51	0	1	1	2
8	31	51	0	6	9	2
8	31	51	0	7	10	3
8	31	51	0	8	11	2
8	31	51	0	9	12	1
8	31	51	0	12	16	1
8	31	51	0	14	18	1
8	31	51	0	22	28	3
8	31	51	0	24	30	3
8	31	51	0	25	31	3
8	31	52	0	1	1	2
8	31	52	0	6	9	2
8	31	52	0	7	10	2
8	31	52	0	8	11	3
8	31	52	0	9	12	1
8	31	52	0	12	16	3
8	31	52	0	14	18	1
8	31	52	0	22	28	3
8	31	52	0	23	29	3
8	31	52	0	24	30	3
8	31	52	0	25	31	2
8	31	53	0	1	1	2
8	31	53	0	6	9	2
8	31	53	0	7	10	3
8	31	53	0	8	11	2
8	31	53	0	9	12	3
8	31	53	0	12	16	1
8	31	53	0	22	28	3
8	31	53	0	24	30	3
8	32	54	1	1	1	2
8	32	54	1	6	9	1
8	32	54	1	7	10	3
8	32	54	1	8	11	3
8	32	54	1	9	12	2
8	32	54	1	12	16	1
8	32	54	1	22	28	3
8	32	54	1	24	30	3
8	33	55	1	1	1	3
8	33	55	1	6	9	2
8	33	55	1	7	10	3
8	33	55	1	8	11	2
8	33	55	1	9	12	1
8	33	55	1	12	16	3
8	33	55	1	17	21	2
8	33	55	1	22	28	3
8	33	55	1	24	30	3
8	33	55	1	25	31	2
8	34	56	1	6	9	3
8	34	56	1	8	11	1
8	34	56	1	9	12	3
8	34	56	1	12	16	1
8	34	56	1	17	21	1
8	34	56	1	24	30	3
8	35	57	1	1	1	3
8	35	57	1	6	9	2
8	35	57	1	7	10	3
8	35	57	1	8	11	1
8	35	57	1	9	12	3
8	35	57	1	12	16	2
8	35	57	1	14	18	3
8	35	57	1	22	28	2
8	35	57	1	23	29	3
8	35	57	1	24	30	3
8	35	57	1	25	31	3
8	49	77	1	1	1	3
8	49	77	1	6	9	3
8	49	77	1	7	10	3
8	49	77	1	8	11	3
8	49	77	1	9	12	4
8	49	77	1	12	16	1
8	49	77	1	13	17	1
8	49	77	1	14	18	3
8	49	77	1	15	19	2
8	49	77	1	22	28	3
8	49	77	1	24	30	3
8	49	77	1	25	31	3
8	50	78	1	1	1	3
8	50	78	1	6	9	3
8	50	78	1	7	10	3
8	50	78	1	8	11	2
8	50	78	1	9	12	3
8	50	78	1	12	16	1
8	50	78	1	14	18	3
8	50	78	1	22	28	3
8	50	78	1	24	30	3
8	50	78	1	25	31	3
8	51	79	1	1	1	3
8	51	79	1	6	9	2
8	51	79	1	7	10	3
8	51	79	1	8	11	1
8	51	79	1	9	12	2
8	51	79	1	12	16	1
8	51	79	1	14	18	1
8	51	79	1	22	28	3
8	51	79	1	23	29	3
8	51	79	1	24	30	3
9	36	58	1	1	1	2
9	36	58	1	2	2	2
9	36	58	1	12	16	2
9	36	58	1	22	28	3
9	36	58	1	23	29	3
9	36	58	1	24	30	3
10	37	59	1	1	1	2
10	37	59	1	6	9	1
10	37	59	1	7	10	4
10	37	59	1	10	13	1
10	38	60	1	1	1	2
10	38	60	1	6	9	1
10	38	60	1	7	10	4
10	38	60	1	8	11	4
10	38	60	1	9	12	4
10	38	60	1	10	13	1
10	38	60	1	13	17	2
10	39	61	1	1	1	2
10	39	61	1	6	9	1
10	39	61	1	7	10	4
10	39	61	1	8	11	2
10	39	61	1	9	12	3
10	39	61	1	10	13	1
10	39	61	1	12	16	3
10	39	62	1	1	1	2
10	39	62	1	6	9	1
10	39	62	1	7	10	4
10	39	62	1	8	11	2
10	39	62	1	9	12	3
10	39	62	1	10	13	1
10	39	62	1	12	16	3
10	40	63	1	1	1	3
10	40	63	1	5	6	2
10	40	63	1	6	9	1
10	40	63	1	7	10	4
10	40	63	1	10	13	2
10	41	64	1	1	1	3
10	41	64	1	6	9	1
10	41	64	1	7	10	4
10	41	64	1	8	11	2
10	41	64	1	9	12	3
10	41	64	1	10	13	1
10	41	64	1	12	16	3
10	41	64	1	13	17	2
10	42	65	1	1	1	3
10	42	65	1	6	9	1
10	42	65	1	7	10	4
10	42	65	1	8	11	3
10	42	65	1	9	12	4
10	42	65	1	10	13	1
10	42	65	1	12	16	2
10	43	66	0	7	10	3
10	43	66	0	8	11	3
10	43	66	0	9	12	2
10	43	66	0	12	16	1
10	43	66	0	14	18	1
10	43	66	0	15	19	1
10	43	66	0	16	20	2
10	43	67	0	6	9	2
10	43	67	0	7	10	2
10	43	67	0	8	11	1
10	43	67	0	9	12	1
10	43	67	0	10	13	2
10	43	67	0	12	16	1
10	43	67	0	13	17	1
10	43	67	0	14	18	2
10	43	67	0	15	19	3
10	43	68	0	6	9	2
10	43	68	0	7	10	2
10	43	68	0	8	11	1
10	43	68	0	9	12	2
10	43	68	0	10	13	2
10	43	68	0	12	16	1
10	43	68	0	13	17	1
10	43	69	0	6	9	2
10	43	69	0	7	10	2
10	43	69	0	8	11	1
10	43	69	0	9	12	2
10	43	69	0	10	13	2
10	43	69	0	12	16	1
10	43	69	0	13	17	1
10	43	69	0	14	18	3
10	43	70	0	6	9	2
10	43	70	0	8	11	2
10	43	70	0	9	12	2
10	43	70	0	10	13	2
10	43	70	0	12	16	1
10	43	70	0	13	17	1
10	43	70	0	14	18	3
10	43	70	0	23	29	3
10	43	71	0	6	9	2
10	43	71	0	7	10	2
10	43	71	0	8	11	1
10	43	71	0	9	12	2
10	43	71	0	10	13	2
10	43	71	0	12	16	1
10	43	71	0	13	17	1
10	43	71	0	14	18	3
10	44	72	1	1	1	3
10	44	72	1	6	9	2
10	44	72	1	9	12	1
10	44	72	1	10	13	2
10	44	72	1	12	16	2
10	44	72	1	14	18	1
10	44	72	1	15	19	1
10	52	80	1	1	1	3
10	52	80	1	6	9	1
10	52	80	1	7	10	4
10	52	80	1	9	12	4
10	52	80	1	10	13	1
10	52	80	1	12	16	2
10	53	81	1	6	9	2
10	53	81	1	7	10	2
10	53	81	1	8	11	1
10	53	81	1	9	12	1
10	53	81	1	12	16	1
10	53	81	1	14	18	3
10	53	81	1	23	29	3
10	56	84	1	6	9	1
10	56	84	1	7	10	2
10	56	84	1	8	11	1
10	56	84	1	9	12	1
10	56	84	1	10	13	2
10	56	84	1	12	16	1
10	56	84	1	14	18	3
10	57	85	1	6	9	1
10	57	85	1	7	10	2
10	57	85	1	10	13	3
