Waterhuishouding,Druk,Milieudrukkengroep,Pnabijheid,WhhGroep,Compartiment,Standplaatsfactor,Vertegenwoordiger,Standplaatsfactor_Comp,Waterhuishouding_afk,MaxMilieudrukkengroep
Droog tot vochtig,Druk3.2,a,"Compartiment
met maximale
P-nabijheid",Droog tot vochtig,Bodem,Cl- (bodemvocht/neerslag),Nee,Bodem - Cl- (bodemvocht/neerslag),D,a
Droog tot vochtig,Druk3.2,a,"Compartiment
met maximale
P-nabijheid",Droog tot vochtig,Bodem,Ca2+ (geadsorbeerd / in neerslag / in bodemvocht),Nee,Bodem - Ca2+ (geadsorbeerd / in neerslag / in bodemvocht),D,a
Droog tot vochtig,Druk3.2,a,"Compartiment
met maximale
P-nabijheid",Droog tot vochtig,Bodem,Mg2+ (geadsorbeerd / in neerslag / in bodemvocht),Nee,Bodem - Mg2+ (geadsorbeerd / in neerslag / in bodemvocht),D,a
Droog tot vochtig,Druk3.2,a,"Compartiment
met maximale
P-nabijheid",Droog tot vochtig,Bodem,K+ (geadsorbeerd /bodemvocht),Nee,Bodem - K+ (geadsorbeerd /bodemvocht),D,a
Droog tot vochtig,Druk4.1,a,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,SOx,Ja,Atmosfeer - SOx,D,a
Droog tot vochtig,Druk4.1,a,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NHy,Ja,Atmosfeer - NHy,D,a
Droog tot vochtig,Druk4.1,a,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NOx,Ja,Atmosfeer - NOx,D,a
Droog tot vochtig,Druk4.1,a,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,H+,Nee,Atmosfeer - H+,D,a
Droog tot vochtig,Druk4.1,a,"Compartiment
met lagere
P-nabijheid",Droog tot vochtig,Bodem,H+ (geadsorbeerd /bodemvocht),Ja,Bodem - H+ (geadsorbeerd /bodemvocht),D,a
Droog tot vochtig,Druk4.1,a,"Compartiment
met lagere
P-nabijheid",Droog tot vochtig,Bodem,alkaliniteit (bodemvocht),Ja,Bodem - alkaliniteit (bodemvocht),D,a
Droog tot vochtig,Druk4.1,a,"Compartiment
met lagere
P-nabijheid",Droog tot vochtig,Bodem,N,Nee,Bodem - N,D,a
Droog tot vochtig,Druk8.1,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,organische polluenten (en pesticiden) + zware metalen,Ja,Atmosfeer - organische polluenten (en pesticiden) + zware metalen,D,c
Droog tot vochtig,Druk8.1,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,O3,Ja,Atmosfeer - O3,D,c
Droog tot vochtig,Druk8.1,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,CO2,Ja,Atmosfeer - CO2,D,c
Droog tot vochtig,Druk8.1,c,"Compartiment
met lagere
P-nabijheid",Droog tot vochtig,Bodem,polluenten (milieuvreemde): zware metalen & organische,Ja,Bodem - polluenten (milieuvreemde): zware metalen & organische,D,c
Droog tot vochtig,Druk8.2,c,"Compartiment
met maximale
P-nabijheid",Droog tot vochtig,Bodem,polluenten (milieuvreemde): zware metalen & organische,Ja,Bodem - polluenten (milieuvreemde): zware metalen & organische,D,c
Tijdelijk tot permanent nat,Druk101,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,luchtvochtigheid (relatieve),Ja,Atmosfeer - luchtvochtigheid (relatieve),N,b
Tijdelijk tot permanent nat,Druk101,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,temperatuur,Ja,Atmosfeer - temperatuur,N,b
Tijdelijk tot permanent nat,Druk101,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,neerslag,Ja,Atmosfeer - neerslag,N,b
Tijdelijk tot permanent nat,Druk101,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,CO2,Nee,Atmosfeer - CO2,N,b
Tijdelijk tot permanent nat,Druk101,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,wind,Nee,Atmosfeer - wind,N,b
Tijdelijk tot permanent nat,Druk101,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,vorst,Nee,Atmosfeer - vorst,N,b
Tijdelijk tot permanent nat,Druk101,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Bodem,H2O,Ja,Bodem - H2O,N,b
Tijdelijk tot permanent nat,Druk101,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Bodem,temperatuur,Nee,Bodem - temperatuur,N,b
Tijdelijk tot permanent nat,Druk101,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,waterpeil,Ja,Inundatiewater - waterpeil,N,c
Tijdelijk tot permanent nat,Druk101,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,vorst,Nee,Inundatiewater - vorst,N,c
Tijdelijk tot permanent nat,Druk101,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,temperatuur,Nee,Inundatiewater - temperatuur,N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,temperatuur,Ja,Atmosfeer - temperatuur,N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,luchtvochtigheid (relatieve),Ja,Atmosfeer - luchtvochtigheid (relatieve),N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,neerslag,Ja,Atmosfeer - neerslag,N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,CO2,Nee,Atmosfeer - CO2,N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,vorst,Nee,Atmosfeer - vorst,N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,wind,Nee,Atmosfeer - wind,N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Bodem,H2O,Ja,Bodem - H2O,N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Bodem,temperatuur,Nee,Bodem - temperatuur,N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,waterpeil,Ja,Inundatiewater - waterpeil,N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,temperatuur,Nee,Inundatiewater - temperatuur,N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,stroming water / golfslag,Nee,Inundatiewater - stroming water / golfslag,N,c
Tijdelijk tot permanent nat,Druk102,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,vorst,Nee,Inundatiewater - vorst,N,c
Tijdelijk tot permanent nat,Druk103,d,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,Cl-,Ja,Grondwater - Cl-,N,d
Tijdelijk tot permanent nat,Druk103,d,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,Na+,Ja,Grondwater - Na+,N,d
Tijdelijk tot permanent nat,Druk103,d,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,P,Nee,Grondwater - P,N,d
Tijdelijk tot permanent nat,Druk103,d,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,SO42-,Nee,Grondwater - SO42-,N,d
Tijdelijk tot permanent nat,Druk103,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,waterpeil,Ja,Inundatiewater - waterpeil,N,d
Tijdelijk tot permanent nat,Druk103,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,Cl-,Nee,Inundatiewater - Cl-,N,d
Tijdelijk tot permanent nat,Druk103,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,SO42-,Nee,Inundatiewater - SO42-,N,d
Tijdelijk tot permanent nat,Druk103,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,Na+,Nee,Inundatiewater - Na+,N,d
Tijdelijk tot permanent nat,Druk103,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,stroming water / golfslag,Nee,Inundatiewater - stroming water / golfslag,N,d
Tijdelijk tot permanent nat,Druk12,c,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Bodem,fysische stabiliteit van de bodem,Ja,Bodem - fysische stabiliteit van de bodem,N,c
Tijdelijk tot permanent nat,Druk12,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,turbiditeit,Ja,Inundatiewater - turbiditeit,N,c
Tijdelijk tot permanent nat,Druk13,d,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Bodem,fysische stabiliteit van de bodem,Ja,Bodem - fysische stabiliteit van de bodem,N,b
Tijdelijk tot permanent nat,Druk13,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,turbiditeit,Ja,Inundatiewater - turbiditeit,N,d
Tijdelijk tot permanent nat,Druk3.1,a,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NOx,Ja,Atmosfeer - NOx,N,a
Tijdelijk tot permanent nat,Druk3.1,a,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NHy,Ja,Atmosfeer - NHy,N,a
Tijdelijk tot permanent nat,Druk3.1,a,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Bodem,N,Ja,Bodem - N,N,a
Tijdelijk tot permanent nat,Druk3.1,a,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,N,Ja,Inundatiewater - N,N,a
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Bodem,P,Ja,Bodem - P,N,a
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Bodem,N,Ja,Bodem - N,N,a
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Bodem,Mg2+ (geadsorbeerd / in neerslag / in bodemvocht),Nee,Bodem - Mg2+ (geadsorbeerd / in neerslag / in bodemvocht),N,a
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Bodem,Cl- (bodemvocht/neerslag),Nee,Bodem - Cl- (bodemvocht/neerslag),N,a
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Bodem,Ca2+ (geadsorbeerd / in neerslag / in bodemvocht),Nee,Bodem - Ca2+ (geadsorbeerd / in neerslag / in bodemvocht),N,a
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Bodem,K+ (geadsorbeerd /bodemvocht),Nee,Bodem - K+ (geadsorbeerd /bodemvocht),N,a
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Bodem,Na+ (geadsorbeerd / in neerslag / in bodemvocht),Nee,Bodem - Na+ (geadsorbeerd / in neerslag / in bodemvocht),N,a
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,P,Ja,Grondwater - P,N,b
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,N,Ja,Grondwater - N,N,b
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,K+,Nee,Grondwater - K+,N,b
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,Na+,Nee,Grondwater - Na+,N,b
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,Mg2+,Nee,Grondwater - Mg2+,N,b
Tijdelijk tot permanent nat,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,Ca2+,Nee,Grondwater - Ca2+,N,b
Tijdelijk tot permanent nat,Druk3.3,b,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,N,Ja,Grondwater - N,N,a
Tijdelijk tot permanent nat,Druk3.3,b,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,P,Ja,Grondwater - P,N,a
Tijdelijk tot permanent nat,Druk3.3,b,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Ca2+,Nee,Grondwater - Ca2+,N,a
Tijdelijk tot permanent nat,Druk3.3,b,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Na+,Nee,Grondwater - Na+,N,a
Tijdelijk tot permanent nat,Druk3.3,b,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,K+,Nee,Grondwater - K+,N,a
Tijdelijk tot permanent nat,Druk3.3,b,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Mg2+,Nee,Grondwater - Mg2+,N,a
Tijdelijk tot permanent nat,Druk3.4,a,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,N,Ja,Inundatiewater - N,N,a
Tijdelijk tot permanent nat,Druk3.4,a,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,P,Ja,Inundatiewater - P,N,a
Tijdelijk tot permanent nat,Druk3.4,a,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,K+,Nee,Inundatiewater - K+,N,a
Tijdelijk tot permanent nat,Druk3.4,a,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,Na+,Nee,Inundatiewater - Na+,N,a
Tijdelijk tot permanent nat,Druk3.4,a,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,Ca2+,Nee,Inundatiewater - Ca2+,N,a
Tijdelijk tot permanent nat,Druk3.4,a,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,Mg2+,Nee,Inundatiewater - Mg2+,N,a
Tijdelijk tot permanent nat,Druk4.1,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,SOx,Ja,Atmosfeer - SOx,N,a
Tijdelijk tot permanent nat,Druk4.1,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NHy,Ja,Atmosfeer - NHy,N,a
Tijdelijk tot permanent nat,Druk4.1,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NOx,Ja,Atmosfeer - NOx,N,a
Tijdelijk tot permanent nat,Druk4.1,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,H+,Nee,Atmosfeer - H+,N,a
Tijdelijk tot permanent nat,Druk4.1,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Bodem,alkaliniteit (bodemvocht),Ja,Bodem - alkaliniteit (bodemvocht),N,a
Tijdelijk tot permanent nat,Druk4.1,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Bodem,H+ (geadsorbeerd /bodemvocht),Ja,Bodem - H+ (geadsorbeerd /bodemvocht),N,a
Tijdelijk tot permanent nat,Druk4.1,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Bodem,N,Nee,Bodem - N,N,a
Tijdelijk tot permanent nat,Druk4.1,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,H+,Ja,Inundatiewater - H+,N,c
Tijdelijk tot permanent nat,Druk4.1,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,alkaliniteit,Ja,Inundatiewater - alkaliniteit,N,c
Tijdelijk tot permanent nat,Druk4.1,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,N,Nee,Inundatiewater - N,N,c
Tijdelijk tot permanent nat,Druk4.1,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,SO42-,Nee,Inundatiewater - SO42-,N,c
Tijdelijk tot permanent nat,Druk4.2,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,alkaliniteit,Ja,Grondwater - alkaliniteit,N,c
Tijdelijk tot permanent nat,Druk4.2,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,H+,Ja,Grondwater - H+,N,c
Tijdelijk tot permanent nat,Druk4.2,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Mg2+,Nee,Grondwater - Mg2+,N,c
Tijdelijk tot permanent nat,Druk4.2,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Ca2+,Nee,Grondwater - Ca2+,N,c
Tijdelijk tot permanent nat,Druk4.2,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,K+,Nee,Grondwater - K+,N,c
Tijdelijk tot permanent nat,Druk4.2,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,HCO3-,Nee,Grondwater - HCO3-,N,c
Tijdelijk tot permanent nat,Druk4.2,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Na+,Nee,Grondwater - Na+,N,c
Tijdelijk tot permanent nat,Druk5.1,a,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,"waterpeil (ook waterregime bv. GxG, Pxx duurlijn, amplitude,?)",Ja,"Grondwater - waterpeil (ook waterregime bv. GxG, Pxx duurlijn, amplitude,?)",N,a
Tijdelijk tot permanent nat,Druk5.2,c,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,"waterpeil (ook waterregime bv. GxG, Pxx duurlijn, amplitude,?)",Ja,"Grondwater - waterpeil (ook waterregime bv. GxG, Pxx duurlijn, amplitude,?)",N,c
Tijdelijk tot permanent nat,Druk61,b,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,dikte afgezet sediment,Ja,Inundatiewater - dikte afgezet sediment,N,b
Tijdelijk tot permanent nat,Druk61,b,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,waterpeil,Ja,Inundatiewater - waterpeil,N,b
Tijdelijk tot permanent nat,Druk62,b,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,waterpeil,Ja,Inundatiewater - waterpeil,N,b
Tijdelijk tot permanent nat,Druk62,b,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,dikte afgezet sediment,Ja,Inundatiewater - dikte afgezet sediment,N,b
Tijdelijk tot permanent nat,Druk63,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,waterpeil,Ja,Inundatiewater - waterpeil,N,d
Tijdelijk tot permanent nat,Druk63,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,stroming water / golfslag,Ja,Inundatiewater - stroming water / golfslag,N,d
Tijdelijk tot permanent nat,Druk64,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,waterpeil,Ja,Inundatiewater - waterpeil,N,d
Tijdelijk tot permanent nat,Druk64,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,stroming water / golfslag,Ja,Inundatiewater - stroming water / golfslag,N,d
Tijdelijk tot permanent nat,Druk65,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,stroming water / golfslag,Ja,Inundatiewater - stroming water / golfslag,N,d
Tijdelijk tot permanent nat,Druk65,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,vorst,Nee,Inundatiewater - vorst,N,d
Tijdelijk tot permanent nat,Druk65,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,turbiditeit,Nee,Inundatiewater - turbiditeit,N,d
Tijdelijk tot permanent nat,Druk65,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,licht (plantbeschikbaar / fotosynthetisch actieve straling),Nee,Inundatiewater - licht (plantbeschikbaar / fotosynthetisch actieve straling),N,d
Tijdelijk tot permanent nat,Druk66,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,stroming water / golfslag,Ja,Inundatiewater - stroming water / golfslag,N,d
Tijdelijk tot permanent nat,Druk66,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,licht (plantbeschikbaar / fotosynthetisch actieve straling),Nee,Inundatiewater - licht (plantbeschikbaar / fotosynthetisch actieve straling),N,d
Tijdelijk tot permanent nat,Druk66,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,vorst,Nee,Inundatiewater - vorst,N,d
Tijdelijk tot permanent nat,Druk66,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,turbiditeit,Nee,Inundatiewater - turbiditeit,N,d
Tijdelijk tot permanent nat,Druk7.1,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Cl-,Ja,Grondwater - Cl-,N,d
Tijdelijk tot permanent nat,Druk7.1,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Na+,Ja,Grondwater - Na+,N,d
Tijdelijk tot permanent nat,Druk7.1,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,SO42-,Nee,Grondwater - SO42-,N,d
Tijdelijk tot permanent nat,Druk7.2,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,Na+,Ja,Inundatiewater - Na+,N,d
Tijdelijk tot permanent nat,Druk7.2,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,Cl-,Ja,Inundatiewater - Cl-,N,d
Tijdelijk tot permanent nat,Druk7.2,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,SO42-,Nee,Inundatiewater - SO42-,N,d
Tijdelijk tot permanent nat,Druk8.1,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,organische polluenten (en pesticiden) + zware metalen,Ja,Atmosfeer - organische polluenten (en pesticiden) + zware metalen,N,c
Tijdelijk tot permanent nat,Druk8.1,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,O3,Ja,Atmosfeer - O3,N,c
Tijdelijk tot permanent nat,Druk8.1,c,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,CO2,Ja,Atmosfeer - CO2,N,c
Tijdelijk tot permanent nat,Druk8.1,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Bodem,polluenten (milieuvreemde): zware metalen & organische,Ja,Bodem - polluenten (milieuvreemde): zware metalen & organische,N,c
