"Typeklasse","Hoofdtype","Vegcode","HoofdLogical","Druk","Milieudruk","EffIndActie","Categorie_voorstel","Rang_voorstel","Categorie","Rang"
"Kust- en zilte habitats","1310","1310_zv",FALSE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk63","63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan","","H",1,"H",1
"Kust- en zilte habitats","1320","1320",TRUE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","","H",2,"H",2
"Kust- en zilte habitats","1320","1320",TRUE,"Druk62","62 Afname overstromingsduur of -frequentie (incl. getijden)","","H",3,"H",3
"Kust- en zilte habitats","1320","1320",TRUE,"Druk65","65  Toename golfslagwerking","","H",4,"H",4
"Kust- en zilte habitats","1320","1320",TRUE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","","H",5,"H",5
"Kust- en zilte habitats","1320","1320",TRUE,"Druk61","61 Toename overstromingsduur of -frequentie (incl. getijden)","","M",5,"M",6
"Kust- en zilte habitats","1320","1320",TRUE,"Druk101","101 Klimaatverandering in droge perioden","","L",6,"L",7
"Kust- en zilte habitats","1320","1320",TRUE,"Druk102","102 Klimaatverandering in natte perioden","","L",6,"L",7
"Kust- en zilte habitats","1320","1320",TRUE,"Druk103","103 Klimaatverandering: zeespiegelstijging","","L",6,"L",7
"Kust- en zilte habitats","1320","1320",TRUE,"Druk15","15 Verlies van terrestrische connectiviteit","","L",6,"L",7
"Kust- en zilte habitats","1320","1320",TRUE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","","L",6,"L",7
"Kust- en zilte habitats","1320","1320",TRUE,"Druk7.2","7.2 Verzoeting via het oppervlaktewater (incl. overstromingswater)","","L",6,"L",7
"Kust- en zilte habitats","1320","1320",TRUE,"Druk3.1","3.1 Eutrofiëring via de lucht","","L",7,"L",8
"Kust- en zilte habitats","1320","1320",TRUE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk14","14 Verlies van aquatische connectiviteit","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk3.2","3.2 Eutrofiëring via de bodem","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk3.3","3.3 Eutrofiëring via het grondwater","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk4.3","4.3 Verzuring via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk5.1","5.1 Verdroging via het grondwater","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk5.2","5.2 Vernatting via het grondwater","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk64","64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk66","66  Afname golfslagwerking","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk7.1","7.1 Verzoeting via het grondwater","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk8.1","8.1 Verontreiniging via de lucht","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk8.2","8.2 Verontreiniging via de bodem","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk8.3","8.3 Verontreiniging via het grondwater","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk9.3","9.3 Beweging en andere visuele verstoring","",,,"S",
"Kust- en zilte habitats","1320","1320",TRUE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk63","63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan","","H",1,"H",1
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","","H",2,"H",2
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk62","62 Afname overstromingsduur of -frequentie (incl. getijden)","","H",3,"H",3
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","","H",4,"H",4
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk65","65  Toename golfslagwerking","","M",5,"M",5
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk61","61 Toename overstromingsduur of -frequentie (incl. getijden)","","M",6,"M",6
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk101","101 Klimaatverandering in droge perioden","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk102","102 Klimaatverandering in natte perioden","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk103","103 Klimaatverandering: zeespiegelstijging","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk15","15 Verlies van terrestrische connectiviteit","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk5.1","5.1 Verdroging via het grondwater","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk7.2","7.2 Verzoeting via het oppervlaktewater (incl. overstromingswater)","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk3.1","3.1 Eutrofiëring via de lucht","","L",8,"L",8
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk5.2","5.2 Vernatting via het grondwater","","L",8,"L",8
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk14","14 Verlies van aquatische connectiviteit","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk3.2","3.2 Eutrofiëring via de bodem","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk3.3","3.3 Eutrofiëring via het grondwater","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk4.3","4.3 Verzuring via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk64","64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk66","66  Afname golfslagwerking","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk7.1","7.1 Verzoeting via het grondwater","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk8.1","8.1 Verontreiniging via de lucht","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk8.2","8.2 Verontreiniging via de bodem","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk8.3","8.3 Verontreiniging via het grondwater","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk9.3","9.3 Beweging en andere visuele verstoring","",,,"S",
"Kust- en zilte habitats","1330","1330_da",FALSE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","","H",1,"H",1
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk5.1","5.1 Verdroging via het grondwater","","H",2,"H",2
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk7.2","7.2 Verzoeting via het oppervlaktewater (incl. overstromingswater)","","H",2,"H",2
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk7.1","7.1 Verzoeting via het grondwater","","H",3,"H",3
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk62","62 Afname overstromingsduur of -frequentie (incl. getijden)","","H",4,"H",4
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk101","101 Klimaatverandering in droge perioden","","M",5,"M",5
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","","M",5,"M",5
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk5.2","5.2 Vernatting via het grondwater","","M",5,"M",5
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk61","61 Toename overstromingsduur of -frequentie (incl. getijden)","","M",5,"M",5
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk15","15 Verlies van terrestrische connectiviteit","","M",6,"M",6
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk3.2","3.2 Eutrofiëring via de bodem","","M",6,"M",6
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk102","102 Klimaatverandering in natte perioden","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk14","14 Verlies van aquatische connectiviteit","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk3.1","3.1 Eutrofiëring via de lucht","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk8.2","8.2 Verontreiniging via de bodem","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk8.3","8.3 Verontreiniging via het grondwater","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","","L",7,"L",7
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk3.3","3.3 Eutrofiëring via het grondwater","","L",8,"L",8
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk4.2","4.2 Verzuring via het grondwater","",,,"S",
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk4.3","4.3 Verzuring via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk8.1","8.1 Verontreiniging via de lucht","",,,"S",
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk9.3","9.3 Beweging en andere visuele verstoring","",,,"S",
"Kust- en zilte habitats","1330","1330_hpr",FALSE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Kustduinen","2110","2110",TRUE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","","H",1,"H",1
"Kustduinen","2110","2110",TRUE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","","H",2,"H",2
"Kustduinen","2110","2110",TRUE,"Druk103","103 Klimaatverandering: zeespiegelstijging","","M",3,"M",3
"Kustduinen","2110","2110",TRUE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk14","14 Verlies van aquatische connectiviteit","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk15","15 Verlies van terrestrische connectiviteit","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk3.1","3.1 Eutrofiëring via de lucht","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk3.2","3.2 Eutrofiëring via de bodem","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk3.3","3.3 Eutrofiëring via het grondwater","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk5.2","5.2 Vernatting via het grondwater","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk61","61 Toename overstromingsduur of -frequentie (incl. getijden)","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk62","62 Afname overstromingsduur of -frequentie (incl. getijden)","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk63","63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk64","64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk65","65  Toename golfslagwerking","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk66","66  Afname golfslagwerking","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk7.1","7.1 Verzoeting via het grondwater","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk7.2","7.2 Verzoeting via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk8.1","8.1 Verontreiniging via de lucht","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk8.2","8.2 Verontreiniging via de bodem","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk8.3","8.3 Verontreiniging via het grondwater","",,,"S",
"Kustduinen","2110","2110",TRUE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","",,,"S",
