Vegcode	Volledige.naam	Verkorte.naam
9130_fm	Midden-Europese neutrofiel beukenbos dat voorkomt in het Continentaal gebied op kalkhoudende, rijke bodems met typische aanwezigheid van Eenbloemig parelgras en Lievevrouwebedstro (Parelgras-Beukenbos, Melico-Fagetum)	midden-Europese neutrofiel beukenbos
9150	Midden-Europese kalkminnende beukenbossen behorende tot het Cephalanthero-Fagion	kalkminnende beukenbossen
9160	Sub-Atlantische en Midden-Europese wintereikenbossen of eiken-haagbeukbossen behorend tot het Carpinion-betuli	eiken-haagbeukenbossen
9190	Oude zuurminnende eikenbossen op zandvlakten met Quercus robur	oude eikenbossen
91E0	Bossen op alluviale grond met Alnus glutinosa en Fraxinus excelsior (Alno-Padion,Alnion incanae, Salicion albae)	vochtige alluviale bossen
91E0_sf	wilgenvloedbos (zachthoutooibos; Salicetum albae)	wilgenvloedbos
91E0_va	beekbegeleidend vogelkers-essenbos en essen-iepenbos (Pruno-Fraxinetum)	beekbegeleidend bos
91E0_vc	goudveil-essenbos (Carici-Remotae fraxinetum)	goudveil-essenbos
91E0_vm	mesotroof broekbos op minder voedselrijke standplaatsen (Carici elongatae-Alnetum)	mesotroof broekbos
91E0_vn	ruigt-elzenbos (Filipendulo-Alnetum, Macrophorbio-Alnetum, Cirsio-Alnetum)	ruigt-elzenbos
91E0_vo	oligotroof broekbos, inclusief elzen-berkenbroekbos en berkenbroekbos (Carici laevigata-Alnetum)	oligotroof broekbos
91F0	Gemengde oeverformaties met Quercus robur, Ulmus laevis en Ulmus minor, Fraxinus excelsior of Fraxinus angustifolia, langs de grote rivieren (Ulmenion minoris)	droge hardhoutooibossen
rbbah	brak tot zilt water	brak tot zilt water
rbbha	soortenrijk struisgrasgrasland, indien niet vervat in habitattype 6230	soortenrijk struisgrasgrasland
rbbhc	dotterbloemgrasland	dotterbloemgrasland
rbbhf	moerasspirearuigte met graslandkenmerken (en daardoor niet behorend tot habitattype 6430)	moerasspirearuigte met graslandkenmerken
rbbhfl	natte ruigte met grote wederik en hennegras	natte ruigte, Kempisch type
rbbkam	soortenrijk kamgrasgrasland (valt onder soortenrijk permanent cultuurgrasland hp* en hpr*)	kamgrasgrasland
rbbmc	grote zeggenvegetatie	grote zeggenvegetatie
rbbmr	rietland en andere vegetaties van het rietverbond (indien niet vervat onder habitattype 6430)	rietland en andere Phragmition-vegetaties niet vervat in 6430
rbbms	kleine zeggenvegetaties niet vervat in overgangsveen (type 7140)	kleine zeggenvegetaties niet vervat in 7140
rbbppm	structuurrijke, oude bestanden van grove den	structuurrijke, oude bestanden van grove den
rbbsf	vochtig wilgenstruweel op voedselrijke bodem (indien niet vervat in habitattype 91E0)	vochtig wilgenstruweel op voedselrijke bodem niet vervat in 91E0
rbbsg	brem- en gaspeldoornstruweel (indien niet vervat in een habitattype)	brem- en gaspeldoornstruweel niet vervat in een habitattype
rbbsm	gagelstruweel (indien niet vervat in een habitattype)	gagelstruweel niet vervat in een habitattype
rbbso	vochtig wilgenstruweel op venige en zure grond	vochtig wilgenstruweel op venige of zure grond
rbbsp	doornstruweel	doornstruweel
rbbvos	soortenrijk grote vossenstaartgrasland (valt onder soortenrijk permanent cultuurgrasland hp* en hpr*), indien niet vervat in habitattype 6510	grote vossenstaartgrasland niet vervat in 6510
rbbzil	zilverschoongrasland zonder zilte elementen (valt onder soortenrijk permanent cultuurgrasland hp* en hpr*)	zilverschoongrasland zonder zilte elementen
