Comp_meetnet,Typeklasse,Vegcode,Waterhuishoudingsklasse_2,Standplaatsfactor,Compartiment
Atmosferisch meetnet,Binnenlandse duinen,2330_bu,Droog tot vochtig,NOx,Atmosfeer
Atmosferisch meetnet,Binnenlandse duinen,2330_bu,Droog tot vochtig,O3,Atmosfeer
Atmosferisch meetnet,Binnenlandse duinen,2330_bu,Droog tot vochtig,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,Binnenlandse duinen,2330_bu,Droog tot vochtig,SOx,Atmosfeer
Atmosferisch meetnet,Binnenlandse duinen,2330_dw,Droog tot vochtig,CO2,Atmosfeer
Atmosferisch meetnet,Binnenlandse duinen,2330_dw,Droog tot vochtig,NHy,Atmosfeer
Atmosferisch meetnet,Binnenlandse duinen,2330_dw,Droog tot vochtig,NOx,Atmosfeer
Atmosferisch meetnet,Binnenlandse duinen,2330_dw,Droog tot vochtig,O3,Atmosfeer
Atmosferisch meetnet,Binnenlandse duinen,2330_dw,Droog tot vochtig,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,Binnenlandse duinen,2330_dw,Droog tot vochtig,SOx,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3110,Oppervlaktewater,NHy,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3110,Oppervlaktewater,NOx,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3110,Oppervlaktewater,SOx,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3130_aom,Oppervlaktewater,NHy,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3130_aom,Oppervlaktewater,NOx,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3130_aom,Oppervlaktewater,SOx,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3130_na,Oppervlaktewater,NHy,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3130_na,Oppervlaktewater,NOx,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3130_na,Oppervlaktewater,SOx,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3140,Oppervlaktewater,NHy,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3140,Oppervlaktewater,NOx,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3150,Oppervlaktewater,CO2,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3150,Oppervlaktewater,NHy,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3150,Oppervlaktewater,NOx,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3150,Oppervlaktewater,O3,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3150,Oppervlaktewater,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3160,Oppervlaktewater,NHy,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3160,Oppervlaktewater,NOx,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3160,Oppervlaktewater,SOx,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3260,Oppervlaktewater,CO2,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3260,Oppervlaktewater,O3,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3260,Oppervlaktewater,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3270,Tijdelijk tot permanent nat,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3270,Tijdelijk tot permanent nat,neerslag,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,3270,Tijdelijk tot permanent nat,temperatuur,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,rbbah,Oppervlaktewater,NHy,Atmosfeer
Atmosferisch meetnet,Zoete en brakke wateren,rbbah,Oppervlaktewater,NOx,Atmosfeer
Atmosferisch meetnet,Heiden,4010,Tijdelijk tot permanent nat,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,Heiden,4010,Tijdelijk tot permanent nat,neerslag,Atmosfeer
Atmosferisch meetnet,Heiden,4010,Tijdelijk tot permanent nat,NHy,Atmosfeer
Atmosferisch meetnet,Heiden,4010,Tijdelijk tot permanent nat,NOx,Atmosfeer
Atmosferisch meetnet,Heiden,4010,Tijdelijk tot permanent nat,SOx,Atmosfeer
Atmosferisch meetnet,Heiden,4010,Tijdelijk tot permanent nat,temperatuur,Atmosfeer
Atmosferisch meetnet,Heiden,4030,Droog tot vochtig,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,Heiden,4030,Droog tot vochtig,neerslag,Atmosfeer
Atmosferisch meetnet,Heiden,4030,Droog tot vochtig,NHy,Atmosfeer
Atmosferisch meetnet,Heiden,4030,Droog tot vochtig,NOx,Atmosfeer
Atmosferisch meetnet,Heiden,4030,Droog tot vochtig,SOx,Atmosfeer
Atmosferisch meetnet,Heiden,4030,Droog tot vochtig,temperatuur,Atmosfeer
Atmosferisch meetnet,Heiden,rbbsg,Droog tot vochtig,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,Heiden,rbbsg,Droog tot vochtig,neerslag,Atmosfeer
Atmosferisch meetnet,Heiden,rbbsg,Droog tot vochtig,NHy,Atmosfeer
Atmosferisch meetnet,Heiden,rbbsg,Droog tot vochtig,NOx,Atmosfeer
Atmosferisch meetnet,Heiden,rbbsg,Droog tot vochtig,SOx,Atmosfeer
Atmosferisch meetnet,Heiden,rbbsg,Droog tot vochtig,temperatuur,Atmosfeer
Atmosferisch meetnet,Heiden,rbbsm,Tijdelijk tot permanent nat,NHy,Atmosfeer
Atmosferisch meetnet,Heiden,rbbsm,Tijdelijk tot permanent nat,NOx,Atmosfeer
Atmosferisch meetnet,Thermofiel struikgewas,5130,Droog tot vochtig,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,Thermofiel struikgewas,5130,Droog tot vochtig,neerslag,Atmosfeer
Atmosferisch meetnet,Thermofiel struikgewas,5130,Droog tot vochtig,NHy,Atmosfeer
Atmosferisch meetnet,Thermofiel struikgewas,5130,Droog tot vochtig,NOx,Atmosfeer
Atmosferisch meetnet,Thermofiel struikgewas,5130,Droog tot vochtig,SOx,Atmosfeer
Atmosferisch meetnet,Thermofiel struikgewas,5130,Droog tot vochtig,temperatuur,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6120,Tijdelijk tot permanent nat,CO2,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6120,Tijdelijk tot permanent nat,NHy,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6120,Tijdelijk tot permanent nat,NOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6120,Tijdelijk tot permanent nat,O3,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6120,Tijdelijk tot permanent nat,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_hk,Droog tot vochtig,CO2,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_hk,Droog tot vochtig,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_hk,Droog tot vochtig,neerslag,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_hk,Droog tot vochtig,NHy,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_hk,Droog tot vochtig,NOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_hk,Droog tot vochtig,O3,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_hk,Droog tot vochtig,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_hk,Droog tot vochtig,SOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_hk,Droog tot vochtig,temperatuur,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_sk,Droog tot vochtig,CO2,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_sk,Droog tot vochtig,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_sk,Droog tot vochtig,neerslag,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_sk,Droog tot vochtig,NHy,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_sk,Droog tot vochtig,NOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_sk,Droog tot vochtig,O3,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_sk,Droog tot vochtig,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_sk,Droog tot vochtig,SOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6210_sk,Droog tot vochtig,temperatuur,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_ha,Droog tot vochtig,CO2,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_ha,Droog tot vochtig,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_ha,Droog tot vochtig,neerslag,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_ha,Droog tot vochtig,NHy,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_ha,Droog tot vochtig,NOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_ha,Droog tot vochtig,O3,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_ha,Droog tot vochtig,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_ha,Droog tot vochtig,SOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_ha,Droog tot vochtig,temperatuur,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hmo,Tijdelijk tot permanent nat,CO2,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hmo,Tijdelijk tot permanent nat,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hmo,Tijdelijk tot permanent nat,neerslag,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hmo,Tijdelijk tot permanent nat,NHy,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hmo,Tijdelijk tot permanent nat,NOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hmo,Tijdelijk tot permanent nat,O3,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hmo,Tijdelijk tot permanent nat,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hmo,Tijdelijk tot permanent nat,temperatuur,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hn,Droog tot vochtig,CO2,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hn,Droog tot vochtig,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hn,Droog tot vochtig,neerslag,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hn,Droog tot vochtig,NHy,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hn,Droog tot vochtig,NOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hn,Droog tot vochtig,O3,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hn,Droog tot vochtig,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hn,Droog tot vochtig,SOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hn,Droog tot vochtig,temperatuur,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hnk,Droog tot vochtig,CO2,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hnk,Droog tot vochtig,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hnk,Droog tot vochtig,neerslag,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hnk,Droog tot vochtig,NHy,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hnk,Droog tot vochtig,NOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hnk,Droog tot vochtig,O3,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hnk,Droog tot vochtig,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hnk,Droog tot vochtig,SOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6230_hnk,Droog tot vochtig,temperatuur,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_mo,Tijdelijk tot permanent nat,CO2,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_mo,Tijdelijk tot permanent nat,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_mo,Tijdelijk tot permanent nat,neerslag,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_mo,Tijdelijk tot permanent nat,NHy,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_mo,Tijdelijk tot permanent nat,NOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_mo,Tijdelijk tot permanent nat,O3,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_mo,Tijdelijk tot permanent nat,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_mo,Tijdelijk tot permanent nat,temperatuur,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_ve,Tijdelijk tot permanent nat,CO2,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_ve,Tijdelijk tot permanent nat,NHy,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_ve,Tijdelijk tot permanent nat,NOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_ve,Tijdelijk tot permanent nat,O3,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6410_ve,Tijdelijk tot permanent nat,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_bz,Droog tot vochtig + Tijdelijk tot permanent nat,CO2,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_bz,Droog tot vochtig + Tijdelijk tot permanent nat,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_bz,Droog tot vochtig + Tijdelijk tot permanent nat,neerslag,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_bz,Droog tot vochtig + Tijdelijk tot permanent nat,NHy,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_bz,Droog tot vochtig + Tijdelijk tot permanent nat,NOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_bz,Droog tot vochtig + Tijdelijk tot permanent nat,O3,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_bz,Droog tot vochtig + Tijdelijk tot permanent nat,organische polluenten (en pesticiden) + zware metalen,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_bz,Droog tot vochtig + Tijdelijk tot permanent nat,SOx,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_bz,Droog tot vochtig + Tijdelijk tot permanent nat,temperatuur,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_hf,Tijdelijk tot permanent nat,CO2,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_hf,Tijdelijk tot permanent nat,luchtvochtigheid (relatieve),Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_hf,Tijdelijk tot permanent nat,neerslag,Atmosfeer
Atmosferisch meetnet,(Half-)natuurlijke graslanden,6430_hf,Tijdelijk tot permanent nat,O3,Atmosfeer
