Comp_meetnet	Druk	Milieudruk	MaxMilieudrukkengroep	Standplaatsfactor	Compartiment
Grondwatermeetnet	Druk3.3	3.3 Eutrofiëring via het grondwater	a	N	Grondwater
Grondwatermeetnet	Druk3.3	3.3 Eutrofiëring via het grondwater	a	P	Grondwater
Grondwatermeetnet	Druk4.2	4.2 Verzuring via het grondwater	c	alkaliniteit	Grondwater
Grondwatermeetnet	Druk4.2	4.2 Verzuring via het grondwater	c	H+	Grondwater
Grondwatermeetnet	Druk5.1	5.1 Verdroging via het grondwater	a	waterpeil (ook waterregime bv. GxG, Pxx duurlijn, amplitude,?)	Grondwater
Grondwatermeetnet	Druk5.2	5.2 Vernatting via het grondwater	c	waterpeil (ook waterregime bv. GxG, Pxx duurlijn, amplitude,?)	Grondwater
Grondwatermeetnet	Druk7.1	7.1 Verzoeting via het grondwater	d	Cl-	Grondwater
Grondwatermeetnet	Druk7.1	7.1 Verzoeting via het grondwater	d	Na+	Grondwater
Grondwatermeetnet	Druk8.3	8.3 Verontreiniging via het grondwater	c	polluenten (milieuvreemde): zware metalen & organische	Grondwater
Oppervlaktewatermeetnet	Druk12	12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)	c	bodemmobilisatie	Waterbodem
Oppervlaktewatermeetnet	Druk12	12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)	c	turbiditeit	Waterkolom
Oppervlaktewatermeetnet	Druk3.2	3.2 Eutrofiëring via de bodem	b	N	Waterbodem
Oppervlaktewatermeetnet	Druk3.2	3.2 Eutrofiëring via de bodem	b	P	Waterbodem
Oppervlaktewatermeetnet	Druk3.4	3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)	a	N	Waterkolom
Oppervlaktewatermeetnet	Druk3.4	3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)	a	P	Waterkolom
Oppervlaktewatermeetnet	Druk64	64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan	b	stroming water / golfslag	Waterkolom
Oppervlaktewatermeetnet	Druk64	64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan	b	waterpeil (waterregime / droogval)	Waterkolom
Oppervlaktewatermeetnet	Druk66	66  Afname golfslagwerking	d	stroming water / golfslag	Waterkolom
Oppervlaktewatermeetnet	Druk7.2	7.2 Verzoeting via het oppervlaktewater (incl. overstromingswater)	d	Cl-	Waterkolom
Oppervlaktewatermeetnet	Druk7.2	7.2 Verzoeting via het oppervlaktewater (incl. overstromingswater)	d	Na+	Waterkolom
Oppervlaktewatermeetnet	Druk8.2	8.2 Verontreiniging via de bodem	c	polluenten (milieuvreemde): zware metalen & organische	Waterbodem
Oppervlaktewatermeetnet	Druk8.4	8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)	b	polluenten (milieuvreemde): zware metalen & organische	Waterkolom
Inundatiemeetnet	Druk103	103 Klimaatverandering: zeespiegelstijging	d	waterpeil	Inundatiewater
Inundatiemeetnet	Druk3.4	3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)	a	N	Inundatiewater
Inundatiemeetnet	Druk3.4	3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)	a	P	Inundatiewater
Inundatiemeetnet	Druk61	61 Toename overstromingsduur of -frequentie (incl. getijden)	b	dikte afgezet sediment	Inundatiewater
Inundatiemeetnet	Druk61	61 Toename overstromingsduur of -frequentie (incl. getijden)	b	waterpeil	Inundatiewater
Inundatiemeetnet	Druk62	62 Afname overstromingsduur of -frequentie (incl. getijden)	b	dikte afgezet sediment	Inundatiewater
Inundatiemeetnet	Druk62	62 Afname overstromingsduur of -frequentie (incl. getijden)	b	waterpeil	Inundatiewater
Inundatiemeetnet	Druk63	63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan	d	stroming water / golfslag	Inundatiewater
Inundatiemeetnet	Druk63	63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan	d	waterpeil	Inundatiewater
Inundatiemeetnet	Druk64	64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan	d	stroming water / golfslag	Inundatiewater
Inundatiemeetnet	Druk64	64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan	d	waterpeil	Inundatiewater
Inundatiemeetnet	Druk65	65  Toename golfslagwerking	d	stroming water / golfslag	Inundatiewater
Inundatiemeetnet	Druk66	66  Afname golfslagwerking	d	stroming water / golfslag	Inundatiewater
Inundatiemeetnet	Druk7.2	7.2 Verzoeting via het oppervlaktewater (incl. overstromingswater)	d	Cl-	Inundatiewater
Inundatiemeetnet	Druk7.2	7.2 Verzoeting via het oppervlaktewater (incl. overstromingswater)	d	Na+	Inundatiewater
Inundatiemeetnet	Druk8.4	8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)	c	polluenten (milieuvreemde): zware metalen & organische	Inundatiewater
