loc_code	date_sampling	variable	value	below_loq	loq
13	17435	3	NA	1	0.02
13	17455	1	NA	1	0.05
13	17455	2	0.16	0	NA
13	17455	3	NA	1	0.02
13	17497	1	NA	1	0.05
13	17497	2	0.44	0	NA
13	17497	3	NA	1	0.02
13	17533	1	NA	1	0.05
13	17533	2	0.68	0	NA
13	17533	3	0.1158	0	NA
13	17560	1	NA	1	0.05
13	17560	2	2.7	0	NA
13	17560	3	NA	1	0.02
13	17602	1	NA	1	0.05
13	17602	2	0.14	0	NA
13	17602	3	NA	1	0.02
13	17644	1	NA	1	0.05
13	17644	2	0.23	0	NA
13	17644	3	0.0282	0	NA
13	17680	1	NA	1	0.05
13	17680	2	0.13	0	NA
13	17680	3	NA	1	0.02
14	16196	1	NA	1	0.1
14	16196	2	0.13	0	NA
14	16223	1	NA	1	0.1
14	16223	2	0.18	0	NA
14	16251	1	NA	1	0.1
14	16251	2	0.1	0	NA
14	16287	1	NA	1	0.1
14	16287	2	0.11	0	NA
14	16322	1	NA	1	0.1
14	16322	2	0.24	0	NA
14	16364	1	0.15	0	NA
14	16364	2	0.19	0	NA
14	17547	1	0.54	0	NA
14	17547	2	0.5	0	NA
14	17547	3	0.026	0	NA
15	16608	1	NA	1	0.05
15	16608	2	0.21	0	NA
15	16608	3	NA	1	0.02
15	16629	1	NA	1	0.05
15	16629	2	0.25	0	NA
15	16629	3	NA	1	0.02
15	16664	1	0.05	0	NA
15	16664	2	0.27	0	NA
15	16664	3	NA	1	0.02
15	16685	1	NA	1	0.05
15	16685	2	0.52	0	NA
15	16685	3	NA	1	0.02
15	16720	1	0	0	NA
15	16720	2	0.68	0	NA
15	16720	3	NA	1	0.02
15	16748	1	NA	1	0.05
15	16748	2	0.94	0	NA
15	16748	3	NA	1	0.02
15	16777	1	NA	1	0.05
15	16777	2	1	0	NA
15	16777	3	NA	1	0.02
15	16819	1	NA	1	0.05
15	16819	2	1.41	0	NA
15	16819	3	NA	1	0.02
15	16846	1	0.05	0	NA
15	16846	2	1.09	0	NA
15	16846	3	0.0443	0	NA
15	16874	1	NA	1	0.05
15	16874	2	0.35	0	NA
15	16874	3	0.0335	0	NA
15	16909	1	0.12	0	NA
15	16909	2	0.52	0	NA
15	16909	3	0.0252	0	NA
15	16938	1	0.09	0	NA
15	16938	2	0.71	0	NA
15	16938	3	0.0229	0	NA
16	16608	1	0.07	0	NA
16	16608	2	1.64	0	NA
16	16608	3	NA	1	0.02
16	16629	1	0.15	0	NA
16	16629	2	1.53	0	NA
16	16629	3	0.116	0	NA
16	16664	1	NA	1	0.05
16	16664	2	1.41	0	NA
16	16664	3	NA	1	0.02
16	16685	1	NA	1	0.05
16	16685	2	1.55	0	NA
16	16685	3	NA	1	0.02
16	16720	1	0	0	NA
16	16720	2	1.44	0	NA
16	16720	3	NA	1	0.02
16	16748	1	0.05	0	NA
16	16748	2	1.41	0	NA
16	16748	3	0.0237	0	NA
16	16777	1	NA	1	0.05
16	16777	2	1.39	0	NA
16	16777	3	NA	1	0.02
16	16819	1	NA	1	0.05
16	16819	2	4.63	0	NA
16	16819	3	NA	1	0.02
16	16846	1	NA	1	0.05
16	16846	2	1.95	0	NA
16	16846	3	NA	1	0.02
16	16874	1	NA	1	0.05
16	16874	2	2.6	0	NA
16	16874	3	NA	1	0.02
16	16909	1	0.05	0	NA
16	16909	2	2.29	0	NA
16	16909	3	NA	1	0.02
16	16938	1	0.07	0	NA
16	16938	2	2.57	0	NA
16	16938	3	NA	1	0.02
17	16608	1	NA	1	0.05
17	16608	2	NA	1	0.1
17	16608	3	NA	1	0.02
17	16629	1	NA	1	0.05
17	16629	2	0.14	0	NA
17	16629	3	0.024	0	NA
17	16664	1	0.05	0	NA
17	16664	2	0.22	0	NA
17	16664	3	NA	1	0.02
17	16685	1	0.07	0	NA
17	16685	2	0.22	0	NA
17	16685	3	NA	1	0.02
17	16720	1	0.025	0	NA
17	16720	2	0.28	0	NA
17	16720	3	NA	1	0.02
17	16748	1	0.08	0	NA
17	16748	2	0.7	0	NA
17	16748	3	NA	1	0.02
17	16777	1	0.1	0	NA
17	16777	2	1.09	0	NA
17	16777	3	NA	1	0.02
17	16819	1	0.06	0	NA
17	16819	2	2.77	0	NA
17	16819	3	NA	1	0.02
17	16846	1	NA	1	0.05
17	16846	2	2.56	0	NA
17	16846	3	NA	1	0.02
17	16874	1	0.06	0	NA
17	16874	2	3.55	0	NA
17	16874	3	NA	1	0.02
17	16909	1	NA	1	0.05
17	16909	2	2.7	0	NA
17	16909	3	NA	1	0.02
17	16938	1	0.05	0	NA
17	16938	2	1.89	0	NA
17	16938	3	0.0233	0	NA
18	16587	1	1.75	0	NA
18	16587	2	0.1	0	NA
18	16587	3	0.2421	0	NA
18	16622	1	0.06	0	NA
18	16622	2	0.2	0	NA
18	16622	3	0.3607	0	NA
18	16644	1	0.48	0	NA
18	16644	2	0.4	0	NA
18	16644	3	0.371	0	NA
18	16672	1	0.22	0	NA
18	16672	2	0.32	0	NA
18	16672	3	0.1907	0	NA
18	16714	1	NA	1	0.05
18	16714	2	0.17	0	NA
18	16714	3	0.08	0	NA
18	16735	1	0.18	0	NA
18	16735	2	0.32	0	NA
18	16735	3	0.14	0	NA
18	16763	1	1.78	0	NA
18	16763	2	0.72	0	NA
18	16763	3	0.068	0	NA
18	16804	1	0.18	0	NA
18	16804	2	2.02	0	NA
18	16804	3	0.0823	0	NA
18	16833	1	0.18	0	NA
18	16833	2	6.01	0	NA
18	16833	3	0.0811	0	NA
18	16861	1	0.2	0	NA
18	16861	2	5.68	0	NA
18	16861	3	0.0789	0	NA
18	16902	1	0.24	0	NA
18	16902	2	1.29	0	NA
18	16902	3	0.0919	0	NA
18	16923	1	0.05	0	NA
18	16923	2	0.13	0	NA
18	16923	3	0.064	0	NA
19	16566	1	NA	1	0.05
19	16566	2	0.31	0	NA
19	16566	3	NA	1	0.02
19	16601	1	0.05	0	NA
19	16601	2	0.15	0	NA
19	16601	3	0.03	0	NA
19	16616	1	NA	1	0.05
19	16616	2	1.91	0	NA
19	16616	3	0.0206	0	NA
19	16643	1	NA	1	0.05
19	16643	2	0.29	0	NA
19	16643	3	NA	1	0.02
19	16671	1	NA	1	0.05
19	16671	2	0.11	0	NA
19	16671	3	0.0346	0	NA
19	16699	1	NA	1	0.05
19	16699	2	NA	1	0.1
19	16699	3	NA	1	0.02
19	16734	1	NA	1	0.05
19	16734	2	0.1	0	NA
19	16734	3	NA	1	0.02
19	16762	1	NA	1	0.05
19	16762	2	0.18	0	NA
19	16762	3	NA	1	0.02
20	17337	1	0.32	0	NA
20	17337	2	1.54	0	NA
20	17337	3	0.041	0	NA
20	17359	1	0.31	0	NA
20	17359	2	1.25	0	NA
20	17359	3	0.1472	0	NA
20	17379	1	0.43	0	NA
20	17379	2	2.04	0	NA
20	17379	3	0.19	0	NA
20	17421	1	0.49	0	NA
20	17421	2	2.13	0	NA
20	17421	3	0.1058	0	NA
20	17449	1	0.63	0	NA
20	17449	2	3.1	0	NA
20	17449	3	0.0406	0	NA
20	17477	1	0.27	0	NA
20	17477	2	1.43	0	NA
20	17477	3	0.07	0	NA
20	17505	1	0.24	0	NA
20	17505	2	1.29	0	NA
20	17505	3	0.0404	0	NA
20	17534	1	0.15	0	NA
20	17534	2	0.88	0	NA
20	17534	3	0.0512	0	NA
20	17568	1	0.07	0	NA
20	17568	2	0.69	0	NA
20	17568	3	0.039	0	NA
20	17610	1	0.15	0	NA
20	17610	2	0.79	0	NA
20	17610	3	0.043	0	NA
20	17631	1	0.18	0	NA
20	17631	2	0.75	0	NA
20	17631	3	0.024	0	NA
20	17674	1	0.21	0	NA
20	17674	2	1.11	0	NA
20	17674	3	0.0842	0	NA
21	16202	1	0.2	0	NA
21	16202	2	1.03	0	NA
21	16232	1	NA	1	0.1
21	16232	2	1.03	0	NA
21	16259	1	NA	1	0.1
21	16259	2	0.25	0	NA
21	16300	1	NA	1	0.1
21	16300	2	0.16	0	NA
21	16329	1	NA	1	0.1
21	16329	2	0.11	0	NA
21	16377	1	NA	1	0.1
21	16377	2	1.08	0	NA
22	16952	1	0.09	0	NA
22	16952	2	0.31	0	NA
22	16952	3	0.0253	0	NA
22	16979	1	NA	1	0.05
22	16979	2	0.23	0	NA
22	16979	3	NA	1	0.02
22	17029	1	NA	1	0.05
22	17029	2	NA	1	0.1
22	17029	3	0.0341	0	NA
22	17049	1	0.06	0	NA
22	17049	2	0.14	0	NA
22	17049	3	NA	1	0.02
22	17085	1	0.09	0	NA
22	17085	2	0.25	0	NA
22	17085	3	0.0282	0	NA
22	17112	1	0.06	0	NA
22	17112	2	0.11	0	NA
22	17112	3	0.0209	0	NA
22	17134	1	NA	1	0.05
22	17134	2	0.63	0	NA
22	17134	3	NA	1	0.02
22	17169	1	NA	1	0.05
22	17169	2	0.25	0	NA
22	17169	3	NA	1	0.02
22	17196	1	0.1	0	NA
22	17196	2	0.36	0	NA
22	17196	3	NA	1	0.02
22	17238	1	NA	1	0.05
22	17238	2	0.2	0	NA
22	17238	3	NA	1	0.02
22	17259	1	NA	1	0.05
22	17259	2	0.13	0	NA
22	17259	3	NA	1	0.02
22	17294	1	0.06	0	NA
22	17294	2	0.27	0	NA
22	17294	3	0.027	0	NA
23	16202	1	NA	1	0.1
23	16202	2	1.1	0	NA
23	16300	1	NA	1	0.1
23	16300	2	0.51	0	NA
23	16336	1	NA	1	0.1
23	16336	2	0.21	0	NA
23	16391	1	NA	1	0.1
23	16391	2	1.08	0	NA
24	16588	1	NA	1	0.05
24	16588	2	0.11	0	NA
24	16588	3	0.3154	0	NA
24	16615	1	NA	1	0.05
24	16615	2	0.35	0	NA
24	16615	3	NA	1	0.02
24	16650	1	NA	1	0.05
24	16650	2	0.17	0	NA
24	16650	3	NA	1	0.02
24	16679	1	NA	1	0.05
24	16679	2	0.2	0	NA
24	16679	3	NA	1	0.02
24	16714	1	NA	1	0.05
24	16714	2	0.16	0	NA
24	16714	3	NA	1	0.02
24	16743	1	NA	1	0.05
24	16743	2	0.18	0	NA
24	16743	3	0.02	0	NA
24	16770	1	0.12	0	NA
24	16770	2	0.62	0	NA
24	16770	3	NA	1	0.02
24	16812	1	0.19	0	NA
24	16812	2	0.66	0	NA
24	16812	3	NA	1	0.02
24	16840	1	0.08	0	NA
24	16840	2	1.29	0	NA
24	16840	3	NA	1	0.02
24	16868	1	0.17	0	NA
24	16868	2	1.31	0	NA
24	16868	3	0.0268	0	NA
24	16903	1	0.05	0	NA
24	16903	2	1.82	0	NA
24	16903	3	0.0215	0	NA
24	16931	1	0.11	0	NA
24	16931	2	0.49	0	NA
24	16931	3	0.0309	0	NA
25	16203	1	0.41	0	NA
25	16203	2	0.2	0	NA
25	16237	1	NA	1	0.1
25	16237	2	0.19	0	NA
25	16266	1	0.38	0	NA
25	16266	2	NA	1	0.1
25	16300	1	NA	1	0.1
25	16300	2	0.17	0	NA
25	16335	1	NA	1	0.1
25	16335	2	0.27	0	NA
25	16378	1	1.05	0	NA
25	16378	2	0.18	0	NA
26	16196	1	NA	1	0.1
26	16196	2	1.86	0	NA
26	16223	1	0.1	0	NA
26	16223	2	0.27	0	NA
26	16251	1	NA	1	0.1
26	16251	2	0.12	0	NA
26	16287	1	NA	1	0.1
26	16287	2	0.11	0	NA
26	16322	1	NA	1	0.1
26	16322	2	0.16	0	NA
26	16364	1	0.15	0	NA
26	16364	2	0.2	0	NA
27	16196	1	0.33	0	NA
27	16196	2	0.3	0	NA
27	16223	1	NA	1	0.1
27	16223	2	0.26	0	NA
27	16251	1	0.51	0	NA
27	16251	2	0.23	0	NA
27	16287	1	NA	1	0.1
27	16287	2	NA	1	0.1
27	16322	1	NA	1	0.1
27	16322	2	NA	1	0.1
27	16364	1	NA	1	0.1
27	16364	2	0.16	0	NA
28	16196	1	0.25	0	NA
28	16196	2	0.14	0	NA
28	16223	1	NA	1	0.1
28	16223	2	0.1	0	NA
28	16251	1	NA	1	0.1
28	16251	2	0.45	0	NA
28	16287	1	NA	1	0.1
28	16287	2	0.1	0	NA
28	16322	1	NA	1	0.1
28	16322	2	0.18	0	NA
28	16364	1	NA	1	0.1
28	16364	2	0.17	0	NA
29	16608	1	NA	1	0.05
29	16608	2	NA	1	0.1
29	16608	3	0.023	0	NA
29	16629	1	NA	1	0.05
29	16629	2	0.18	0	NA
29	16629	3	0.024	0	NA
29	16658	1	NA	1	0.05
29	16658	2	0.23	0	NA
29	16658	3	0.0482	0	NA
29	16692	1	NA	1	0.05
29	16692	2	0.26	0	NA
29	16692	3	0.0265	0	NA
29	16720	1	0.00895	0	NA
29	16720	2	NA	1	0.1
29	16720	3	0.02	0	NA
29	16776	1	0.08	0	NA
29	16776	2	0.24	0	NA
29	16776	3	NA	1	0.02
29	16847	1	NA	1	0.05
29	16847	2	5.95	0	NA
29	16847	3	0.0279	0	NA
29	16874	1	0.05	0	NA
29	16874	2	1.44	0	NA
29	16874	3	NA	1	0.02
29	16910	1	NA	1	0.05
29	16910	2	NA	1	0.1
29	16910	3	0.0255	0	NA
29	16939	1	0.09	0	NA
29	16939	2	0.11	0	NA
29	16939	3	0.0301	0	NA
30	16608	1	NA	1	0.05
30	16608	2	0.11	0	NA
30	16608	3	NA	1	0.02
30	16629	1	0.06	0	NA
30	16629	2	0.56	0	NA
30	16629	3	NA	1	0.02
30	16658	1	NA	1	0.05
30	16658	2	0.18	0	NA
30	16658	3	NA	1	0.02
30	16692	1	NA	1	0.05
30	16692	2	0.17	0	NA
30	16692	3	NA	1	0.02
30	16720	1	0.035	0	NA
30	16720	2	0.26	0	NA
30	16720	3	0.02	0	NA
30	16748	1	0.08	0	NA
30	16748	2	0.33	0	NA
30	16748	3	NA	1	0.02
30	16776	1	0.15	0	NA
30	16776	2	0.76	0	NA
30	16776	3	NA	1	0.02
30	16818	1	0.1	0	NA
30	16818	2	2.02	0	NA
30	16818	3	0.0269	0	NA
30	16847	1	0.1	0	NA
30	16847	2	0.72	0	NA
30	16847	3	0.0483	0	NA
30	16874	1	NA	1	0.05
30	16874	2	0.23	0	NA
30	16874	3	0.0365	0	NA
30	16910	1	0.12	0	NA
30	16910	2	0.17	0	NA
30	16910	3	0.031	0	NA
30	16939	1	NA	1	0.05
30	16939	2	NA	1	0.1
30	16939	3	0.0317	0	NA
31	16608	1	NA	1	0.05
31	16608	2	0.1	0	NA
31	16608	3	NA	1	0.02
31	16629	1	0.05	0	NA
31	16629	2	0.34	0	NA
31	16629	3	0.025	0	NA
31	16658	1	NA	1	0.05
31	16658	2	0.12	0	NA
31	16658	3	0.0222	0	NA
31	16692	1	NA	1	0.05
31	16692	2	0.14	0	NA
31	16692	3	NA	1	0.02
31	16720	1	0	0	NA
31	16720	2	NA	1	0.1
31	16720	3	0.02	0	NA
31	16748	1	NA	1	0.05
31	16748	2	0.11	0	NA
31	16748	3	0.0365	0	NA
31	16776	1	0.11	0	NA
31	16776	2	0.24	0	NA
31	16776	3	0.02	0	NA
31	16818	1	0.15	0	NA
31	16818	2	0.52	0	NA
31	16818	3	0.0541	0	NA
31	16847	1	0.21	0	NA
31	16847	2	0.71	0	NA
31	16847	3	0.039	0	NA
31	16874	1	0.26	0	NA
31	16874	2	0.9	0	NA
31	16874	3	0.0275	0	NA
31	16910	1	NA	1	0.05
31	16910	2	0.49	0	NA
31	16910	3	0.0317	0	NA
31	16939	1	0.05	0	NA
31	16939	2	0.13	0	NA
31	16939	3	0.0372	0	NA
32	16973	1	0.09	0	NA
32	16973	2	1.22	0	NA
32	16973	3	0.0386	0	NA
32	17014	1	0.29	0	NA
32	17014	2	0.13	0	NA
32	17014	3	0.0242	0	NA
32	17042	1	0.06	0	NA
32	17042	2	0.13	0	NA
32	17042	3	0.0369	0	NA
32	17063	1	0.1	0	NA
32	17063	2	0.33	0	NA
32	17063	3	0.0611	0	NA
32	17098	1	0.15	0	NA
32	17098	2	NA	1	0.1
32	17098	3	0.0306	0	NA
32	17127	1	0.1	0	NA
32	17127	2	0.76	0	NA
32	17127	3	0.0795	0	NA
32	17141	1	0.17	0	NA
32	17141	2	0.19	0	NA
32	17141	3	0.0783	0	NA
32	17183	1	0.05	0	NA
32	17183	2	1.43	0	NA
32	17183	3	0.1119	0	NA
32	17217	1	NA	1	0.05
32	17217	2	0.12	0	NA
32	17217	3	0.0411	0	NA
32	17253	1	0.44	0	NA
32	17253	2	2.07	0	NA
32	17253	3	NA	1	0.02
32	17275	1	0.06	0	NA
32	17275	2	0.3	0	NA
32	17275	3	0.039	0	NA
32	17316	1	0.15	0	NA
32	17316	2	0.22	0	NA
32	17316	3	0.073	0	NA
33	16973	1	0.05	0	NA
33	16973	2	0.24	0	NA
33	16973	3	NA	1	0.02
33	17014	1	0.12	0	NA
33	17014	2	0.18	0	NA
33	17014	3	NA	1	0.02
33	17042	1	NA	1	0.05
33	17042	2	0.12	0	NA
33	17042	3	NA	1	0.02
33	17063	1	NA	1	0.05
33	17063	2	0.14	0	NA
33	17063	3	NA	1	0.02
33	17098	1	0.35	0	NA
33	17098	2	0.13	0	NA
33	17098	3	NA	1	0.02
33	17127	1	0.88	0	NA
33	17127	2	0.29	0	NA
33	17127	3	0.0352	0	NA
33	17141	1	0.96	0	NA
33	17141	2	0.25	0	NA
33	17141	3	0.0233	0	NA
33	17183	1	1.1	0	NA
33	17183	2	0.58	0	NA
33	17183	3	NA	1	0.02
33	17217	1	0.67	0	NA
33	17217	2	1.01	0	NA
33	17217	3	0.0465	0	NA
33	17253	1	0.67	0	NA
33	17253	2	0.87	0	NA
33	17253	3	NA	1	0.02
33	17275	1	0.38	0	NA
33	17275	2	0.65	0	NA
33	17275	3	0.034	0	NA
