scenario	trend_12yearly_multiplier	avg_nrlocs_pertype_infpop	total_n_finitepop_spatial	total_popsize_spatial	n_N	statistic	typegroup	avg	pctile_l	pctile_u	p_stat_0.1_	p_stat_0.05_
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0881339255203013	0.0676594431370109	0.112393706719735	0.756021171391094	0.0117493752201222
GW_05.1_terr_S03	1.5	7	311	330040	311/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.0973981816708958	0.0601602572532335	0.149779858613979	0.599742483172427	0.06625487747231
GW_05.1_terr_S04	1	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.0829913642935562	0.0721850292456617	0.0948254994245166	0.969649309827559	0.000627284734360367
GW_05.1_terr_S04	1	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0870958362532072	0.0605000671418044	0.128775525969191	0.744079245866051	0.0485005330540861
GW_05.1_terr_S04	1	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0747566171812528	0.0671013553363287	0.0828199669504892	0.999922485255447	0.000112978425711923
GW_05.1_terr_S04	1	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0908517816532191	0.0681241957369828	0.116776002887072	0.688389008707496	0.0136047110984164
GW_05.1_terr_S04	1	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.104764519749242	0.0588337576862963	0.171451112929401	0.527603130841466	0.0752321389763322
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.0803830231095036	0.0688930747339546	0.0911155519778593	0.986628998937138	0.0000819835706090839
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0891660966682882	0.0614900573535227	0.126511096142194	0.717662792800561	0.0396906951709041
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0720269681333765	0.0641747028146137	0.0800963585403338	0.999996252922683	0.000324305140866292
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0876449084774376	0.066696808754073	0.113950758648777	0.768393693191265	0.0124797442950111
GW_05.1_terr_S05	1.2	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.0994874293704059	0.0557386972371133	0.168804135291458	0.587362195283013	0.101007905308038
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.0753682803092037	0.0655677039743408	0.0856201131927141	0.995520390712672	0.00105652117504642
