scenario,trend_12yearly_multiplier,avg_nrlocs_pertype_infpop,total_n_finitepop_spatial,total_popsize_spatial,n_N,typegroup,power_conf80,power_conf90,p_power_conf80_0.8_,p_power_conf90_0.9_
GW_05.1_terr_S06,1.5,10,463,330040,463/330040,GW_05.1_terr_group2,0.8 (0.67 | 0.97),0.27 (0.17 | 0.5),0.466666666666667,0
GW_05.1_terr_S06,1.5,10,463,330040,463/330040,GW_05.1_terr_group3,1 (1 | 1),1 (1 | 1),1,0.933333333333333
GW_05.1_terr_S06,1.5,10,463,330040,463/330040,GW_05.1_terr_group4,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_terr_S06,1.5,10,463,330040,463/330040,GW_05.1_terr_group5,1 (1 | 1),1 (1 | 1),0.933333333333333,0.866666666666667
GW_05.1_terr_S07,1,14,632,330040,632/330040,GW_05.1_terr_group1,0 (0 | 0.03),0 (0 | 0),0,0
GW_05.1_terr_S07,1,14,632,330040,632/330040,GW_05.1_terr_group2,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_terr_S07,1,14,632,330040,632/330040,GW_05.1_terr_group3,0 (0 | 0.17),0 (0 | 0.03),0,0
GW_05.1_terr_S07,1,14,632,330040,632/330040,GW_05.1_terr_group4,0 (0 | 0.03),0 (0 | 0),0,0
GW_05.1_terr_S07,1,14,632,330040,632/330040,GW_05.1_terr_group5,0 (0 | 0.07),0 (0 | 0),0.0666666666666667,0.0666666666666667
GW_05.1_terr_S08,1.2,14,632,330040,632/330040,GW_05.1_terr_group1,0.73 (0.53 | 1),0.27 (0.17 | 0.9),0.466666666666667,0.266666666666667
GW_05.1_terr_S08,1.2,14,632,330040,632/330040,GW_05.1_terr_group2,0 (0 | 0.03),0 (0 | 0),0,0
GW_05.1_terr_S08,1.2,14,632,330040,632/330040,GW_05.1_terr_group3,0.93 (0.5 | 1),0.73 (0.13 | 1),0.6,0.333333333333333
GW_05.1_terr_S08,1.2,14,632,330040,632/330040,GW_05.1_terr_group4,1 (0.8 | 1),0.87 (0.5 | 1),0.666666666666667,0.466666666666667
GW_05.1_terr_S08,1.2,14,632,330040,632/330040,GW_05.1_terr_group5,0.53 (0.17 | 1),0.2 (0 | 0.9),0.466666666666667,0.266666666666667
GW_05.1_terr_S09,1.5,14,632,330040,632/330040,GW_05.1_terr_group1,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_terr_S09,1.5,14,632,330040,632/330040,GW_05.1_terr_group2,0.67 (0.53 | 0.93),0.13 (0.03 | 0.4),0.4,0.0666666666666667
GW_05.1_terr_S09,1.5,14,632,330040,632/330040,GW_05.1_terr_group3,1 (1 | 1),1 (1 | 1),1,0.933333333333333
GW_05.1_terr_S09,1.5,14,632,330040,632/330040,GW_05.1_terr_group4,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_terr_S09,1.5,14,632,330040,632/330040,GW_05.1_terr_group5,1 (1 | 1),1 (1 | 1),0.933333333333333,0.866666666666667
GW_05.1_terr_S10,1,20,885,330040,885/330040,GW_05.1_terr_group1,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_terr_S10,1,20,885,330040,885/330040,GW_05.1_terr_group2,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_terr_S10,1,20,885,330040,885/330040,GW_05.1_terr_group3,0 (0 | 0.17),0 (0 | 0),0,0
GW_05.1_terr_S10,1,20,885,330040,885/330040,GW_05.1_terr_group4,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_terr_S10,1,20,885,330040,885/330040,GW_05.1_terr_group5,0 (0 | 0.03),0 (0 | 0),0.133333333333333,0.0666666666666667
GW_05.1_terr_S11,1.2,20,885,330040,885/330040,GW_05.1_terr_group1,0.67 (0.37 | 1),0.33 (0 | 0.93),0.466666666666667,0.333333333333333
GW_05.1_terr_S11,1.2,20,885,330040,885/330040,GW_05.1_terr_group2,0 (0 | 0.07),0 (0 | 0),0,0
GW_05.1_terr_S11,1.2,20,885,330040,885/330040,GW_05.1_terr_group3,1 (0.53 | 1),0.8 (0.13 | 1),0.733333333333333,0.466666666666667
GW_05.1_terr_S11,1.2,20,885,330040,885/330040,GW_05.1_terr_group4,1 (0.9 | 1),0.93 (0.4 | 1),0.8,0.533333333333333
GW_05.1_terr_S11,1.2,20,885,330040,885/330040,GW_05.1_terr_group5,0.8 (0.1 | 1),0.2 (0 | 0.93),0.466666666666667,0.333333333333333
GW_05.1_terr_S12,1.5,20,885,330040,885/330040,GW_05.1_terr_group1,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_terr_S12,1.5,20,885,330040,885/330040,GW_05.1_terr_group2,0.87 (0.5 | 0.97),0.2 (0 | 0.6),0.533333333333333,0.133333333333333
GW_05.1_terr_S12,1.5,20,885,330040,885/330040,GW_05.1_terr_group3,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_terr_S12,1.5,20,885,330040,885/330040,GW_05.1_terr_group4,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_terr_S12,1.5,20,885,330040,885/330040,GW_05.1_terr_group5,1 (1 | 1),1 (1 | 1),0.933333333333333,0.933333333333333
GW_05.1_terr_S13,1,40,1699,330040,1699/330040,GW_05.1_terr_group1,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_terr_S13,1,40,1699,330040,1699/330040,GW_05.1_terr_group2,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_terr_S13,1,40,1699,330040,1699/330040,GW_05.1_terr_group3,0 (0 | 0.03),0 (0 | 0),0,0
GW_05.1_terr_S13,1,40,1699,330040,1699/330040,GW_05.1_terr_group4,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_terr_S13,1,40,1699,330040,1699/330040,GW_05.1_terr_group5,0 (0 | 0),0 (0 | 0),0.133333333333333,0.0666666666666667
GW_05.1_terr_S14,1.2,40,1699,330040,1699/330040,GW_05.1_terr_group1,0.8 (0.13 | 1),0.07 (0 | 1),0.466666666666667,0.4
GW_05.1_terr_S14,1.2,40,1699,330040,1699/330040,GW_05.1_terr_group2,0 (0 | 0),0 (0 | 0),0,0
GW_05.1_terr_S14,1.2,40,1699,330040,1699/330040,GW_05.1_terr_group3,1 (0.47 | 1),0.93 (0.1 | 1),0.666666666666667,0.6
GW_05.1_terr_S14,1.2,40,1699,330040,1699/330040,GW_05.1_terr_group4,1 (1 | 1),1 (0.63 | 1),0.866666666666667,0.6
GW_05.1_terr_S14,1.2,40,1699,330040,1699/330040,GW_05.1_terr_group5,0.67 (0.13 | 1),0.13 (0 | 1),0.466666666666667,0.4
GW_05.1_terr_S15,1.5,40,1699,330040,1699/330040,GW_05.1_terr_group1,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_terr_S15,1.5,40,1699,330040,1699/330040,GW_05.1_terr_group2,0.93 (0.67 | 1),0.07 (0 | 0.57),0.6,0.133333333333333
GW_05.1_terr_S15,1.5,40,1699,330040,1699/330040,GW_05.1_terr_group3,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_terr_S15,1.5,40,1699,330040,1699/330040,GW_05.1_terr_group4,1 (1 | 1),1 (1 | 1),1,1
GW_05.1_terr_S15,1.5,40,1699,330040,1699/330040,GW_05.1_terr_group5,1 (1 | 1),1 (1 | 1),1,0.933333333333333
