sampling_unit_code;field_code;punt_verplaatst;grts_ranking_draw;sac_streams;type_meetpunt;datum_opname_cyclus1;jaar_cyclus2;x;y
1_4_1041;Voer_06;nee;3431858;intersecting or downstream;Bestaand meetpunt;2019-07-02;2025;250076,50000;161383,9000
1_4_9;Voer_01;nee;3483058;intersecting or downstream;Bestaand meetpunt;2019-07-02;2025;246975,50000;162158,4000
1_4_1535;GroNe_07;nee;3729270;intersecting or downstream;Bestaand meetpunt;2019-05-24;2025;207480,50000;205708,7000
1_4_1810;Maas_25;nee;3757298;intersecting or downstream;Bestaand meetpunt;2019-08-14;2025;242930,60000;176604,6000
1_4_317;Berwijn_05;nee;3799218;intersecting or downstream;Bestaand meetpunt;2019-08-14;2025;242803,10000;161362,5000
1_4_259;Maas_26;nee;3886578;intersecting or downstream;Bestaand meetpunt;2019-08-14;2025;245884,10000;183716,3000
1_7_27869;;;4092754;intersecting or downstream;Nieuw meetpunt;;2025;239703,63000;202043,1500
1_7_20153;Maas_29;nee;69106;intersecting or downstream;Bestaand meetpunt;2020-08-19;2026;246631,49530;181898,7648
1_7_7733;Maas_30;nee;426066;intersecting or downstream;Bestaand meetpunt;2020-08-20;2026;249112,62270;195569,2475
1_7_140445;WarBe_06;nee;1040402;outside;Bestaand meetpunt;2021-07-05;2026;229059,60000;208055,2400
1_7_121104;BorBe_03;nee;1153089;intersecting or downstream;Bestaand meetpunt;2020-06-26;2026;74883,26128;200027,5395
1_7_8855;Maas_33;nee;1237410;intersecting or downstream;Bestaand meetpunt;2020-08-20;2026;251440,53560;199236,0893
1_4_1358;Ede_01;nee;1372353;outside;Bestaand meetpunt;2021-07-27;2026;86343,10000;208726,1300
1_7_55005;KlHGr_04;nee;1444470;outside;Bestaand meetpunt;2021-07-06;2026;215670,92000;208736,5400
1_4_593;Stiemer_03;nee;1618386;outside;Bestaand meetpunt;2021-07-05;2026;231009,17000;187439,1600
1_4_73;Dommel_13;nee;1704146;outside;Bestaand meetpunt;2021-07-05;2026;225718,56000;199456,8200
1_7_3419;WarBe_04;nee;1764882;intersecting or downstream;Bestaand meetpunt;2020-06-11;2026;228740,44400;210508,0240
1_7_31125;Asbeek_03;ja;1841014;intersecting or downstream;Bestaand meetpunt;2020-07-06;2026;207857,00000;203884,0000
1_7_171136;KleBe_01;ja;2031030;intersecting or downstream;Bestaand meetpunt;2020-07-06;2026;203228,00000;191966,0000
1_7_20555;Dommel_11;nee;2050322;intersecting or downstream;Bestaand meetpunt;2020-07-30;2026;223963,07330;218233,3332
1_7_19326;BolBe_09;nee;2123986;intersecting or downstream;Bestaand meetpunt;2020-07-09;2026;221617,58740;201378,4386
1_7_34547;SchNe_10;nee;2124662;outside;Bestaand meetpunt;2021-07-07;2026;205017,74000;210236,4000
1_4_1466;ZilBe_02;nee;2151105;outside;Bestaand meetpunt;2021-07-27;2026;81260,43000;212914,6200
1_7_19473;BolBe_10;nee;2566354;intersecting or downstream;Bestaand meetpunt;2020-07-09;2026;221778,85750;201796,2457
1_7_55007;KlHGr_06;nee;2706038;outside;Bestaand meetpunt;2021-07-06;2026;215473,16000;208705,2900
1_7_30980;LoeNe_03;nee;2811126;outside;Bestaand meetpunt;2021-07-08;2026;197117,56000;218240,2500
1_4_1800;;;4117746;intersecting or downstream;Nieuw meetpunt;;2026;242301,77000;175857,3900
1_4_838;DesNe_05;ja;4193526;intersecting or downstream;Bestaand meetpunt;2019-05-22;2026;199502,00000;215645,0000
1_4_459;;;4367318;intersecting or downstream;Nieuw meetpunt;;2026;180091,25000;208410,6700
1_4_1139;AntGr_02;nee;3041246;outside;Bestaand meetpunt;2021-07-19;2027;153280,77000;226346,5400
1_4_24;Voer_09;nee;3048322;outside;Bestaand meetpunt;2021-07-23;2027;251834,15000;160681,4300
1_4_1179;SchNe_07;nee;3153014;outside;Bestaand meetpunt;2021-07-07;2027;206504,25000;210593,6500
1_7_20152;Maas_36;nee;3214834;intersecting or downstream;Bestaand meetpunt;2020-08-19;2027;246593,68330;181806,0394
1_7_3424;WarBe_05;ja;3337746;intersecting or downstream;Bestaand meetpunt;2020-06-11;2027;228670,00000;210970,0000
1_7_20150;Maas_38;nee;3598834;intersecting or downstream;Bestaand meetpunt;2020-08-19;2027;246529,96040;181616,2587
1_7_27889;IttBe_02;nee;3634002;intersecting or downstream;Bestaand meetpunt;2020-07-09;2027;239549,03560;201875,5099
1_7_114570;ZieBe_01;nee;3717106;intersecting or downstream;Bestaand meetpunt;2020-07-09;2027;238857,41990;181178,5493
1_4_1434;LoeNe_04;nee;3792430;outside;Bestaand meetpunt;2021-07-22;2027;200186,09000;220139,5400
1_4_1556;GroNe_08;nee;4110198;intersecting or downstream;Bestaand meetpunt;2020-06-10;2027;209016,15780;206116,5263
1_7_11707;DeAa_02;nee;4146134;intersecting or downstream;Bestaand meetpunt;2020-07-30;2027;178305,29330;209663,6295
1_4_1037;Voer_07;ja;4152754;intersecting or downstream;Bestaand meetpunt;2020-07-10;2027;249828,00000;161505,0000
1_7_31111;GroNe_14;nee;4204406;intersecting or downstream;Bestaand meetpunt;2020-06-11;2027;206939,67050;205395,3778
1_7_7743;Maas_40;nee;4268114;intersecting or downstream;Bestaand meetpunt;2020-08-20;2027;250024,68460;195291,0012
1_7_8851;Maas_41;nee;4324434;intersecting or downstream;Bestaand meetpunt;2020-08-20;2027;251076,13730;199397,2772
1_4_1333;;;4394806;intersecting or downstream;Nieuw meetpunt;;2027;189618,09000;197095,2700
1_7_30659;;;4405142;intersecting or downstream;Nieuw meetpunt;;2027;167040,32000;212997,4200
