point_code;polygon_id;descritipton_habitatmap;grts_ranking;hoofdtype;habitattype;type_meetpunt;uitvoer_opname;date_assessment;x;y
15878_1;375864_v2020;"50% 9120; 50% 9160";15878;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;159133,59;165742,11
19142_1;380226_v2023;100% 9160;19142;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;157917,59;178574,11
19238_1;455138_v2018;"70% 9160; 30% gh";19238;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;205437,59;169294,11
22153_1;628337_v2014;100% 9160;22153;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;107901,59;186734,11
24774_1;645251_v2014;"70% 9160; 30% 9120";24774;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;161981,59;184206,11
32262_1;409302_v2023;100% 9160;32262;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;157853,59;166030,11
32790_1;604780_v2014;100% 9160;32790;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;166205,59;199182,11
32889_1;646065_v2014;"60% 9160; 20% 9120; 20% 91E0_va";32889;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;147869,59;184270,11
38514_1;324337_v2023;100% 9160;38514;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;222845,59;168206,11
39718_1;571874_v2018;100% 9160;39718;9160;9160;nieuw meetpunt;hoofdtype aanwezig;;203901,59;169038,11
3286_1;662850_v2023;"100% 91E0_va; 0% 9120";3286;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;172765,59;215054,11
3974_1;354938_v2023;100% 91E0_va;3974;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;176125,59;179022,11
4673_1;630079_v2014;100% 91E0_va;4673;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;84093,59;194446,11
9305_1;656258_v2014;100% 91E0_va;9305;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;108861,59;176686,11
9961_1;178611_v2023;100% 91E0_va;9961;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;140093,59;197070,11
12665_1;302000_v2023;"70% 9130_end; 30% 91E0_va";12665;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;140861,59;179566,11
13574_1;657694_v2014;100% 91E0_va;13574;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;163517,59;164046,11
15321_1;657936_v2014;100% 91E0_va;15321;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;109949,59;167118,11
15865_1;018552_v2023;100% 91E0_va;15865;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;128925,59;177550,11
21761_1;650332_v2014;100% 91E0_va;21761;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;68125,59;207534,11
24422_1;314316_v2023;"70% gh; 30% 91E0_va";24422;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;202173,59;156686,11
25033_1;141497_v2023;100% 91E0_va;25033;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;96413,59;195150,11
31545_1;645512_v2014;100% 91E0_va;31545;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;135965,59;164238,11
35449_1;630432_v2014;100% 91E0_va;35449;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;139581,59;170158,11
36225_1;138523_v2023;100% 91E0_va;36225;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;70557,59;196238,11
39142_1;642261_v2014;"70% 91E0_va; 30% 9160";39142;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;214429,59;176526,11
43737_1;667062_v2014;100% 91E0_va;43737;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;118013,59;154222,11
46905_1;610739_v2014;"70% 91E0_va; 30% gh";46905;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;134749,59;167406,11
49302_1;624694_v2023;"70% 9160; 30% 91E0_va";49302;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;161597,59;203790,11
50054_1;630595_v2014;100% 91E0_va;50054;91E0;91E0_va;nieuw meetpunt;subtype aanwezig;;170877,59;180942,11
15937_1;496531_v2018;"60% 91E0_va; 40% 91E0_vn";15937;91E0;91E0_va+91E0_vn;nieuw meetpunt;subtype aanwezig;;79997,59;195886,11
50361_1;391330_v2023;"70% 91E0_vc; 30% gh; 0% 91E0_vm";50361;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;141405,59;154094,11
71033_1;187668_v2023;100% 91E0_vc;71033;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;139645,59;179086,11
153017_1;146516_v2023;"70% 91E0_va; 30% 91E0_vc";153017;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;139581,59;164174,11
157657_1;163996_v2023;"90% 91E0_vc; 10% 9130_end";157657;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;106749,59;163342,11
183033_1;179507_v2023;100% 91E0_vc;183033;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;126749,59;179182,11
192473_1;166011_v2023;"70% 91E0_va; 30% 91E0_vc";192473;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;109213,59;162126,11
331650_1;629259_v2014;"60% 9160; 40% 91E0_vc";331650;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;257277,59;160462,11
398297_1;145849_v2023;100% 91E0_vc;398297;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;104317,59;165646,11
436729_1;157053_v2023;"50% 91E0_va; 50% 91E0_vc";436729;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;131453,59;173134,11
444313_1;652983_v2014;100% 91E0_vc;444313;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;92125,59;176526,11
586374_1;373105_v2023;"70% 91E0_vc; 30% 91E0_vm";586374;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;171357,59;171630,11
619961_1;152419_v2023;"70% 91E0_vc; 30% 91E0_vn; 0% 9130_end";619961;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;137821,59;164238,11
643993_1;650770_v2014;100% 91E0_vc;643993;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;89629,59;173614,11
650745_1;142623_v2023;"80% 91E0_va; 20% 91E0_vc";650745;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;131869,59;173710,11
681945_1;173437_v2020;100% 91E0_vc;681945;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;106909,59;163470,11
686041_1;158110_v2023;100% 91E0_vc;686041;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;104445,59;162798,11
687321_1;153440_v2020;100% 91E0_vc;687321;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;119645,59;163534,11
694297_1;160448_v2023;100% 91E0_vc;694297;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;102557,59;166318,11
735033_1;642491_v2014;"70% 91E0_va; 30% 91E0_vc";735033;91E0;91E0_vc;meetpunt al bezocht: habitattype al bepaald;subtype aanwezig;2021-04-21;134845,59;169422,11
747538_1;551021_v2018;"70% 91E0_vm; 30% 91E0_vc";747538;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;234685,59;206030,11
748761_1;190138_v2020;"70% 91E0_va; 30% 91E0_vc";748761;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;120157,59;162926,11
760057_1;630318_v2014;100% 91E0_vc;760057;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;133117,59;179886,11
799145_1;526592_v2023;"70% 91E0_va; 30% 91E0_vc";799145;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;131709,59;200558,11
803065_1;652850_v2014;100% 91E0_vc;803065;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;131741,59;179694,11
805081_1;551546_v2018;100% 91E0_vc;805081;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;114013,59;169422,11
843422_1;607480_v2023;"80% 91E0_va; 20% 91E0_vc";843422;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;185085,59;219982,11
862354_1;652883_v2014;100% 91E0_vc;862354;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;236381,59;202830,11
863449_1;643041_v2014;"80% 91E0_va; 20% 91E0_vc";863449;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;119261,59;162830,11
874521_1;145781_v2023;100% 91E0_vc;874521;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;103485,59;166126,11
879833_1;643041_v2014;"80% 91E0_va; 20% 91E0_vc";879833;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;119453,59;162894,11
898009_1;150245_v2020;100% 91E0_vc;898009;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;106365,59;166734,11
902649_1;650649_v2014;100% 91E0_vc;902649;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;134013,59;171822,11
907289_1;145781_v2023;100% 91E0_vc;907289;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;103005,59;166510,11
990233_1;154287_v2020;"70% 91E0_va; 30% 91E0_vc";990233;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;100893,59;163438,11
993785_1;517030_v2018;100% 91E0_vc;993785;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;132253,59;173038,11
1025657_1;651013_v2014;"70% 91E0_vc; 30% rbbhc";1025657;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;140477,59;174958,11
1084630_1;653707_v2023;"90% 91E0_vc; 10% 91E0_va";1084630;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;171613,59;216142,11
1086969_1;650629_v2014;"70% 91E0_vc; 30% rbbhc";1086969;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;133661,59;170158,11
1104390_1;650578_v2014;100% 91E0_vc;1104390;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;159229,59;165166,11
1112562_1;371335_v2023;"80% 91E0_sf; 20% 91E0_vc";1112562;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;243293,59;178414,11
1114041_1;624502_v2014;"70% rbbmc; 30% 91E0_vc";1114041;91E0;91E0_vc;nieuw meetpunt;subtype aanwezig;;146333,59;157998,11
7425_1;509227_v2023;100% 91E0_vm;7425;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;64253,59;206894,11
8425_1;521833_v2018;100% 91E0_vm;8425;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;146173,59;195982,11
20626_1;600001_v2018;100% 91E0_vm;20626;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;242973,59;207374,11
30614_1;635725_v2023;"95% 91E0_vm; 5% 91E0_va";30614;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;166397,59;212878,11
40169_1;430563_v2023;100% 91E0_vm;40169;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;151165,59;194222,11
41746_1;463152_v2018;100% 91E0_vm;41746;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;224541,59;206222,11
45726_1;598694_v2023;100% 91E0_vm;45726;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;181725,59;219758,11
47238_1;403835_v2020;"60% 91E0_vm; 40% 91E0_va";47238;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;185181,59;180750,11
50326_1;621106_v2023;100% 91E0_vm;50326;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;168221,59;209230,11
55090_1;653432_v2014;"70% 91E0_vm; 30% 9120";55090;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;231933,59;176910,11
58850_1;603375_v2023;100% 91E0_vm;58850;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;251773,59;207182,11
60150_1;642260_v2023;100% 91E0_vm;60150;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;190109,59;210094,11
60462_1;538095_v2023;100% 91E0_vm;60462;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;194013,59;219438,11
62585_1;439122_v2023;"50% 91E0_vm; 50% gh";62585;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;152509,59;180110,11
64745_1;430600_v2023;"80% 91E0_vm; 20% rbbsf";64745;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;150973,59;194670,11
64950_1;378893_v2020;100% 91E0_vm;64950;91E0;91E0_vm;nieuw meetpunt;subtype aanwezig;;202685,59;191278,11
49682_1;628678_v2023;"50% 91E0_vm; 30% 91E0_vo; 20% rbbms";49682;91E0;91E0_vm+91E0_vo;nieuw meetpunt;subtype aanwezig;;228797,59;217614,11
937_1;527091_v2023;100% 91E0_vn;937;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;123997,59;200270,11
5842_1;305898_v2016;"60% 91E0_vn; 40% gh";5842;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;222877,59;187854,11
7465_1;641072_v2023;100% 91E0_vn;7465;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;145885,59;203886,11
9177_1;653726_v2014;100% 91E0_vn;9177;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;108029,59;168590,11
10066_1;652909_v2014;100% 91E0_vn;10066;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;243101,59;197870,11
11561_1;627630_v2020;100% 91E0_vn;11561;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;145981,59;204494,11
11769_1;655562_v2014;100% 91E0_vn;11769;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;131613,59;175278,11
12009_1;421214_v2023;100% 91E0_vn;12009;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;144573,59;195918,11
13825_1;611348_v2014;100% 91E0_vn;13825;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;68189,59;212558,11
13842_1;603334_v2023;100% 91E0_vn;13842;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;232765,59;212462,11
17938_1;656172_v2014;100% 91E0_vn;17938;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;231645,59;210958,11
19897_1;146155_v2023;100% 91E0_vn;19897;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;139805,59;168942,11
21209_1;146638_v2023;100% 91E0_vn;21209;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;118749,59;159822,11
22546_1;608157_v2023;"70% 91E0_vn; 30% rbbmr";22546;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;233469,59;203246,11
25686_1;104330_v2014;"60% 9120; 20% 91E0_vn; 20% rbbsf";25686;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;184989,59;195886,11
25862_1;364775_v2023;100% 91E0_vn;25862;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;163101,59;164686,11
28790_1;637067_v2020;100% 91E0_vn;28790;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;204573,59;212814,11
29353_1;652723_v2014;100% 91E0_vn;29353;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;120701,59;186478,11
30441_1;184465_v2023;100% 91E0_vn;30441;91E0;91E0_vn;nieuw meetpunt;subtype aanwezig;;137181,59;197582,11
111542_1;639570_v2020;"60% gh; 40% 91E0_vo";111542;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;218109,59;199214,11
121042_1;463295_v2018;"40% 91E0_vo; 30% 91E0_vm; 20% 9190; 10% rbbsm";121042;91E0;91E0_vo;meetpunt al bezocht: habitattype al bepaald;subtype aanwezig;2015-06-03;222045,59;199694,11
137042_1;383418_v2023;"80% 91E0_vo; 20% rbbsf";137042;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;2021-05-18;240509,59;196622,11
224950_1;372752_v2023;"60% 91E0_vm; 40% 91E0_vo";224950;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;214685,59;188334,11
258998_1;652238_v2023;"80% 9190; 20% 91E0_vo";258998;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;217725,59;198926,11
267250_1;577636_v2014;"70% 91E0_vo; 30% gh";267250;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;235709,59;184526,11
312914_1;350843_v2023;100% 91E0_vo;312914;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;239293,59;189358,11
344786_1;403188_v2023;100% 91E0_vo;344786;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;222333,59;193614,11
345526_1;672851_v2014;100% 91E0_vo;345526;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;209629,59;187822,11
410334_1;610839_v2023;100% 91E0_vo;410334;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;154877,59;234638,11
442414_1;562164_v2016;"70% 91E0_vo; 30% rbbso";442414;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;193853,59;225358,11
444402_1;380092_v2020;100% 91E0_vo;444402;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;238749,59;179662,11
444534_1;536535_v2018;"50% 91E0_vo; 30% 4010; 20% rbbsm; 0% 4030";444534;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;205213,59;217134,11
481838_1;615017_v2023;100% 91E0_vo;481838;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;194557,59;225294,11
486226_1;377745_v2023;"90% 91E0_vo; 10% gh";486226;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;238717,59;194862,11
571350_1;645929_v2023;100% 91E0_vo;571350;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;185021,59;209870,11
575794_1;417248_v2020;100% 91E0_vo;575794;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;225053,59;185358,11
582742_1;373160_v2023;"50% 91E0_vm; 30% 91E0_vo; 20% gh; 0% 91E0_va";582742;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;185245,59;194766,11
626734_1;623203_v2023;100% 91E0_vo;626734;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;191421,59;226702,11
631506_1;436803_v2023;100% 91E0_vo;631506;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;221085,59;190222,11
669910_1;666384_v2023;100% 91E0_vo;669910;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;173693,59;215758,11
696366_1;507764_v2018;100% 91E0_vo;696366;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;194045,59;224718,11
704302_1;605320_v2023;100% 91E0_vo;704302;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;198173,59;229710,11
712310_1;639472_v2023;"50% 91E0_vm; 50% 91E0_vo";712310;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;212573,59;207502,11
741938_1;658954_v2014;100% 91E0_vo;741938;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;232925,59;179118,11
786674_1;656946_v2014;100% 91E0_vo;786674;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;235325,59;177230,11
818962_1;613982_v2023;100% 91E0_vo;818962;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;219357,59;209678,11
876846_1;623180_v2023;100% 91E0_vo;876846;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;191421,59;226830,11
900838_1;659317_v2014;100% 91E0_vo;900838;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;215133,59;184654,11
915126_1;664092_v2014;100% 91E0_vo;915126;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;212189,59;193614,11
924398_1;656323_v2023;100% 91E0_vo;924398;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;202717,59;224430,11
950830_1;626618_v2023;"70% 91E0_vm; 30% 91E0_vo";950830;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;194077,59;218958,11
967726_1;664204_v2014;100% 91E0_vo;967726;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;187581,59;221038,11
969010_1;380026_v2020;"70% 91E0_vm; 30% 91E0_vo";969010;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;225501,59;185454,11
970070_1;663978_v2014;"50% 91E0_vo; 30% 9120_qb; 10% gh; 5% 3130_aom; 5% 4010";970070;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;179901,59;189358,11
990825_1;445312_v2016;100% 91E0_vo;990825;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;130525,59;213902,11
991794_1;662754_v2014;100% 91E0_vo;991794;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;233789,59;179502,11
1051438_1;614926_v2023;100% 91E0_vo;1051438;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;197917,59;230062,11
1056361_1;519273_v2023;100% 91E0_vo;1056361;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;130141,59;214478,11
1076214_1;626532_v2023;"80% 91E0_vm; 20% 91E0_vo";1076214;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;193885,59;218030,11
1088630_1;621768_v2023;"70% 91E0_vm; 30% 91E0_vo";1088630;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;206397,59;212142,11
1107030_1;373160_v2023;"50% 91E0_vm; 30% 91E0_vo; 20% gh; 0% 91E0_va";1107030;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;185085,59;194766,11
1113874_1;475756_v2016;100% 91E0_vo;1113874;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;219805,59;209966,11
1127902_1;642006_v2014;"70% 91E0_vo; 30% rbbso";1127902;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;167901,59;230126,11
1144286_1;608281_v2023;100% 91E0_vo;1144286;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;167549,59;229646,11
1167350_1;555617_v2018;100% 91E0_vo;1167350;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;188093,59;217582,11
1183570_1;545437_v2018;"40% 91E0_vm; 40% 91E0_vo; 20% 91E0_vc";1183570;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;238045,59;201230,11
1187538_1;326899_v2016;100% 91E0_vo;1187538;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;224349,59;191310,11
1189342_1;636350_v2020;"90% 91E0_vo; 10% 9190";1189342;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;165917,59;227214,11
1194934_1;420990_v2020;100% 91E0_vo;1194934;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;214429,59;196910,11
1203506_1;305970_v2023;"75% gh; 25% 91E0_vo";1203506;91E0;91E0_vo;nieuw meetpunt;subtype aanwezig;;226205,59;179502,11
