panel;point_code;polygon_id;grts_ranking_draw;sbz;hoofdtype;habitattype;phab;type_meetpunt;uitvoer_opname;datum_opname_cyclus1;x;y
1;72690_1;425028_v2020;72690;1;4030;4030;;bestaand meetpunt;hoofdtype aanwezig;2014-08-20;239325,50;181326,10
1;75474_1;328207_v2016;75474;1;4030;4030;20;bestaand meetpunt;hoofdtype aanwezig;2014-09-01;223197,60;189358,10
1;76242_1;561888_v2014;76242;1;4010;4010;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-09;228541,60;193998,20
1;76406_1;641752_v2020;76406;0;2310;2310;100;nieuw meetpunt;hoofdtype aanwezig;;214941,60;207342,10
1;76754_1;587103_v2014;76754;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-10;230269,60;194702,10
1;77394_1;419524_v2020;77394;1;4030;4030;100;bestaand meetpunt;hoofdtype aanwezig;2014-08-22;237949,60;187182,10
1;79986_2;609379_v2014;79986;1;6510;6510_hu;30;bestaand meetpunt;hoofdtype aanwezig;2014-06-03;228639,10;163377,60
1;84946_1;558898_v2014;84946;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2015-06-01;227773,60;194158,10
1;90846_1;447528_v2018;90846;1;2310;2310;90;bestaand meetpunt;hoofdtype aanwezig;2014-08-19;155389,80;231534,90
1;91510_1;510043_v2018;91510;1;2330;2330_bu;100;bestaand meetpunt;hoofdtype aanwezig;2015-09-09;214045,60;215502,20
1;93138_1;587406_v2014;93138;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-09;228893,60;194478,10
1;94942_1;544689_v2016;94942;1;4010;4010;100;bestaand meetpunt;hoofdtype aanwezig;2014-08-21;154685,50;231918,20
1;95158_1;639312_v2020;95158;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-09;216893,50;199470,10
1;96978_1;326617_v2016;96978;1;2310;2310;;bestaand meetpunt;hoofdtype aanwezig;2014-09-01;222365,60;188686,10
1;98002_1;587194_v2014;98002;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-11;225245,60;193934,10
1;99521_2;503378_v2018;99521;1;6510;6510_hu;;bestaand meetpunt;hoofdtype aanwezig;2014-06-03;87069,41;204268,00
1;100050_1;386318_v2020;100050;1;4010;4010;;bestaand meetpunt;hoofdtype aanwezig;2014-09-01;224989,65;188910,05
1;100297_2;601302_v2014;100297;0;6510;6510_hu;70;bestaand meetpunt;hoofdtype aanwezig;2016-06-07;93983,57;194600,56
1;102098_1;587820_v2014;102098;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-11;224477,59;192718,12
1;105458_1;380385_v2020;105458;1;4010;4010;90;nieuw meetpunt;hoofdtype aanwezig;;239613,59;180142,11
1;105682_1;587257_v2014;105682;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-08;225437,59;194286,10
1;111326_1;436394_v2018;111326;1;4010;4010;100;bestaand meetpunt;hoofdtype aanwezig;2014-08-19;155069,52;231854,00
1;115422_1;467260_v2018;115422;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2015-06-23;153533,63;234190,13
1;117202_1;560922_v2014;117202;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-10;229949,58;193582,05
1;118441_1;183603_v2020;118441;0;6510;6510_hu;100;bestaand meetpunt;hoofdtype aanwezig;2016-06-13;127069,61;191566,00
1;120018_1;380693_v2020;120018;1;4010;4010;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-15;220061,61;198030,04
1;120110_1;560954_v2018;120110;1;4010;4010;70;bestaand meetpunt;hoofdtype aanwezig;2014-09-24;188861,59;227758,16
1;120478_1;609978_v2018;120478;0;2310;2310;90;nieuw meetpunt;hoofdtype aanwezig;;179677,59;223342,11
1;122578_1;;122578;1;4010;4010;;bestaand meetpunt;hoofdtype aanwezig;2014-08-29;223677,58;190446,10
1;124278_1;510055_v2018;124278;1;2310;2310;;bestaand meetpunt;hoofdtype aanwezig;2014-09-23;214109,65;216238,18
1;125394_1;409876_v2014;125394;1;2310;2310;40;bestaand meetpunt;hoofdtype aanwezig;2015-06-01;226973,63;193230,04
1;127218_2;597627_v2014;127218;1;6510;6510_hu;30;bestaand meetpunt;hoofdtype aanwezig;2014-05-19;236382,53;174962,00
1;128657_1;013649_v2020;128657;0;6510;6510_hua;60;nieuw meetpunt;hoofdtype aanwezig;;36413,59;182958,11
1;128722_1;591763_v2014;128722;0;4030;4030;100;nieuw meetpunt;hoofdtype aanwezig;;226685,59;186318,11
1;129234_1;380693_v2020;129234;1;4010;4010;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-11;220349,68;198254,10
1;131958_1;393429_v2018;131958;1;2330;2330_bu;100;nieuw meetpunt;hoofdtype aanwezig;;210045,60;208110,10
1;134098_1;587212_v2014;134098;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-09;228733,61;194830,12
1;136402_1;421365_v2020;136402;1;4030;4030;;bestaand meetpunt;hoofdtype aanwezig;2014-09-16;219389,57;197646,08
1;136466_3;632713_v2020;136466;1;6510;6510_hus;;bestaand meetpunt;hoofdtype aanwezig;2016-06-15;219036,98;217393,33
1;143382_1;;143382;0;6510;6510_hu;;bestaand meetpunt;hoofdtype aanwezig;2016-05-30;167965,69;201678,02
1;144094_1;467179_v2018;144094;1;2310;2310;50;bestaand meetpunt;hoofdtype aanwezig;2014-09-03;153181,84;231726,67
1;147062_1;473118_v2018;147062;0;2330;2330_bu;30;nieuw meetpunt;hoofdtype aanwezig;;212125,59;209582,11
1;151250_1;410172_v2014;151250;1;2310;2310;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-08;224445,54;193870,16
1;151318_1;439942_v2018;151318;0;6510;6510_hu;80;bestaand meetpunt;hoofdtype aanwezig;2018-06-11;159069,56;190222,05
1;152534_1;593206_v2016;152534;1;4010;4010;100;nieuw meetpunt;hoofdtype aanwezig;;179485,59;207822,11
1;152786_1;380704_v2020;152786;1;2310;2310;10;bestaand meetpunt;hoofdtype aanwezig;2014-09-19;220221,60;196526,11
1;160926_1;634318_v2020;160926;1;4010;4010;80;nieuw meetpunt;hoofdtype aanwezig;;174589,60;224078,10
1;162790_2;;162790;1;6510;6510_hu;;bestaand meetpunt;hoofdtype aanwezig;2014-05-23;205438,20;183632,77
1;170834_1;304118_v2016;170834;0;2330;2330_bu;75;bestaand meetpunt;hoofdtype aanwezig;2017-07-07;236541,56;195982,16
1;174302_1;560894_v2018;174302;1;4010;4010;100;nieuw meetpunt;hoofdtype aanwezig;;163645,60;225870,10
1;175582_1;561899_v2014;175582;1;4010;4010;100;nieuw meetpunt;hoofdtype aanwezig;;164157,60;227950,10
1;177078_1;639293_v2020;177078;1;2330;2330_bu;90;bestaand meetpunt;hoofdtype aanwezig;2014-09-10;218205,70;199470,12
1;194294_1;629145_v2020;194294;1;2330;2330_bu;100;nieuw meetpunt;hoofdtype aanwezig;;189789,59;208270,11
1;206134_2;450469_v2018;206134;1;6510;6510_hu;60;bestaand meetpunt;hoofdtype aanwezig;2014-06-12;192126,00;188880,31
1;213942_1;639363_v2020;213942;1;2330;2330_bu;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-05;215965,66;200270,19
1;218322_1;380699_v2020;218322;1;4030;4030;;bestaand meetpunt;hoofdtype aanwezig;2014-09-19;220221,61;196846,13
1;220786_2;440104_v2018;220786;1;6510;6510_huk;75;bestaand meetpunt;hoofdtype aanwezig;2016-06-17;219161,62;166852,79
1;222418_1;508647_v2018;222418;1;2330;2330_dw;20;nieuw meetpunt;hoofdtype aanwezig;;221757,59;197870,11
1;225910_1;638865_v2020;225910;1;2330;2330_bu;100;bestaand meetpunt;hoofdtype aanwezig;2014-09-23;218237,62;204046,13
1;226230_1;639303_v2020;226230;1;2330;2330_bu;;bestaand meetpunt;hoofdtype aanwezig;2014-09-08;216829,55;199726,20
1;229362_1;380437_v2020;229362;1;2330;2330_dw;100;nieuw meetpunt;hoofdtype aanwezig;;239997,60;182926,10
1;231702_1;361019_v2020;231702;1;6510;6510_hus;100;bestaand meetpunt;hoofdtype aanwezig;2014-05-27;164414,03;187247,08
1;236370_1;431303_v2018;236370;1;2330;2330_bu;80;bestaand meetpunt;hoofdtype aanwezig;2014-08-27;236637,59;195854,11
1;238578_1;419716_v2020;238578;1;2330;2330_dw;70;nieuw meetpunt;hoofdtype aanwezig;;238525,59;183950,11
1;239901_1;370440_v2018;239901;0;6510;6510_hu;70;nieuw meetpunt;hoofdtype aanwezig;;102781,60;218926,10
1;242262_1;614386_v2014;242262;0;6510;6510_hu;100;nieuw meetpunt;hoofdtype aanwezig;;171517,60;195182,10
1;243846_2;415979_v2020;243846;1;6510;6510_hu;40;bestaand meetpunt;hoofdtype aanwezig;2014-05-22;185566,26;180847,98
1;255350_1;600141_v2018;255350;1;2330;2330_bu;100;nieuw meetpunt;hoofdtype aanwezig;;214429,60;215534,10
1;258390_2;412941_v2020;258390;1;6510;6510_hu;100;bestaand meetpunt;hoofdtype aanwezig;2015-11-13;184349,96;190319,96
1;272630_1;600727_v2018;272630;0;2310;2310;90;nieuw meetpunt;hoofdtype aanwezig;;199901,59;213358,11
1;274002_1;419616_v2020;274002;1;2330;2330_dw;100;nieuw meetpunt;hoofdtype aanwezig;;237501,59;187214,11
1;276438_1;560322_v2020;276438;0;2330;2330;50;nieuw meetpunt;hoofdtype aanwezig;;185597,59;208590,11
1;280854_1;422744_v2020;280854;1;6510;6510_hus;100;nieuw meetpunt;hoofdtype aanwezig;;164317,59;187438,11
1;281177_1;554851_v2018;281177;0;6510;6510_hu;50;nieuw meetpunt;hoofdtype aanwezig;;111229,59;178670,11
1;282802_2;370040_v2018;282802;0;6510;6510_hu;70;nieuw meetpunt;hoofdtype aanwezig;;241213,59;168302,11
1;283094_1;582917_v2020;283094;0;6510;6510_hu;100;nieuw meetpunt;hoofdtype aanwezig;;179709,59;215790,11
1;286294_1;614710_v2014;286294;0;6510;6510_hu;100;nieuw meetpunt;hoofdtype aanwezig;;173277,60;200558,10
1;295862_1;639365_v2020;295862;1;2330;2330_bu;40;bestaand meetpunt;hoofdtype aanwezig;2014-09-03;215133,64;200878,12
1;297201_1;109635_v2014;297201;0;6510;6510_hu;100;nieuw meetpunt;hoofdtype aanwezig;;43229,60;198062,10
1;299310_1;559349_v2018;299310;1;2330;2330_dw;70;nieuw meetpunt;hoofdtype aanwezig;;190941,59;229902,11
1;301846_1;424673_v2018;301846;0;6510;6510_hu;70;nieuw meetpunt;hoofdtype aanwezig;;160797,60;188974,10
1;303721_1;495698_v2020;303721;0;6510;6510_hu;70;nieuw meetpunt;hoofdtype aanwezig;;132765,60;215246,10
1;303942_1;106329_v2014;303942;0;6510;6510_hu;70;nieuw meetpunt;hoofdtype aanwezig;;183837,60;164654,10
1;304338_1;414113_v2020;304338;1;2310;2310;;bestaand meetpunt;hoofdtype aanwezig;2014-09-22;220733,56;196910,03
1;306130_1;590536_v2014;306130;1;2310;2310;80;bestaand meetpunt;hoofdtype aanwezig;2014-09-10;229981,57;195534,14
1;308098_2;569449_v2014;308098;1;6510;6510_huk;100;bestaand meetpunt;hoofdtype aanwezig;2014-05-22;254527,19;159602,62
1;321169_1;163482_v2020;321169;0;6510;6510_hua;100;nieuw meetpunt;hoofdtype aanwezig;;35997,59;183886,11
1;327153_2;682094_v2014;327153;0;6510;6510_hua;100;bestaand meetpunt;hoofdtype aanwezig;2016-06-15;44156,00;187657,35
1;333385_2;511304_v2020;333385;1;6510;6510_hu;;bestaand meetpunt;hoofdtype aanwezig;2014-06-10;87933,36;204588,07
1;361398_1;639416_v2020;361398;1;2330;2330_bu;70;bestaand meetpunt;hoofdtype aanwezig;2014-09-02;215005,53;201038,10
1;366225_2;145550_v2020;366225;0;6510;6510_hua;70;bestaand meetpunt;hoofdtype aanwezig;2014-05-30;37677,55;183736,45
1;370386_1;471378_v2018;370386;1;2330;2330_dw;60;nieuw meetpunt;hoofdtype aanwezig;;224541,59;188142,11
1;373470_1;448317_v2018;373470;1;2330;2330_bu;100;nieuw meetpunt;hoofdtype aanwezig;;154717,59;231406,11
1;386258_1;486093_v2018;386258;1;2330;2330_dw;50;nieuw meetpunt;hoofdtype aanwezig;;221277,59;197518,11
1;386422_1;510051_v2018;386422;1;2330;2330_bu;60;bestaand meetpunt;hoofdtype aanwezig;2014-09-23;214333,62;216334,14
1;386674_2;673489_v2014;386674;1;6510;6510_hu;20;bestaand meetpunt;hoofdtype aanwezig;2014-06-02;224638,49;165554,39
1;398529_3;508631_v2020;398529;1;6510;6510_hu;;bestaand meetpunt;hoofdtype aanwezig;2014-06-02;86365,38;203531,97
1;409654_2;;409654;1;6510;6510_hu;;bestaand meetpunt;hoofdtype aanwezig;2014-05-27;197054,03;190128,57
1;431314_1;380704_v2020;431314;1;2330;2330_bu;85;bestaand meetpunt;hoofdtype aanwezig;2014-09-17;219549,50;196174,10
1;445266_1;305184_v2016;445266;1;2330;2330_bu;80;bestaand meetpunt;hoofdtype aanwezig;2014-08-27;236797,60;196078,10
1;452066_2;586887_v2020;452066;1;6510;6510_hu;80;bestaand meetpunt;hoofdtype aanwezig;2014-06-11;251645,30;206418,70
1;458194_1;546893_v2018;458194;0;2330;2330_dw;;bestaand meetpunt;subtype aanwezig;2017-07-06;230909,60;189646,10
1;462774_1;380692_v2020;462774;1;2330;2330_bu;20;nieuw meetpunt;hoofdtype aanwezig;;217853,60;197582,10
1;501046_2;495611_v2018;501046;1;6510;6510_hu;;bestaand meetpunt;hoofdtype aanwezig;2014-05-27;193182,00;189104,40
1;528582_1;381918_v2020;528582;1;6510;6510_hu;30;bestaand meetpunt;hoofdtype aanwezig;2014-06-11;161918,20;182063,00
1;556006_2;;556006;1;6510;6510_hu;;bestaand meetpunt;hoofdtype aanwezig;2014-05-23;205342,20;182864,80
1;589110_2;449469_v2018;589110;1;6510;6510_hu;40;bestaand meetpunt;hoofdtype aanwezig;2014-06-12;189470,00;187504,10
1;589698_4;583758_v2018;589698;1;6510;6510_huk;40;bestaand meetpunt;hoofdtype aanwezig;2014-06-04;258271,00;159185,80
1;605493_2;600782_v2014;605493;1;6510;6510_hu;40;bestaand meetpunt;hoofdtype aanwezig;2014-06-06;77596,57;227371,60
1;636561_2;;636561;0;6510;6510_hus;;bestaand meetpunt;subtype aanwezig;2016-06-09;37598,17;183721,80
1;643970_2;673810_v2014;643970;1;6510;6510_hu;70;bestaand meetpunt;hoofdtype aanwezig;2014-06-10;254942,90;159186,60
1;659794_2;542050_v2018;659794;1;6510;6510_hu;30;bestaand meetpunt;hoofdtype aanwezig;2014-05-20;247742,00;188082,60
1;676914_2;672326_v2014;676914;1;6510;6510_hu;70;bestaand meetpunt;hoofdtype aanwezig;2014-05-28;220862,60;175281,40
1;677174_2;437638_v2018;677174;1;6510;6510_hu;100;bestaand meetpunt;hoofdtype aanwezig;2014-06-12;190942,00;188496,20
1;720369_2;661631_v2014;720369;0;6510;6510_hua;100;bestaand meetpunt;subtype aanwezig;2014-06-11;43646,06;186890,10
1;744742_2;385957_v2016;744742;1;6510;6510_huk;;bestaand meetpunt;hoofdtype aanwezig;2016-06-22;214805,30;162890,10
1;790830_1;559349_v2018;790830;1;2330;2330_dw;70;nieuw meetpunt;hoofdtype aanwezig;;191005,60;229902,10
1;792209_1;173675_v2020;792209;0;6510;6510_hua;100;nieuw meetpunt;subtype aanwezig;;37213,59;183790,10
1;845457_1;173680_v2020;845457;0;6510;6510_hua;100;bestaand meetpunt;subtype aanwezig;2016-06-09;36253,59;183918,10
1;853714_1;314482_v2016;853714;1;2330;2330_dw;25;nieuw meetpunt;hoofdtype aanwezig;;224925,60;188174,10
1;863826_1;419616_v2020;863826;1;2330;2330_dw;100;nieuw meetpunt;hoofdtype aanwezig;;237597,60;187246,10
1;870694_2;387812_v2018;870694;1;6510;6510_huk;;bestaand meetpunt;hoofdtype aanwezig;2016-06-22;213433,30;161613,10
1;919185_1;013649_v2020;919185;0;6510;6510_hua;60;nieuw meetpunt;subtype aanwezig;;36317,59;183086,10
1;951006_1;430420_v2018;951006;1;2330;2330;100;nieuw meetpunt;hoofdtype aanwezig;;154525,60;233486,10
1;968217_1;106342_v2014;968217;0;6510;6510_hua;100;bestaand meetpunt;subtype aanwezig;2016-06-01;94205,59;168686,10
1;984721_1;163482_v2020;984721;0;6510;6510_hua;100;nieuw meetpunt;subtype aanwezig;;36221,59;183758,10
1;1007490_2;447541_v2014;1007490;0;6510;6510_huk;20;bestaand meetpunt;subtype aanwezig;2014-06-05;256383,30;157682,91
1;1008850_1;486116_v2018;1008850;1;2330;2330_dw;100;nieuw meetpunt;hoofdtype aanwezig;;222141,59;197966,11
1;1119506_2;;1119506;1;6510;6510_hus;;bestaand meetpunt;hoofdtype aanwezig;2016-06-14;219164,94;217265,33
1;1152657_2;173695_v2020;1152657;0;6510;6510_huk;;bestaand meetpunt;subtype aanwezig;2014-05-30;37886,16;183945,95
1;1177233_1;013649_v2020;1177233;0;6510;6510_hua;60;nieuw meetpunt;subtype aanwezig;;36445,59;182830,11
1;1280278_2;275809_v2020;1280278;1;6510;6510_hus;100;bestaand meetpunt;subtype aanwezig;2014-05-27;164510,10;187183,09
1;1487746_2;648175_v2014;1487746;1;6510;6510_huk;30;bestaand meetpunt;subtype aanwezig;2014-06-03;254623,22;159730,89
1;1569666_2;590302_v2014;1569666;1;6510;6510_huk;100;bestaand meetpunt;subtype aanwezig;2014-05-23;253855,23;159314,92
1;1618818_2;673665_v2014;1618818;1;6510;6510_huk;100;bestaand meetpunt;subtype aanwezig;2014-06-03;254719,18;159378,94
1;1793318_2;385957_v2016;1793318;1;6510;6510_huk;;bestaand meetpunt;subtype aanwezig;2016-06-22;214846,27;162961,16
1;1905938_2;632718_v2020;1905938;1;6510;6510_hus;;bestaand meetpunt;subtype aanwezig;2016-06-09;219196,73;217489,41
1;1971474_1;632709_v2020;1971474;1;6510;6510_hus;;bestaand meetpunt;subtype aanwezig;2016-06-08;218813,59;217390,11
